Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
42,Submission,1,189,1,Scott Adams,0,0,,10,1,100%,4,0,77.0,0,0,0,0,0,0,0,Ian Freeman,0,0,,3,0,,1,1,17.0,0,0,0,0,0,0,4.0
107,Submission,1,282,1,Amir Albazi,0,12,42%,28,1,100%,1,0,141.0,8,2,2,10,0,2,0,Malcolm Gordon,0,3,18%,5,0,,0,1,22.0,1,1,1,3,0,0,4.0
225,KO/TKO,2,379,0,Royce Alger,0,11,42%,12,2,25%,0,0,154.0,11,0,0,0,3,8,1,Eugene Jackson,1,21,45%,27,0,,1,0,20.0,15,6,0,11,5,5,4.0
226,Submission,1,96,0,Royce Alger,0,3,50%,5,0,0%,0,0,,3,0,0,0,0,3,1,Enson Inoue,0,0,,3,0,,1,0,,0,0,0,0,0,0,4.0
227,Decision - Unanimous,3,900,1,Sultan Aliev,0,25,39%,32,2,28%,0,0,346.0,22,2,1,20,4,1,0,Keita Nakamura,0,29,35%,57,0,0%,0,0,18.0,18,7,4,21,4,4,4.0
228,TKO - Doctor's Stoppage,2,600,0,Sultan Aliev,0,12,42%,14,1,33%,0,0,127.0,10,2,0,7,5,0,1,Warlley Alves,0,29,58%,54,0,0%,0,0,204.0,7,12,10,10,19,0,4.0
229,Decision - Split,3,900,1,Sultan Aliev,0,15,57%,86,2,66%,0,1,552.0,14,0,1,4,2,9,0,Bojan Velickovic,0,22,41%,126,0,0%,1,0,24.0,1,9,12,17,4,1,4.0
230,KO/TKO,1,162,0,Sultan Aliev,0,8,57%,8,0,,0,0,22.0,5,3,0,6,2,0,1,Kenny Robertson,1,14,42%,14,0,0%,0,0,29.0,8,2,4,10,2,2,4.0
239,Decision - Unanimous,3,900,1,Brendan Allen,1,41,62%,79,0,,0,4,337.0,31,9,1,13,3,25,0,Kyle Daukaus,0,34,58%,92,3,60%,0,1,464.0,29,3,2,19,2,13,4.0
240,KO/TKO,1,287,1,Brendan Allen,0,20,68%,38,0,0%,0,0,254.0,17,3,0,2,2,16,0,Tom Breese,0,4,80%,5,0,0%,0,0,12.0,0,4,0,0,4,0,4.0
241,Submission,2,518,1,Brendan Allen,0,10,45%,23,2,66%,4,2,173.0,7,1,2,5,1,4,0,Kevin Holland,0,22,57%,37,1,100%,1,1,283.0,14,5,3,12,0,10,4.0
245,Decision - Unanimous,3,900,0,Ricardo Almeida,0,48,57%,66,1,5%,0,0,312.0,13,20,15,33,8,7,1,Mike Pyle,0,36,49%,77,1,33%,1,0,55.0,12,16,8,21,14,1,4.0
246,Decision - Unanimous,3,900,1,Ricardo Almeida,0,48,56%,93,6,75%,0,0,739.0,41,5,2,8,1,39,0,TJ Grant,0,6,33%,20,0,0%,0,1,52.0,2,1,3,3,1,2,4.0
247,Submission,1,195,0,Ricardo Almeida,0,10,35%,10,0,,0,0,0.0,5,2,3,9,1,0,1,Matt Hughes,1,2,12%,2,0,,1,0,13.0,1,0,1,2,0,0,4.0
248,Submission,2,510,1,Ricardo Almeida,0,15,55%,24,5,45%,1,0,426.0,13,2,0,1,10,4,0,Matt Brown,0,6,60%,23,0,,0,0,16.0,0,3,3,3,3,0,4.0
249,Decision - Unanimous,3,900,1,Ricardo Almeida,0,38,61%,70,6,42%,0,0,673.0,23,10,5,12,4,22,0,Kendall Grove,0,25,40%,85,0,,2,0,57.0,13,8,4,4,14,7,4.0
250,Decision - Unanimous,3,900,1,Ricardo Almeida,0,41,61%,79,9,60%,1,0,501.0,32,9,0,25,5,11,0,Matt Horwich,0,25,64%,52,0,0%,3,0,124.0,3,13,9,11,14,0,4.0
251,Decision - Split,3,900,0,Ricardo Almeida,0,26,41%,36,2,18%,2,0,296.0,15,11,0,9,2,15,1,Patrick Cote,0,24,37%,39,0,,0,0,105.0,13,3,8,16,5,3,4.0
252,Submission,1,68,1,Ricardo Almeida,0,4,66%,4,1,100%,1,0,19.0,2,2,0,3,0,1,0,Rob Yundt,0,2,18%,10,0,,0,0,5.0,2,0,0,1,0,1,4.0
253,KO/TKO,2,421,0,Ricardo Almeida,0,12,34%,12,1,25%,5,0,45.0,6,1,5,7,5,0,1,Andrei Semenov,1,5,17%,35,0,,0,0,147.0,5,0,0,3,1,1,4.0
254,Submission,1,246,1,Ricardo Almeida,0,4,100%,16,1,100%,1,0,187.0,0,2,2,4,0,0,0,Eugene Jackson,0,1,25%,18,2,100%,2,0,38.0,1,0,0,1,0,0,4.0
255,DQ,3,861,0,Ricardo Almeida,0,9,50%,16,0,0%,0,0,0.0,6,0,3,5,1,3,1,Matt Lindland,0,22,44%,118,5,100%,0,0,734.0,15,3,4,3,7,12,4.0
269,Decision - Unanimous,3,900,0,Ali AlQaisi,0,29,43%,58,5,33%,1,0,360.0,12,3,14,27,1,1,1,Tony Kelley,0,23,37%,61,0,,4,0,116.0,11,5,7,21,2,0,4.0
270,Decision - Split,3,900,0,Ali AlQaisi,0,44,41%,54,2,22%,1,0,115.0,28,7,9,36,8,0,1,Irwin Rivera,0,36,49%,45,2,40%,0,0,62.0,30,5,1,28,5,3,4.0
344,KO/TKO,1,180,1,Adlan Amagov,1,15,57%,23,0,0%,0,0,5.0,10,3,2,3,5,7,0,TJ Waldburger,0,4,40%,4,0,0%,0,0,38.0,0,1,3,3,1,0,4.0
345,Decision - Unanimous,3,900,1,Adlan Amagov,0,38,38%,57,6,60%,0,0,269.0,12,5,21,26,10,2,0,Chris Spang,0,5,8%,24,0,,0,0,0.0,1,1,3,4,1,0,4.0
346,KO/TKO,1,48,1,Adlan Amagov,0,6,54%,6,0,,0,0,6.0,4,1,1,2,0,4,0,Keith Berry,0,0,0%,0,0,,0,0,0.0,0,0,0,0,0,0,4.0
347,KO/TKO,1,108,0,Adlan Amagov,0,1,33%,2,2,100%,0,0,56.0,1,0,0,0,0,1,1,Robbie Lawler,1,6,54%,6,0,,0,0,4.0,6,0,0,1,0,5,4.0
348,KO/TKO,1,152,1,Adlan Amagov,1,16,80%,39,1,33%,0,0,,8,6,2,6,0,10,0,Anthony Smith,0,4,40%,6,0,,0,0,,3,1,0,2,2,0,4.0
