Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
22,KO/TKO,2,495,1,Shamil Abdurakhimov,1,36,41%,36,0,0%,0,0,0.0,24,10,2,26,10,0,0,Marcin Tybura,0,28,40%,28,0,,0,0,0.0,17,6,5,26,2,0,2.0
34,Submission,1,273,0,Papy Abedi,0,11,61%,19,1,33%,0,0,115.0,7,2,2,6,2,3,1,James Head,0,21,48%,28,0,,1,0,43.0,16,5,0,9,10,2,2.0
65,Decision - Unanimous,3,900,1,Jessica Aguilar,0,128,64%,138,0,0%,0,0,94.0,83,32,13,85,43,0,0,Jodie Esquibel,0,81,42%,81,0,0%,0,0,87.0,54,27,0,73,8,0,2.0
74,KO/TKO,1,59,1,Christian Aguilera,0,10,43%,10,0,,0,0,0.0,9,1,0,10,0,0,0,Anthony Ivy,0,4,36%,4,0,,0,0,0.0,0,0,4,4,0,0,2.0
76,KO/TKO,3,635,0,Hitomi Akano,0,5,41%,5,0,0%,0,0,0.0,1,3,1,5,0,0,1,Cristiane Justino,1,41,45%,53,1,100%,0,0,186.0,34,3,4,14,13,14,2.0
78,Decision - Unanimous,3,900,1,Omari Akhmedov,0,55,33%,69,2,50%,0,0,93.0,41,10,4,48,7,0,0,Ian Heinisch,0,53,51%,70,3,30%,0,0,150.0,26,13,14,46,4,3,2.0
79,Decision - Unanimous,3,900,1,Omari Akhmedov,0,26,33%,47,2,66%,0,0,219.0,14,5,7,21,0,5,0,Zak Cummings,0,17,24%,24,0,,0,0,0.0,6,2,9,17,0,0,2.0
92,Decision - Unanimous,3,900,0,Yoshihiro Akiyama,0,33,34%,52,2,50%,0,0,68.0,29,2,2,28,5,0,1,Jake Shields,0,91,45%,119,2,14%,0,0,223.0,49,24,18,79,11,1,2.0
126,Submission,1,108,0,Iuri Alcantara,0,12,42%,12,1,100%,0,0,7.0,8,4,0,10,2,0,1,Brian Kelleher,0,4,26%,4,0,,1,0,0.0,1,2,1,4,0,0,2.0
144,Decision - Unanimous,3,900,0,Ildemar Alcantara,0,22,33%,25,1,50%,0,0,43.0,14,7,1,15,5,2,1,Kenny Robertson,0,70,63%,135,3,30%,2,1,521.0,46,5,19,25,9,36,2.0
147,Decision - Unanimous,3,900,1,Ildemar Alcantara,0,33,31%,56,3,100%,0,0,183.0,17,14,2,30,2,1,0,Leandro Silva,0,50,57%,63,0,0%,0,0,78.0,19,6,25,49,1,0,2.0
151,KO/TKO,2,447,0,Gilbert Aldana,0,28,51%,38,0,0%,0,0,108.0,19,5,4,6,19,3,1,Paul Buentello,0,49,69%,67,1,50%,1,0,117.0,33,12,4,10,33,6,2.0
199,Decision - Unanimous,3,900,0,John Alessio,0,35,33%,63,0,0%,0,1,126.0,28,7,0,29,5,1,1,Shane Roller,0,31,44%,82,3,42%,0,0,479.0,20,3,8,20,2,9,2.0
209,Submission,2,403,0,John Alessio,0,1,50%,9,0,,2,0,0.0,0,1,0,0,1,0,1,Pat Miletich,0,9,50%,44,2,100%,1,0,303.0,9,0,0,4,1,4,2.0
210,Decision - Unanimous,3,900,0,Houston Alexander,0,43,54%,61,0,,0,0,16.0,11,0,32,40,1,2,1,Kevin Ferguson,0,27,40%,36,4,100%,1,0,199.0,23,4,0,12,4,11,2.0
230,KO/TKO,1,162,0,Sultan Aliev,0,8,57%,8,0,,0,0,22.0,5,3,0,6,2,0,1,Kenny Robertson,1,14,42%,14,0,0%,0,0,29.0,8,2,4,10,2,2,2.0
241,Submission,2,518,1,Brendan Allen,0,10,45%,23,2,66%,4,2,173.0,7,1,2,5,1,4,0,Kevin Holland,0,22,57%,37,1,100%,1,1,283.0,14,5,3,12,0,10,2.0
243,Decision - Unanimous,3,900,0,Ben Alloway,0,9,32%,25,1,50%,0,0,88.0,7,1,1,8,0,1,1,Ryan LaFlare,0,37,41%,57,6,75%,1,1,582.0,23,12,2,12,17,8,2.0
261,KO/TKO,1,173,0,Thomas Almeida,0,10,40%,10,0,,0,0,0.0,9,0,1,10,0,0,1,Cody Garbrandt,1,21,43%,22,0,,0,0,2.0,18,0,3,20,0,1,2.0
272,KO/TKO,2,406,0,Sean Alvarez,0,6,37%,16,0,0%,0,0,197.0,1,0,5,5,1,0,1,Wesley Correira,0,22,52%,75,0,,0,0,13.0,21,1,0,3,19,0,2.0
288,Decision - Unanimous,3,900,0,Thiago Alves,0,56,32%,56,0,,0,0,48.0,19,11,26,56,0,0,1,Aleksei Kunchenko,0,44,28%,56,1,50%,0,0,0.0,32,5,7,40,4,0,2.0
297,Decision - Unanimous,3,900,0,Thiago Alves,0,41,36%,54,1,33%,0,0,60.0,34,3,4,35,6,0,1,Rick Story,0,62,36%,79,4,28%,0,0,459.0,30,13,19,34,27,1,2.0
314,KO/TKO,3,853,1,Warlley Alves,1,72,45%,72,0,,0,0,1.0,36,10,26,70,2,0,0,Sergio Moraes,0,20,32%,20,0,,0,0,0.0,12,7,1,19,1,0,2.0
319,Decision - Unanimous,3,900,0,Warlley Alves,0,79,58%,82,0,0%,1,0,115.0,52,24,3,70,9,0,1,Bryan Barberena,0,120,51%,164,0,0%,0,0,206.0,84,13,23,90,30,0,2.0
321,Submission,2,551,1,Warlley Alves,0,17,44%,23,2,66%,1,0,258.0,9,4,4,12,3,2,0,Nordine Taleb,0,17,50%,30,0,0%,0,0,65.0,8,5,4,13,4,0,2.0
331,Decision - Unanimous,3,900,0,Sam Alvey,0,29,41%,56,0,,0,0,2.0,12,7,10,14,14,1,1,Ramazan Emeev,0,38,53%,51,1,11%,0,0,252.0,28,5,5,22,16,0,2.0
332,Decision - Split,3,900,1,Sam Alvey,0,40,45%,51,0,,0,0,5.0,24,16,0,20,20,0,0,Rashad Evans,0,17,37%,28,2,25%,0,0,269.0,8,5,4,15,2,0,2.0
349,KO/TKO,1,253,0,Jimmy Ambriz,0,1,10%,2,1,25%,0,0,,0,1,0,1,0,0,1,Ricco Rodriguez,1,27,75%,34,0,0%,0,0,,16,9,2,17,8,2,2.0
356,Decision - Split,3,900,1,Makwan Amirkhani,0,27,43%,32,3,60%,0,0,14.0,25,1,1,18,0,9,0,Jason Knight,2,29,32%,64,0,0%,1,1,414.0,10,6,13,29,0,0,2.0
366,KO/TKO,3,900,0,Eryk Anders,0,32,47%,34,6,60%,1,0,353.0,26,5,1,17,6,9,1,Thiago Santos,0,100,65%,115,1,100%,0,1,112.0,65,25,10,41,46,13,2.0
390,Submission,1,237,1,Megan Anderson,0,10,55%,22,1,50%,1,0,203.0,10,0,0,0,0,10,0,Zarah Fairn,0,2,40%,32,0,,0,1,23.0,2,0,0,2,0,0,2.0
413,Decision - Unanimous,3,900,1,Viscardi Andrade,0,38,43%,78,5,62%,1,0,417.0,30,5,3,31,1,6,0,Richard Walsh,1,46,35%,82,1,33%,0,0,112.0,37,4,5,33,3,10,2.0
415,Decision - Unanimous,3,900,0,Viscardi Andrade,1,24,34%,68,1,50%,0,0,152.0,17,3,4,10,3,11,1,Nicholas Musoke,0,45,43%,77,2,40%,0,0,477.0,36,5,4,26,8,11,2.0
432,KO/TKO,1,189,1,Magomed Ankalaev,1,12,44%,12,0,,0,0,2.0,10,1,1,8,2,2,0,Marcin Prachnio,0,3,13%,3,0,,0,0,0.0,1,0,2,3,0,0,2.0
475,KO/TKO,3,648,1,Viviane Araujo,1,61,53%,66,3,100%,0,0,77.0,34,9,18,57,0,4,0,Talita Bernardo,0,46,33%,51,0,0%,0,0,12.0,28,8,10,45,1,0,2.0
480,Decision - Unanimous,3,900,1,Julio Arce,0,72,35%,87,0,,0,0,44.0,60,11,1,61,8,3,0,Dan Ige,0,35,30%,36,1,7%,0,0,76.0,15,6,14,33,2,0,2.0
483,KO/TKO,1,29,0,Andrei Arlovski,0,4,44%,4,0,,0,0,0.0,1,0,3,4,0,0,1,Jairzinho Rozenstruik,1,5,55%,5,0,,0,0,2.0,4,0,1,5,0,0,2.0
489,Decision - Unanimous,3,900,1,Andrei Arlovski,0,46,52%,76,4,44%,0,1,271.0,12,16,18,42,2,2,0,Stefan Struve,0,34,45%,37,0,0%,0,1,77.0,9,8,17,32,0,2,2.0
505,KO/TKO,1,195,1,Andrei Arlovski,0,7,63%,32,0,,1,0,83.0,5,0,2,2,0,5,0,Marcio Cruz,0,0,0%,0,0,0%,2,0,51.0,0,0,0,0,0,0,2.0
520,KO/TKO,2,528,0,Austin Arnett,0,32,35%,35,1,100%,0,0,68.0,29,3,0,31,1,0,1,Cory Sandhagen,1,80,54%,108,1,100%,0,1,115.0,47,23,10,45,20,15,2.0
521,TKO - Doctor's Stoppage,2,600,0,Akbarh Arreola,1,21,51%,33,0,,0,0,119.0,17,1,3,9,0,12,1,Jake Matthews,0,62,63%,96,1,33%,0,0,339.0,54,4,4,8,3,51,2.0
534,KO/TKO,1,138,0,Cyril Asker,0,3,27%,3,0,,0,0,0.0,2,1,0,1,2,0,1,Tai Tuivasa,0,38,74%,39,0,,0,0,25.0,30,8,0,26,12,0,2.0
564,Decision - Unanimous,3,900,1,Raphael Assuncao,0,100,48%,116,3,100%,0,0,124.0,73,8,19,87,1,12,0,Pedro Munhoz,0,33,33%,41,0,0%,1,0,0.0,6,12,15,33,0,0,2.0
568,KO/TKO,2,325,1,Raphael Assuncao,1,39,65%,42,0,,0,0,43.0,14,11,14,31,1,7,0,Issei Tamura,0,5,35%,5,0,0%,0,0,0.0,5,0,0,5,0,0,2.0
577,Decision - Unanimous,3,900,1,Rich Attonito,1,66,65%,113,1,50%,0,1,344.0,40,15,11,29,6,31,0,Daniel Roberts,0,23,34%,26,1,14%,1,0,79.0,9,11,3,18,5,0,2.0
593,Decision - Unanimous,3,900,0,Pat Audinwood,0,19,11%,19,1,50%,0,0,4.0,9,8,2,19,0,0,1,John Makdessi,1,74,58%,77,0,,0,0,19.0,42,9,23,71,2,1,2.0
