Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
0,Decision - Split,3,900,0,Danny Abbadi,0,56,38%,79,0,,0,0,110.0,49,7,0,41,12,3,1,Jorge Gurgel,0,58,36%,101,1,14%,1,0,123.0,49,6,3,44,12,2,3.0
4,Submission,1,119,0,David Abbott,0,0,,3,0,,0,0,1.0,0,0,0,0,0,0,1,Kimo Leopoldo,0,1,100%,1,1,100%,1,0,112.0,0,1,0,1,0,0,3.0
11,Submission,1,82,0,David Abbott,0,13,46%,16,0,,0,0,,13,0,0,9,4,0,1,Don Frye,0,6,33%,6,0,,2,0,,6,0,0,5,0,1,3.0
17,Submission,1,74,1,David Abbott,0,1,100%,3,1,100%,1,0,,1,0,0,1,0,0,0,Steve Jennum,0,0,0%,1,0,,0,0,,0,0,0,0,0,0,3.0
29,Decision - Unanimous,3,900,0,Daichi Abe,0,45,29%,45,0,,0,0,0.0,24,1,20,45,0,0,1,Li Jingliang,0,96,46%,96,0,,0,0,0.0,32,13,51,95,1,0,3.0
32,KO/TKO,3,692,0,Papy Abedi,0,19,47%,27,3,60%,3,0,312.0,12,5,2,11,0,8,1,Dylan Andrews,0,20,44%,21,2,40%,0,0,69.0,12,4,4,13,3,4,3.0
51,Decision - Unanimous,5,1500,1,Israel Adesanya,4,109,45%,119,0,,2,0,42.0,70,16,23,100,1,8,0,Kelvin Gastelum,0,91,41%,92,1,11%,0,1,81.0,68,12,11,91,0,0,3.0
63,Decision - Unanimous,3,900,0,Jessica Aguilar,0,50,43%,63,0,0%,1,0,100.0,23,27,0,22,27,1,1,Marina Rodriguez,1,118,58%,129,0,0%,0,1,181.0,58,38,22,67,39,12,3.0
66,Decision - Unanimous,3,900,0,Jessica Aguilar,0,57,53%,102,4,80%,0,0,388.0,27,10,20,24,10,23,1,Cortney Casey,0,103,35%,172,0,,0,0,81.0,70,9,24,50,21,32,3.0
68,Decision - Split,3,900,0,Kevin Aguilar,0,53,39%,53,0,0%,0,0,4.0,34,17,2,50,3,0,1,Charles Rosa,0,69,39%,69,0,0%,0,0,0.0,33,15,21,69,0,0,3.0
70,Decision - Unanimous,3,900,0,Kevin Aguilar,0,33,31%,65,1,100%,0,1,139.0,21,10,2,21,5,7,1,Dan Ige,1,71,56%,92,1,25%,0,0,247.0,52,12,7,44,6,21,3.0
77,Decision - Unanimous,3,900,0,Omari Akhmedov,0,33,36%,60,4,50%,0,0,94.0,25,7,1,21,8,4,1,Chris Weidman,0,29,51%,67,5,31%,0,0,497.0,25,4,0,17,1,11,3.0
85,KO/TKO,3,738,0,Omari Akhmedov,1,35,29%,38,1,100%,0,0,51.0,17,10,8,29,2,4,1,Sergio Moraes,1,21,30%,22,0,0%,0,0,2.0,17,2,2,19,1,1,3.0
88,Submission,1,276,0,Omari Akhmedov,0,6,37%,8,0,,0,0,2.0,1,2,3,6,0,0,1,Gunnar Nelson,0,16,80%,25,1,100%,1,0,185.0,15,0,1,2,0,14,3.0
97,Decision - Unanimous,3,900,0,Rostem Akman,0,15,13%,15,0,,0,0,3.0,8,6,1,11,4,0,1,Jake Matthews,0,59,44%,61,0,0%,0,0,49.0,19,20,20,53,6,0,3.0
98,Decision - Unanimous,3,900,0,Rostem Akman,0,39,39%,40,2,40%,0,0,200.0,30,6,3,31,8,0,1,Sergey Khandozhko,1,60,40%,60,1,16%,0,0,61.0,30,11,19,55,5,0,3.0
105,Decision - Split,3,900,1,Heili Alateng,0,47,35%,72,4,30%,0,0,200.0,27,11,9,47,0,0,0,Ryan Benoit,0,68,53%,84,0,0%,0,0,0.0,45,17,6,53,15,0,3.0
120,Submission,1,61,0,Aleksandra Albu,0,2,40%,2,0,,0,0,0.0,2,0,0,2,0,0,1,Emily Whitmire,0,3,60%,8,1,100%,1,0,51.0,2,0,1,3,0,0,3.0
122,Submission,2,514,1,Aleksandra Albu,0,42,67%,53,0,0%,1,0,109.0,34,4,4,29,13,0,0,Izabela Badurek,0,32,71%,42,1,12%,0,0,189.0,4,9,19,6,26,0,3.0
128,Submission,1,119,1,Iuri Alcantara,1,26,66%,26,0,,2,0,29.0,22,4,0,10,1,15,0,Brad Pickett,0,1,33%,1,0,,0,0,11.0,0,1,0,0,1,0,3.0
132,Decision - Unanimous,3,900,1,Iuri Alcantara,0,27,51%,59,2,50%,0,0,130.0,11,16,0,19,3,5,0,Russell Doane,0,14,34%,98,6,50%,0,1,518.0,13,1,0,2,1,11,3.0
133,KO/TKO,1,25,1,Iuri Alcantara,1,5,50%,5,0,,0,0,3.0,4,1,0,2,0,3,0,Vaughan Lee,0,4,100%,4,0,,0,0,0.0,3,1,0,4,0,0,3.0
134,Decision - Split,3,900,1,Iuri Alcantara,1,42,55%,84,2,66%,0,1,222.0,38,2,2,15,3,24,0,Wilson Reis,0,23,37%,66,3,42%,0,1,406.0,16,0,7,9,3,11,3.0
135,Decision - Unanimous,3,900,0,Iuri Alcantara,0,8,34%,25,1,100%,1,0,152.0,5,3,0,2,0,6,1,Urijah Faber,0,54,68%,127,4,80%,0,0,608.0,53,1,0,3,0,51,3.0
136,KO/TKO,1,151,1,Iuri Alcantara,0,19,51%,23,0,,0,0,5.0,16,3,0,11,2,6,0,Iliarde Santos,0,3,30%,4,0,0%,0,0,25.0,0,0,3,2,1,0,3.0
138,Decision - Unanimous,3,900,0,Iuri Alcantara,0,19,38%,36,0,0%,1,0,67.0,10,6,3,11,4,4,1,Hacran Dias,0,19,43%,108,5,50%,0,0,541.0,8,2,9,8,0,11,3.0
139,Decision - Unanimous,3,900,1,Iuri Alcantara,0,60,43%,101,0,,2,0,259.0,46,13,1,44,2,14,0,Michihiro Omigawa,0,24,50%,74,1,25%,0,1,171.0,20,4,0,23,1,0,3.0
148,Submission,2,459,1,Ildemar Alcantara,0,24,43%,39,2,66%,3,0,86.0,10,12,2,22,2,0,0,Wagner Prado,0,28,52%,41,0,0%,0,1,73.0,14,14,0,25,3,0,3.0
150,TKO - Doctor's Stoppage,1,253,0,Gilbert Aldana,0,6,75%,20,2,66%,0,0,175.0,5,1,0,0,0,6,1,Cheick Kongo,0,24,85%,33,1,100%,0,0,30.0,15,7,2,1,20,3,3.0
157,Decision - Split,3,900,1,Irene Aldana,0,119,52%,121,0,0%,0,0,2.0,80,10,29,111,8,0,0,Lucie Pudilova,0,105,31%,110,0,,0,0,17.0,81,11,13,99,6,0,3.0
162,Decision - Unanimous,3,900,0,Hector Aldana,0,69,40%,72,0,,0,0,43.0,45,7,17,63,6,0,1,Laureano Staropoli,0,97,35%,99,0,,0,0,0.0,71,15,11,94,3,0,3.0
176,Decision - Unanimous,5,1500,1,Jose Aldo,0,76,30%,76,0,,0,0,5.0,65,2,9,76,0,0,0,Frankie Edgar,0,60,22%,63,2,18%,0,0,57.0,24,14,22,55,5,0,3.0
179,Decision - Unanimous,5,1500,1,Jose Aldo,1,94,43%,131,5,55%,1,0,553.0,72,4,18,66,0,28,0,Mark Hominick,0,71,39%,147,1,50%,0,0,258.0,50,17,4,50,1,20,3.0
