,M_NAME,Cluster
0,Anderson Silva,0
1,Andrei Arlovski,1
2,Artem Lobov,0
3,BJ Penn,0
4,Brock Lesnar,6
5,Cain Velasquez,4
6,Carlos Condit,0
7,Chad Mendes,3
8,Cub Swanson,0
9,Daniel Cormier,6
10,Eddie Alvarez,1
11,Frank Mir,0
12,Georges St-Pierre,6
13,Henry Cejudo,2
14,Jon Jones,6
