,M_NAME,Cluster,0,1,2,3,4,,,,,,
56,Edmen Shahbazyan,1,0.139367915,0.269964259,0.177080597,0.15925464,0.254332589,,,,,,
57,Edson Barboza,4,0.231367953,0.206009145,0.167123823,0.153533342,0.241965738,,,,,,
58,Felice Herrig,4,0.210452916,0.199128654,0.1830073,0.183738148,0.223672982,,,,,,
59,Francis Ngannou,3,0.177552217,0.228464112,0.132519862,0.242334851,0.219128957,,,,,,
60,Frankie Edgar,1,0.20538159,0.236735763,0.187437195,0.152872546,0.217572906,,,,,,
61,Geoff Neal,3,0.188433887,0.165710999,0.125566028,0.26789561,0.252393475,,,,,,
62,Germaine de Randamie,4,0.224363118,0.152717554,0.15624694,0.18007642,0.286595969,,,,,,
63,Gilbert Burns,3,0.187439033,0.191776357,0.183162448,0.224127453,0.213494708,,,,,,
64,Gillian Robertson,3,0.132247329,0.213882346,0.088011214,0.426887228,0.138971884,,,,,,
65,Glover Teixeira,1,0.137608783,0.285525011,0.19320418,0.191261664,0.192400361,,,,,,
66,Gregor Gillespie,1,0.154651927,0.274934913,0.144336177,0.26174591,0.164331073,,,,,,
67,Holly Holm,0,0.223541975,0.194787915,0.167972537,0.219471605,0.194225968,,,,,,
68,Ian Heinisch,3,0.181137787,0.236245,0.143045313,0.240475214,0.199096686,,,,,,
69,Irene Aldana,4,0.209489918,0.180301814,0.14201215,0.213383834,0.254812283,,,,,,
70,Islam Makhachev,3,0.208427838,0.172423536,0.141941549,0.278365472,0.198841605,,,,,,
71,Israel Adesanya,4,0.21450992,0.160848303,0.118376849,0.244667551,0.261597376,,,,,,
72,Jack Hermansson,2,0.176364936,0.202118676,0.297171341,0.124142965,0.200202082,,,,,,
73,Jairzinho Rozenstruik,3,0.243593572,0.182727262,0.109060418,0.336858488,0.127760259,,,,,,
74,Jan Blachowicz,4,0.207202025,0.204252603,0.165374913,0.179336627,0.243833833,,,,,,
75,Jared Cannonier,4,0.161235059,0.234160198,0.160515452,0.20162395,0.242465341,,,,,,
76,Jennifer Maia,3,0.226199877,0.139668034,0.153212648,0.240525214,0.240394227,,,,,,
77,Jeremy Stephens,1,0.205394994,0.235055988,0.189919781,0.172621163,0.197008074,,,,,,
78,Jessica Andrade,1,0.140071288,0.272967333,0.194014499,0.209907856,0.183039025,,,,,,
