M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Augusto Sakai,16,4358,2,0,0,438.0,1,0,0,0,495.0,409,807,492,900,1,2,274,618,85,125,50,64,249,609,105,133,55,65,325,630,359,667,5,13,178,459,103,119,44,52,231,516,44,56,50,58,4
Beneil Dariush,27,6899,2,9,0,2398.0,3,3,6,1,617.0,405,873,490,973,14,43,221,616,117,176,67,81,275,679,90,137,40,57,337,813,478,985,4,16,182,592,106,168,49,53,256,701,61,87,20,25,10
Blagoy Ivanov,9,2700,1,1,0,426.0,2,0,0,0,392.0,159,286,213,344,6,11,124,246,32,37,3,3,126,242,25,35,8,9,173,373,187,389,1,3,95,273,42,56,36,44,121,297,50,74,2,2,1
Brad Tavares,32,9078,2,0,1,1425.0,4,3,2,0,1381.0,452,1161,550,1268,10,36,271,914,69,115,112,132,350,1005,87,134,15,22,431,948,583,1107,13,55,236,664,81,139,114,145,336,813,75,112,20,23,7
Brandon Moreno,16,4746,1,2,2,1085.0,1,1,1,2,569.0,247,735,367,869,9,23,182,647,39,56,26,32,203,661,18,34,26,40,212,651,283,727,5,21,145,542,29,54,38,55,196,624,8,17,8,10,4
Brandon Royval,4,846,2,3,1,215.0,0,1,0,1,332.0,55,104,73,126,1,1,36,82,11,13,8,9,46,93,5,7,4,4,39,70,62,94,4,11,18,46,4,6,17,18,32,59,4,8,3,3,2
Brian Ortega,9,2481,0,3,0,175.0,1,0,0,0,50.0,199,582,201,584,2,14,148,521,39,48,12,13,185,565,14,17,0,0,459,839,478,858,3,3,359,716,69,90,31,33,446,823,12,15,1,1,2
Bryce Mitchell,10,2960,0,9,1,1337.0,0,0,2,3,873.0,101,169,157,236,7,17,68,121,30,43,3,5,30,84,8,13,63,72,67,163,115,218,8,12,43,135,14,18,10,10,32,113,2,6,33,44,4
Calvin Kattar,15,4183,2,0,0,120.0,1,0,0,0,89.0,369,875,429,939,3,5,282,753,44,74,43,48,328,800,3,10,38,65,362,931,373,944,2,17,194,692,79,135,89,104,352,910,9,20,1,1,4
Carla Esparza,18,5186,0,3,1,1325.0,2,0,1,3,741.0,238,608,589,1031,19,47,175,524,33,46,30,38,148,474,29,56,61,78,210,499,326,628,6,14,154,421,35,48,21,30,140,404,19,29,51,66,4
Chan Sung Jung,23,6011,3,4,0,645.0,4,4,0,2,412.0,425,1019,544,1154,5,12,321,886,59,78,45,55,347,903,46,67,32,49,446,1013,497,1074,3,24,260,774,77,104,109,135,411,944,30,62,5,7,4
Charles Oliveira,35,7847,2,24,3,2088.0,5,0,5,7,2884.0,401,720,591,926,26,58,205,457,126,175,70,88,227,483,89,124,85,113,354,780,497,939,12,27,254,632,65,102,35,46,204,545,42,64,108,171,13
Chris Weidman,25,6093,3,7,0,1801.0,4,2,1,0,509.0,323,731,450,878,20,43,240,598,53,90,30,43,193,539,34,44,96,148,370,685,495,831,4,8,246,521,75,102,49,62,221,486,62,83,87,116,6
Ciryl Gane,6,1786,1,1,0,137.0,0,0,0,0,2.0,159,328,164,333,3,4,86,237,52,67,21,24,125,279,30,38,4,11,64,225,72,236,0,0,27,173,10,15,27,37,62,222,2,3,0,0,2
Claudia Gadelha,27,7983,1,6,0,1892.0,3,1,0,0,905.0,493,1174,705,1405,21,52,413,1048,58,95,22,31,399,1030,44,77,50,67,679,1537,1032,1941,7,16,431,1236,141,178,107,123,511,1298,80,114,88,125,6
Cody Garbrandt,17,4618,9,0,0,138.0,1,2,0,0,47.0,261,689,272,701,5,15,203,599,25,43,33,47,235,640,9,15,17,34,253,725,276,748,0,7,162,568,38,77,53,80,220,680,19,26,14,19,7
Cody Stamann,11,3222,0,0,0,698.0,2,0,3,0,353.0,193,462,276,549,10,17,116,357,49,67,28,38,155,409,28,42,10,11,171,438,293,569,6,16,87,309,40,70,44,59,129,383,20,30,22,25,2
Colby Covington,38,10403,1,2,0,5378.0,2,2,4,2,280.0,638,1609,1325,2421,51,102,426,1316,107,171,105,122,481,1377,70,105,87,127,490,1109,728,1363,6,24,319,889,121,167,50,53,391,997,59,67,40,45,10
Conor McGregor,20,5124,10,0,0,578.0,1,0,1,0,1462.0,438,870,572,1012,4,6,297,667,81,127,60,76,332,732,55,66,51,72,341,768,479,920,8,27,221,583,73,113,47,72,197,556,82,125,62,87,7
Cory Sandhagen,14,3351,3,2,2,671.0,1,0,5,0,422.0,384,795,474,901,4,8,232,608,67,90,85,97,275,612,24,40,85,143,217,534,253,577,9,13,124,396,66,99,27,39,192,493,15,29,10,12,6
Curtis Blaydes,16,4009,0,0,0,1856.0,2,1,2,0,112.0,236,461,398,653,18,48,161,375,40,46,35,40,101,290,51,67,84,104,137,331,207,406,3,4,97,281,26,33,14,17,100,285,29,34,8,12,5
Cynthia Calvillo,19,5512,0,9,0,1390.0,1,0,2,2,115.0,372,888,466,1007,11,26,210,651,109,154,53,83,325,827,15,19,32,42,304,930,334,965,4,13,181,755,41,76,82,99,289,900,9,21,6,9,6
Dan Hooker,28,7552,4,1,0,1430.0,4,1,7,0,551.0,706,1453,908,1687,6,20,467,1117,102,161,137,175,602,1290,58,105,46,58,670,1295,762,1400,7,40,466,1035,119,156,85,104,577,1157,67,106,26,32,7
Dan Ige,19,5353,2,3,1,948.0,1,1,2,2,931.0,363,745,471,878,12,37,264,614,60,87,39,44,234,560,33,56,96,129,279,679,369,774,8,21,200,566,59,87,20,26,201,559,29,40,49,80,6
Darren Till,12,3241,2,0,0,347.0,2,2,2,0,705.0,113,226,119,234,4,8,78,186,12,15,23,25,90,191,4,10,19,25,182,383,230,440,2,18,97,278,34,41,51,64,81,257,51,66,50,60,3
David Dvorak,3,900,0,0,2,73.0,0,0,0,0,91.0,67,133,92,161,0,1,35,86,24,37,8,10,51,107,14,24,2,2,45,97,60,112,3,11,25,69,12,17,8,11,35,82,8,10,2,5,1
Deiveson Figueiredo,14,3864,6,16,0,999.0,0,0,0,0,651.0,202,351,231,383,8,14,154,285,45,63,3,3,115,227,23,33,64,91,206,435,281,522,10,27,129,319,29,50,48,66,144,330,36,56,26,49,7
Demian Maia,58,15811,1,18,5,6096.0,7,4,1,7,2236.0,481,1095,1077,1814,44,153,368,942,89,123,24,30,234,754,66,102,181,239,512,1324,879,1737,14,36,338,1076,71,118,103,130,360,1094,43,68,109,162,15
Derek Brunson,31,7858,5,4,0,2268.0,5,5,0,0,87.0,464,969,770,1316,28,89,301,742,75,111,88,116,321,758,67,102,76,109,398,852,565,1030,0,16,210,584,127,170,61,98,294,714,67,92,37,46,10
Derrick Lewis,36,8850,5,0,3,1314.0,4,2,6,2,2622.0,412,815,452,861,6,23,336,710,61,81,15,24,150,434,61,99,201,282,361,632,691,999,22,51,205,422,92,134,64,76,226,438,61,91,74,103,11
Diego Ferreira,12,2939,2,3,2,593.0,1,2,0,0,219.0,302,766,387,862,2,13,218,635,59,102,25,29,234,672,12,18,56,76,170,428,190,449,3,12,132,368,23,42,15,18,158,398,5,9,7,21,5
Dominick Cruz,37,10659,1,0,3,1492.0,2,2,3,2,435.0,660,1906,890,2160,35,69,456,1616,107,169,97,121,569,1743,40,75,51,88,390,1584,482,1682,6,41,250,1342,77,150,63,92,336,1487,47,87,7,10,8
Dominick Reyes,13,3622,2,1,0,222.0,1,0,0,0,417.0,278,561,303,591,1,5,125,372,87,111,66,78,222,489,39,44,17,28,184,348,208,373,6,33,83,217,45,59,56,72,171,328,11,16,2,4,4
Donald Cerrone,83,22379,18,28,2,2563.0,12,6,5,0,2538.0,1580,3398,1848,3704,29,88,776,2365,395,556,409,477,1322,3006,146,228,112,164,1593,3377,1857,3713,28,100,920,2428,403,616,270,333,1342,2956,166,237,85,184,22
Drew Dober,25,6461,3,1,0,1370.0,5,0,4,2,1229.0,508,1256,693,1465,7,38,338,1022,101,152,69,82,378,1072,80,119,50,65,450,1023,594,1182,12,29,318,855,102,133,30,35,364,896,60,88,26,39,7
Dustin Poirier,39,10340,3,16,4,1817.0,5,2,10,0,2155.0,1006,2032,1189,2240,8,42,791,1754,108,147,107,131,799,1710,165,255,42,67,828,1754,1039,1988,17,49,534,1365,169,243,125,146,673,1532,100,149,55,73,10
Edmen Shahbazyan,10,1823,4,1,0,639.0,1,0,0,0,230.0,117,227,125,236,9,22,81,180,31,41,5,6,57,140,37,49,23,38,131,261,163,295,5,12,91,207,22,30,18,24,72,178,22,35,37,48,5
Edson Barboza,54,14560,12,2,0,916.0,7,2,5,0,2333.0,928,2149,979,2210,8,18,400,1404,282,426,246,319,868,2058,27,38,33,53,962,2445,1289,2816,18,81,722,2069,120,220,120,156,726,2105,19,35,217,305,14
Felice Herrig,18,5089,0,5,3,1514.0,3,0,4,5,1184.0,271,763,444,962,7,20,158,581,79,126,34,56,180,645,55,70,36,48,362,720,579,962,5,15,238,567,65,83,59,70,221,548,65,77,76,95,4
Francis Ngannou,15,3326,3,2,0,94.0,2,0,0,0,1017.0,98,299,120,324,0,1,80,271,11,20,7,8,75,264,10,17,13,18,127,233,264,389,9,25,67,152,23,35,37,46,89,182,10,14,28,37,6
Frankie Edgar,64,18823,1,4,2,3880.0,6,2,6,0,727.0,1191,3046,1589,3475,48,149,773,2435,227,379,191,232,879,2576,93,143,219,327,867,2648,1069,2868,16,38,634,2303,135,222,98,123,787,2520,61,102,19,26,13
Geoff Neal,10,2116,6,1,0,351.0,0,1,0,1,88.0,213,428,232,447,2,4,190,399,17,23,6,6,141,323,27,41,45,64,126,364,156,400,1,14,70,273,39,71,17,20,110,329,12,25,4,10,6
Germaine de Randamie,17,4792,1,4,0,265.0,1,0,2,0,2306.0,207,505,397,727,0,1,141,419,43,56,23,30,156,435,40,50,11,20,174,542,376,809,13,36,107,442,25,40,42,60,79,361,22,28,73,153,5
Gilbert Burns,21,5705,4,6,0,1775.0,1,2,1,0,714.0,357,691,553,906,15,36,218,514,79,96,60,81,221,513,45,64,91,114,200,474,256,537,3,9,112,350,49,79,39,45,173,439,21,26,6,9,9
Gillian Robertson,10,2489,0,2,0,1573.0,2,0,1,1,147.0,128,242,217,351,9,20,103,207,12,16,13,19,36,116,2,2,90,124,95,211,147,267,0,0,76,191,14,15,5,5,54,156,22,27,19,28,4
Glover Teixeira,39,9385,5,10,3,2692.0,4,4,2,2,1697.0,592,1177,977,1635,19,53,519,1083,62,83,11,11,281,728,49,75,262,374,573,1288,760,1493,24,57,427,1099,107,147,39,42,396,1040,81,134,96,114,14
Gregor Gillespie,5,1331,1,1,0,1008.0,0,0,0,0,3.0,61,146,143,245,9,25,54,136,1,4,6,6,35,97,4,11,22,38,65,145,98,183,0,0,59,134,6,11,0,0,31,104,32,38,2,3,2
Holly Holm,38,10788,2,1,0,2005.0,5,1,2,1,648.0,494,1403,730,1676,6,22,231,978,137,233,126,192,407,1287,63,82,24,34,504,1177,704,1393,6,26,249,808,146,214,109,155,383,1030,104,125,17,22,6
Ian Heinisch,8,2091,2,2,1,103.0,1,0,0,0,452.0,143,279,204,343,1,15,100,223,27,34,16,22,86,202,22,33,35,44,115,260,152,302,8,22,71,196,32,49,12,15,98,236,11,17,6,7,3
Irene Aldana,27,7995,1,1,3,111.0,4,1,0,1,1081.0,736,1896,866,2038,2,4,497,1525,99,182,140,189,668,1803,44,61,24,32,795,2050,904,2178,7,45,505,1623,158,266,132,161,734,1938,30,53,31,59,5
Islam Makhachev,11,2704,1,2,0,1351.0,1,1,1,0,138.0,103,167,219,307,13,20,81,143,19,20,3,4,41,92,17,23,45,52,45,131,118,209,1,14,13,72,18,36,14,23,30,111,12,17,3,3,5
Israel Adesanya,22,6456,6,3,0,158.0,0,0,0,1,652.0,440,866,486,914,0,3,235,610,75,105,130,151,377,788,39,48,24,30,251,709,283,746,7,45,150,569,41,63,60,77,226,669,23,38,2,2,6
Jack Hermansson,13,3053,0,3,0,847.0,2,1,8,1,698.0,246,435,332,527,7,16,166,316,31,46,49,73,98,233,34,46,114,156,88,245,113,274,5,16,38,166,34,55,16,24,57,190,19,31,12,24,6
Jairzinho Rozenstruik,11,2406,4,0,1,31.0,1,1,0,0,690.0,159,311,186,338,0,0,99,239,18,23,42,49,113,252,24,32,22,27,122,190,157,228,4,16,66,126,29,33,27,31,88,152,10,11,24,27,4
Jan Blachowicz,22,5908,3,2,0,772.0,3,1,0,1,2043.0,338,635,475,789,7,9,207,464,84,112,47,59,210,465,67,88,61,82,304,602,493,817,8,28,210,464,39,67,55,71,145,394,46,63,113,145,5
Jared Cannonier,13,2982,3,0,0,122.0,4,4,0,0,507.0,176,360,206,392,0,0,101,261,28,42,47,57,120,289,20,28,36,43,194,467,222,498,8,27,134,383,22,40,38,44,175,431,5,9,14,27,3
Jennifer Maia,12,3600,0,0,0,577.0,2,0,0,0,848.0,243,637,310,713,1,2,166,535,40,62,37,40,201,577,39,53,3,7,227,490,401,687,4,16,118,353,56,75,53,62,182,438,25,31,20,21,2
Jeremy Stephens,54,14349,10,6,5,1706.0,13,3,17,2,3940.0,673,1772,943,2065,12,49,384,1382,118,160,171,230,506,1512,80,113,87,147,756,1717,1189,2199,31,84,456,1325,117,176,183,216,605,1471,53,86,98,160,8
Jessica Andrade,26,7018,3,3,0,2056.0,4,3,6,0,414.0,719,1470,970,1751,20,40,499,1173,146,216,74,81,501,1127,157,267,61,76,682,1398,772,1498,5,24,421,1082,133,178,128,138,508,1145,156,224,18,29,8
Jessica Eye,27,8100,0,7,0,964.0,5,1,7,0,1854.0,466,1191,619,1359,5,11,266,909,98,157,102,125,397,1091,50,76,19,24,426,1036,663,1292,11,30,273,821,81,113,72,102,300,877,54,74,72,85,4
Jimmie Rivera,22,6333,2,1,0,409.0,2,3,0,0,332.0,448,1064,521,1144,7,24,232,754,100,165,116,145,389,977,47,71,12,16,331,955,373,998,2,20,176,732,85,137,70,86,282,890,40,49,9,16,6
Jimmy Crute,6,1484,2,5,2,713.0,0,0,0,1,258.0,101,170,145,223,9,12,72,135,13,17,16,18,83,141,1,3,17,26,63,133,102,174,3,7,49,116,11,14,3,3,59,129,1,1,3,3,4
Jiri Prochazka,2,349,1,0,0,2.0,0,0,0,0,17.0,33,73,33,73,0,0,29,67,3,5,1,1,33,73,0,0,0,0,41,92,44,95,0,1,30,76,3,6,8,10,41,92,0,0,0,0,1
Joanna Jedrzejczyk,48,14245,1,1,0,1215.0,4,2,2,0,3103.0,1433,3102,1658,3347,5,8,640,2027,374,543,419,532,1167,2736,255,348,11,18,751,2098,948,2315,21,103,485,1653,111,208,155,237,630,1913,87,143,34,42,8
Joanne Calderwood,19,5533,3,2,2,1589.0,3,0,3,0,555.0,592,1241,890,1586,13,22,251,750,115,213,226,278,491,1086,61,89,40,66,407,895,575,1083,6,13,228,640,115,158,64,97,340,809,49,64,18,22,4
Johnny Walker,2,153,2,0,0,8.0,0,0,0,0,5.0,14,19,14,19,0,0,11,16,1,1,2,2,6,8,3,3,5,8,5,11,6,12,0,0,3,8,0,0,2,3,2,7,3,4,0,0,2
Jordan Espinosa,8,2036,0,0,0,43.0,3,0,2,0,97.0,104,286,104,286,1,5,38,194,24,34,42,58,100,277,4,9,0,0,98,248,113,263,1,2,50,176,9,23,39,49,91,235,7,13,0,0,1
Jorge Masvidal,53,15042,10,7,1,2785.0,5,3,2,2,2980.0,1084,2232,1495,2700,25,40,719,1763,245,314,120,155,748,1730,172,226,164,276,773,2238,1250,2768,24,95,463,1759,195,335,115,144,616,1994,107,151,50,93,13
Jose Aldo,58,15934,7,3,0,2063.0,4,2,0,0,1733.0,874,1940,1080,2162,12,19,582,1542,154,235,138,163,735,1747,36,42,103,151,871,2214,1164,2552,7,73,559,1752,152,238,160,224,634,1898,82,110,155,206,13
Joseph Benavidez,53,14887,6,9,1,2333.0,6,3,2,0,1253.0,938,2770,1158,3019,16,64,520,2056,228,413,190,301,727,2401,122,211,89,158,624,1758,789,1950,30,86,355,1378,191,279,78,101,464,1517,126,195,34,46,15
Josh Emmett,13,3819,2,1,0,271.0,1,0,0,0,235.0,231,593,251,619,8,18,124,440,57,93,50,60,176,521,35,45,20,27,209,676,250,724,4,7,149,583,40,67,20,26,178,620,25,47,6,9,4
Julia Avila,7,1822,1,0,0,465.0,1,0,3,1,776.0,94,229,143,292,1,2,66,191,16,24,12,14,61,182,28,40,5,7,88,194,148,270,4,10,74,175,10,15,4,4,51,137,8,15,29,42,2
Julianna Pena,10,2812,0,1,1,1449.0,2,0,3,2,801.0,136,296,396,608,9,17,93,240,34,45,9,11,19,94,35,45,82,157,65,141,144,240,6,8,45,120,18,19,2,2,38,107,15,19,12,15,3
Junior Dos Santos,45,11998,11,0,0,391.0,5,4,0,0,1287.0,951,1950,1025,2041,5,8,593,1425,319,476,39,49,832,1747,53,93,66,110,586,1479,707,1622,14,73,404,1252,76,102,106,125,446,1278,82,120,58,81,12
Jussier Formiga,20,5522,2,5,1,1460.0,4,3,1,3,939.0,136,323,264,460,13,39,97,273,21,29,18,21,97,271,12,20,27,32,219,611,394,798,1,20,130,478,65,102,24,31,113,463,56,79,50,69,5
Justin Gaethje,17,4080,3,0,0,136.0,3,1,1,0,81.0,476,802,481,809,0,1,280,582,44,54,152,166,430,745,42,50,4,7,531,1187,544,1204,3,10,358,972,112,144,61,71,489,1140,38,43,4,4,4
Kai Kara-France,14,3948,2,0,1,698.0,2,3,4,1,272.0,326,872,399,958,2,12,227,737,46,70,53,65,263,758,7,14,56,100,263,757,285,781,1,15,188,655,52,75,23,27,249,728,8,18,6,11,3
Kamaru Usman,19,5479,1,2,0,3540.0,0,0,3,0,42.0,368,644,778,1095,28,66,217,463,109,134,42,47,169,370,72,91,127,183,177,436,273,552,0,0,99,336,52,70,26,30,122,364,43,54,12,18,6
Katlyn Chookagian,22,6595,1,1,0,110.0,3,1,0,0,1279.0,479,1434,622,1588,0,16,275,1141,118,188,86,105,432,1365,36,55,11,14,507,1371,661,1545,12,26,232,983,79,139,196,249,451,1293,40,59,16,19,5
Kelvin Gastelum,35,10126,6,1,6,1200.0,4,5,5,2,1839.0,657,1532,833,1727,6,19,470,1291,109,152,78,89,550,1361,60,102,47,69,521,1330,664,1490,21,59,331,1045,117,194,73,91,418,1174,69,112,34,44,8
Ketlen Vieira,9,2700,0,1,0,1359.0,0,0,0,0,64.0,125,363,252,515,7,13,99,333,17,21,9,9,86,310,22,34,17,19,171,399,290,534,0,8,79,281,48,68,44,50,113,316,46,63,12,20,3
Kevin Lee,24,6260,1,5,2,3041.0,2,0,7,1,308.0,440,906,665,1153,24,55,357,802,79,100,4,4,235,639,32,39,173,228,331,658,403,735,2,15,198,484,74,104,59,70,265,576,37,47,29,35,8
Khabib Nurmagomedov,20,5181,2,6,0,2817.0,0,0,1,0,133.0,317,652,501,859,39,76,267,587,31,43,19,22,111,371,19,25,187,256,126,358,186,432,2,9,59,263,35,60,32,35,105,332,17,20,4,6,8
Lauren Murphy,21,6106,1,0,0,1213.0,4,0,2,1,1345.0,336,931,622,1254,7,21,225,793,30,46,81,92,236,818,49,55,51,58,333,980,557,1235,10,26,225,825,43,80,65,75,280,904,28,40,25,36,3
Leon Edwards,24,6789,3,4,2,2240.0,1,1,2,0,1262.0,287,624,444,807,14,45,203,510,63,90,21,24,206,519,49,62,32,43,248,564,512,856,8,29,141,415,61,86,46,63,190,476,38,49,20,39,7
Lina Lansberg,16,4502,0,1,1,1502.0,3,0,1,0,1900.0,249,425,431,651,4,14,132,288,92,110,25,27,78,203,112,143,59,79,313,560,593,890,9,21,177,395,114,137,22,28,141,333,122,148,50,79,3
Mackenzie Dern,5,1280,0,6,1,107.0,1,0,0,0,226.0,34,179,66,213,0,7,24,163,6,11,4,5,26,171,0,0,8,8,84,237,102,257,2,2,46,187,24,34,14,16,78,227,4,5,2,5,2
Macy Chiasson,5,982,2,2,2,555.0,0,0,2,0,239.0,92,165,144,220,0,6,64,129,26,34,2,2,31,71,13,21,48,73,42,75,83,124,1,5,25,54,15,19,2,2,22,48,12,17,8,10,3
Magomed Ankalaev,8,1756,3,0,0,684.0,0,0,0,0,48.0,94,173,177,269,2,6,66,135,20,27,8,11,57,128,12,18,25,27,37,121,53,139,0,7,18,87,10,22,9,12,29,111,8,10,0,0,4
Marcin Tybura,28,7807,1,0,0,2351.0,4,2,0,0,777.0,477,998,821,1444,15,32,325,794,76,117,76,87,343,791,40,70,94,137,446,1073,580,1230,1,15,310,913,84,102,52,58,361,957,78,107,7,9,6
Marina Rodriguez,4,1083,0,0,0,64.0,1,0,1,0,534.0,75,122,130,182,1,1,54,100,12,13,9,9,28,59,12,15,35,48,41,79,126,171,5,9,35,72,3,3,3,4,11,34,2,2,28,43,1
Marion Reneau,18,5017,0,3,0,608.0,3,1,0,1,1570.0,280,710,384,831,4,6,202,603,51,77,27,30,192,576,65,97,23,37,298,661,478,858,12,25,128,436,92,124,78,101,188,516,91,108,19,37,4
Marlon Moraes,11,2791,3,1,0,99.0,1,1,1,0,187.0,175,410,180,415,2,6,116,326,30,41,29,43,164,398,3,3,8,9,194,436,212,456,3,8,137,352,45,69,12,15,145,376,22,27,27,33,4
Marlon Vera,29,7654,4,11,0,1027.0,4,0,0,2,2284.0,475,936,565,1043,8,18,244,593,117,201,114,142,314,709,82,109,79,118,495,1012,735,1274,11,35,317,740,108,172,70,100,325,771,74,110,96,131,9
Marvin Vettori,8,2327,0,3,0,530.0,0,0,0,0,253.0,202,387,297,499,8,15,174,353,13,18,15,16,120,281,22,32,60,74,98,274,140,319,1,8,37,170,21,42,40,62,84,258,11,12,3,4,4
Matt Schnell,9,2308,0,4,0,44.0,1,1,1,0,282.0,140,408,161,430,1,4,89,328,10,26,41,54,133,393,7,15,0,0,126,368,160,403,2,4,80,299,15,21,31,48,104,346,8,8,14,14,4
Mauricio Rua,55,14643,13,15,4,2164.0,8,6,10,7,1761.0,945,1853,1473,2445,39,77,580,1369,182,250,183,234,485,1135,208,317,252,401,702,1571,1085,1988,31,64,489,1299,153,189,60,83,446,1183,150,238,106,150,19
Max Holloway,52,15138,7,5,0,820.0,5,0,3,1,1467.0,1714,3773,1831,3903,4,5,1221,3080,358,502,135,191,1435,3395,148,199,131,179,1138,2994,1189,3059,18,95,682,2296,152,302,304,396,1041,2834,65,100,32,60,12
Maycee Barber,6,1505,0,1,3,371.0,1,1,0,1,702.0,118,196,143,226,1,5,92,167,20,23,6,6,44,103,41,46,33,47,72,140,187,274,1,3,35,94,23,29,14,17,39,99,26,30,7,11,2
