M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Rogerio Bontorin,4,1076,0,0,0,182.0,1,0,0,0,683.0,17,35,32,51,2,7,9,27,5,5,3,3,10,27,6,7,1,1,38,60,67,93,10,19,38,58,0,2,0,0,5,22,12,16,21,22,1
Rose Namajunas,19,5098,2,3,1,533.0,2,0,1,0,475.0,376,994,392,1019,6,14,299,877,55,89,22,28,315,905,19,35,42,54,400,932,535,1097,9,16,181,644,88,144,131,144,330,836,47,69,23,27,5
Roxanne Modafferi,29,8362,1,1,4,2529.0,6,0,4,8,1188.0,456,1425,905,1980,15,60,359,1254,57,114,40,57,347,1256,51,82,58,87,709,1475,903,1697,9,15,502,1211,93,141,114,123,555,1270,98,131,56,74,4
Ryan Hall,10,2866,2,3,1,452.0,0,0,0,0,687.0,111,256,270,437,1,6,44,123,34,90,33,43,92,229,2,5,17,22,46,187,69,219,0,0,14,125,17,29,15,33,28,135,1,3,17,49,4
Ryan Spann,4,563,1,2,0,112.0,1,1,0,0,38.0,31,82,31,82,1,3,26,76,4,5,1,1,19,67,9,12,3,3,28,68,33,73,2,3,18,56,8,10,2,2,18,54,9,12,1,2,2
Sara McMann,34,9180,1,6,1,3153.0,5,2,9,3,942.0,365,790,877,1361,46,72,228,604,87,131,50,55,134,445,76,110,155,235,285,548,731,1049,1,3,202,442,48,67,35,39,134,361,67,89,84,98,10
Sergei Pavlovich,2,392,1,0,0,26.0,1,0,0,0,116.0,33,69,39,75,0,2,29,61,3,7,1,1,15,39,10,18,8,12,30,48,34,53,1,2,14,27,9,11,7,10,11,27,7,7,12,14,1
Shamil Abdurakhimov,14,3798,2,1,0,734.0,2,0,1,0,206.0,145,357,249,473,7,27,79,263,31,48,35,46,97,278,28,50,20,29,145,388,175,424,4,8,96,319,25,41,24,28,75,275,29,52,41,61,4
Shane Burgos,16,4335,5,1,0,353.0,1,2,1,0,584.0,520,1019,647,1170,2,2,351,814,104,134,65,71,397,866,47,57,76,96,364,926,376,940,4,48,247,746,45,83,72,97,330,871,22,38,12,17,5
Sijara Eubanks,15,4500,1,3,1,1444.0,2,0,0,0,513.0,331,813,450,952,9,21,233,674,63,102,35,37,250,692,16,22,65,99,238,630,380,798,4,13,195,561,30,50,13,19,219,605,15,21,4,4,3
