M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Jessica Andrade,26,116.96666666666667,3,0.025648332858364205,0,2056.0,4,3,6,0,414.0,6.147050441721288,1470,970,1751,0.17098888572242804,40,499,1173,146,216,74,81,501,1127,1.34226275292106,267,0.5215161014534055,76,682,1398,772,1498,5,24,421,1082,133,178,128,138,508,1145,156,224,18,29,8
Jessica Eye,27,135.0,0,0.05185185185185185,0,964.0,5,1,7,0,1854.0,3.4518518518518517,1191,619,1359,0.037037037037037035,11,266,909,98,157,102,125,397,1091,0.37037037037037035,76,0.14074074074074075,24,426,1036,663,1292,11,30,273,821,81,113,72,102,300,877,54,74,72,85,4
Jimmie Rivera,22,105.55,2,0.009474182851729039,0,409.0,2,3,0,0,332.0,4.244433917574609,1064,521,1144,0.06631927996210327,24,232,754,100,165,116,145,389,977,0.4452865940312648,71,0.11369019422074847,16,331,955,373,998,2,20,176,732,85,137,70,86,282,890,40,49,9,16,6
Jimmy Crute,6,24.733333333333334,2,0.20215633423180593,2,713.0,0,0,0,1,258.0,4.083557951482479,170,145,223,0.36388140161725063,12,72,135,13,17,16,18,83,141,0.04043126684636118,3,0.6873315363881402,26,63,133,102,174,3,7,49,116,11,14,3,3,59,129,1,1,3,3,4
Jiri Prochazka,2,5.816666666666666,1,0.0,0,2.0,0,0,0,0,17.0,5.673352435530086,73,33,73,0.0,0,29,67,3,5,1,1,33,73,0.0,0,0.0,0,41,92,44,95,0,1,30,76,3,6,8,10,41,92,0,0,0,0,1
Joanna Jedrzejczyk,48,237.41666666666666,1,0.004212004212004212,0,1215.0,4,2,2,0,3103.0,6.035802035802036,3102,1658,3347,0.02106002106002106,8,640,2027,374,543,419,532,1167,2736,1.074061074061074,348,0.04633204633204634,18,751,2098,948,2315,21,103,485,1653,111,208,155,237,630,1913,87,143,34,42,8
Joanne Calderwood,19,92.21666666666667,3,0.021688053497198625,2,1589.0,3,0,3,0,555.0,6.419663835170793,1241,890,1586,0.14097234773179107,22,251,750,115,213,226,278,491,1086,0.6614856316645581,89,0.4337610699439725,66,407,895,575,1083,6,13,228,640,115,158,64,97,340,809,49,64,18,22,4
Johnny Walker,2,2.55,2,0.0,0,8.0,0,0,0,0,5.0,5.490196078431373,19,14,19,0.0,0,11,16,1,1,2,2,6,8,1.1764705882352942,3,1.9607843137254903,8,5,11,6,12,0,0,3,8,0,0,2,3,2,7,3,4,0,0,2
Jordan Espinosa,8,33.93333333333333,0,0.0,0,43.0,3,0,2,0,97.0,3.06483300589391,286,104,286,0.02946954813359529,5,38,194,24,34,42,58,100,277,0.11787819253438116,9,0.0,0,98,248,113,263,1,2,50,176,9,23,39,49,91,235,7,13,0,0,1
Jorge Masvidal,53,250.7,10,0.027921818907060234,1,2785.0,5,3,2,2,2980.0,4.323893099321899,2232,1495,2700,0.0997207818109294,40,719,1763,245,314,120,155,748,1730,0.6860789788591943,226,0.6541683286796969,276,773,2238,1250,2768,24,95,463,1759,195,335,115,144,616,1994,107,151,50,93,13
