M_NAME,M_RES,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_KD,OP_SIG_STR,OP_TOTAL_STR,OP_TD,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Method_DQ,Method_Decision - Majority,Method_Decision - Split,Method_Decision - Unanimous,Method_KO/TKO,Method_Submission,Method_TKO - Doctor's Stoppage
Pannie Kianzad,0.5,0.0,4.561252900232018,44.75,5.177416860015468,0.016666666666666666,16.666666666666668,0.03480278422273782,0.0,3.85,3.231361175560712,0.7632250580046404,0.5666666666666667,3.861755607115236,0.682830626450116,0.016666666666666666,0.05146945088940448,0.05146945088940448,3.6686001546790408,4.9543696829079655,0.016666666666666666,0.06960556844547564,0.0,13.6,2.1661639597834492,0.9343000773395205,0.5681361175560712,2.7343000773395207,0.7813611755607115,0.15293890177880898,0.0,0.0,0.0,0.75,0.0,0.25,0.0
Paul Craig,0.5555555555555556,0.03350083752093802,2.5565286470054414,50.22222222222222,4.912965307773788,0.09444165761498563,28.25,0.15706311031255996,0.01523416768894805,12.283333333333333,1.266039282723951,0.8107801625247163,0.47970920175677356,1.2972627279878863,0.7887555223449233,0.47051039667263184,0.09017225641457914,0.049189189189189186,2.964062272575311,4.149486490109447,0.0763031815802964,0.029928918817807706,0.029795753439308008,29.45,2.2263800306988384,0.5483806178044196,0.18930162407205275,0.9303869737904166,0.5195319025252765,1.5141433962596176,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
Paul Felder,0.6428571428571429,0.04316373588971199,3.8187908063704286,45.57142857142857,4.557259785746032,0.015014809751651858,21.428571428571427,0.015379357484620642,0.0,23.9,2.196653407902808,0.7649632509398682,0.8571741475277526,2.578229155540775,0.5341789155826203,0.7063827352470334,0.022895493767976987,0.0047619047619047615,3.1609055732343303,3.851570656356995,0.1015924859988038,0.015698587127158554,0.012611198325484038,37.88333333333333,1.525505376381637,0.8115809475968272,0.8238192492558659,2.7094786468396515,0.311362513170857,0.14006441322382182,0.0,0.0,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.07142857142857142
Paulo Costa,0.8333333333333334,0.18892496269102468,8.482679817879957,56.666666666666664,8.825640839486551,0.0,0.0,0.0,0.0,0.6,5.279220137056069,2.8434411199588925,0.3600185608649947,6.548597634849926,0.7183930919355331,1.2156890910944973,0.01855287569573284,0.029663986806843953,6.061493556997937,6.252750387599029,0.06575591985428052,0.0,0.0,1.7833333333333334,3.3431741523993597,1.3985174003585554,1.3198020042400211,5.19846698664903,0.7146035647830439,0.14842300556586271,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0
Pedro Munhoz,0.6153846153846154,0.06021830327852556,6.114583513196546,45.0,6.670457216214986,0.11184458007062796,28.0,0.10919410235582108,0.018993352326685663,9.633333333333333,3.7441011934891573,0.917935275969296,1.4525470437380923,5.232675134792609,0.37693407347977775,0.5049743049241597,0.023589743589743587,0.0,6.11668422217115,6.289301541958281,0.04291628050664195,0.0,0.0,4.783333333333333,4.460595156673127,1.0753380026091404,0.580751062888883,5.850893277083022,0.1773249631413725,0.08846598194675435,0.0,0.0,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.0
Petr Yan,1.0,0.14756132065618846,6.267764333471953,51.57142857142857,7.658534285828219,0.10419431959089812,49.666666666666664,0.014285714285714287,0.009523809523809523,12.3,4.68120018913176,1.3487708334520154,0.2377933108881787,4.010142760298281,0.8256361834122331,1.4319853897614396,0.0,0.009523809523809523,3.1332922218614288,3.3904054559575556,0.028571428571428574,0.0,0.0,4.416666666666667,1.8263077340837839,0.6800184954150739,0.6269659923625709,2.6939116093859488,0.3536663267611946,0.08571428571428572,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0
Rafael Dos Anjos,0.6206896551724138,0.07576709939151602,4.0159560477355205,45.41379310344828,5.414987784697096,0.10836830721452981,34.5,0.07048933714380323,0.005513977705025038,92.23333333333333,2.527303339664275,0.8050089027500704,0.6836438053211747,2.7181138835674625,0.5259324801621886,0.7719096840058699,0.029895182743453545,0.003237817710862878,3.0470075940756316,4.151828468952905,0.11422026787043059,0.005928614640048396,0.006475635421725756,100.3,1.8581107106827572,0.6812011034183539,0.50769577997452,2.293162944412277,0.5243227071397805,0.22952194252357314,0.0,0.0,0.034482758620689655,0.5862068965517241,0.20689655172413793,0.1724137931034483,0.0
Raphael Assuncao,0.6666666666666666,0.01598995683502726,3.24668022851574,39.61904761904762,4.156046500291354,0.09387093036728072,38.93333333333333,0.01965009848221527,0.0031746031746031746,38.666666666666664,1.6575125128707593,0.5935096327858017,0.9956580828591794,2.6095998039435955,0.3022480225864585,0.3348324019856867,0.05104041295185333,0.04496309662121975,2.275926408504112,2.8348634968371322,0.02996475030318622,0.040443868668198636,0.0031746031746031746,22.916666666666668,1.0160667172410167,0.5611203372398528,0.6987393540232427,2.032549447152231,0.13338431795283337,0.10999264339904706,0.0,0.0,0.23809523809523808,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.0
Raquel Pennington,0.6153846153846154,0.0,3.5294037382000214,49.30769230769231,5.18423213904908,0.0855578651476482,46.46153846153846,0.05905153931909784,0.005128205128205128,43.916666666666664,2.0650392769787804,1.024140524386181,0.44022393683505945,1.9115560301223424,1.322084886236779,0.2957628218408992,0.02391649648286816,0.0,3.082650966499784,4.999650146126602,0.09241667065090274,0.007718034473887317,0.005128205128205128,44.53333333333333,1.6227338234323165,0.9573619955482802,0.502555147519187,1.9890117045472655,1.0442632692136942,0.0493759927388246,0.0,0.0,0.3076923076923077,0.46153846153846156,0.07692307692307693,0.15384615384615385,0.0
Raulian Paiva,0.6,0.02061855670103093,3.9846141830677917,39.0,4.712049359575134,0.013333333333333332,50.0,0.013333333333333332,0.0,4.183333333333334,2.351624492346142,1.0195189003436425,0.6134707903780069,3.5590471727585133,0.25828178694158077,0.1672852233676976,0.08151515151515151,0.0,4.526622930334271,4.686622930334271,0.20303030303030303,0.0,0.0,2.1333333333333333,2.588747266479225,0.8959450171821306,1.0419306466729146,4.091155888784755,0.24880037488284906,0.18666666666666668,0.0,0.0,0.4,0.2,0.2,0.0,0.2
