,M_NAME,Cluster
0,Al Iaquinta,0
1,Aleksandar Rakic,0
2,Aleksei Oleinik,4
3,Alex Perez,1
4,Alexander Volkanovski,4
5,Alexander Volkov,1
6,Alexandre Pantoja,1
7,Alexis Davis,4
8,Alistair Overeem,4
9,Aljamain Sterling,4
10,Amanda Nunes,4
11,Amanda Ribas,1
12,Andrea Lee,1
13,Angela Hill,1
14,Anthony Pettis,2
15,Anthony Smith,2
16,Antonina Shevchenko,1
17,Arnold Allen,1
18,Askar Askarov,0
19,Aspen Ladd,1
20,Augusto Sakai,1
21,Beneil Dariush,4
22,Blagoy Ivanov,1
23,Brad Tavares,2
24,Brandon Moreno,1
25,Brandon Royval,1
26,Brian Ortega,0
27,Bryce Mitchell,1
28,Calvin Kattar,0
29,Carla Esparza,4
30,Chan Sung Jung,1
31,Charles Oliveira,2
32,Chris Weidman,4
33,Ciryl Gane,0
34,Claudia Gadelha,4
35,Cody Garbrandt,0
36,Cody Stamann,1
37,Colby Covington,3
38,Conor McGregor,1
39,Cory Sandhagen,1
40,Curtis Blaydes,4
41,Cynthia Calvillo,1
42,Dan Hooker,0
43,Dan Ige,1
44,Darren Till,1
45,David Dvorak,0
46,Deiveson Figueiredo,1
47,Demian Maia,3
48,Derek Brunson,4
49,Derrick Lewis,2
50,Diego Ferreira,0
51,Dominick Cruz,4
52,Dominick Reyes,0
53,Donald Cerrone,2
54,Drew Dober,0
55,Dustin Poirier,2
56,Edmen Shahbazyan,1
57,Edson Barboza,1
58,Felice Herrig,4
59,Francis Ngannou,0
60,Frankie Edgar,3
61,Geoff Neal,1
62,Germaine de Randamie,0
63,Gilbert Burns,4
64,Gillian Robertson,4
65,Glover Teixeira,4
66,Gregor Gillespie,4
67,Holly Holm,4
68,Ian Heinisch,0
69,Irene Aldana,1
70,Islam Makhachev,4
71,Israel Adesanya,0
72,Jack Hermansson,1
73,Jairzinho Rozenstruik,0
74,Jan Blachowicz,2
75,Jared Cannonier,1
76,Jennifer Maia,1
77,Jeremy Stephens,2
78,Jessica Andrade,4
79,Jessica Eye,1
80,Jimmie Rivera,0
81,Jimmy Crute,1
82,Jiri Prochazka,0
83,Joanna Jedrzejczyk,2
84,Joanne Calderwood,4
85,Johnny Walker,1
86,Jordan Espinosa,0
87,Jorge Masvidal,2
88,Jose Aldo,4
89,Joseph Benavidez,4
90,Josh Emmett,0
91,Julia Avila,1
92,Julianna Pena,4
93,Junior Dos Santos,1
94,Jussier Formiga,4
95,Justin Gaethje,0
96,Kai Kara-France,0
97,Kamaru Usman,3
98,Katlyn Chookagian,0
99,Kelvin Gastelum,4
100,Ketlen Vieira,1
101,Kevin Lee,3
102,Khabib Nurmagomedov,3
103,Lauren Murphy,4
104,Leon Edwards,2
105,Lina Lansberg,2
106,Mackenzie Dern,0
107,Macy Chiasson,0
108,Magomed Ankalaev,0
109,Marcin Tybura,4
110,Marina Rodriguez,1
111,Marion Reneau,1
112,Marlon Moraes,1
113,Marlon Vera,1
114,Marvin Vettori,1
115,Matt Schnell,1
116,Mauricio Rua,2
117,Max Holloway,1
118,Maycee Barber,0
119,Merab Dvalishvili,4
120,Michael Chiesa,4
121,Michelle Waterson,4
122,Misha Cirkunov,1
123,Montana De La Rosa,0
124,Nate Diaz,2
125,Neil Magny,2
126,Nikita Krylov,4
127,Nina Ansaroff,1
128,Omari Akhmedov,4
129,Pannie Kianzad,0
130,Paul Craig,0
131,Paul Felder,0
132,Paulo Costa,0
133,Pedro Munhoz,0
134,Petr Yan,1
135,Rafael Dos Anjos,2
136,Raphael Assuncao,4
137,Raquel Pennington,2
138,Raulian Paiva,1
139,Rob Font,1
140,Robbie Lawler,2
141,Robert Whittaker,1
142,Rogerio Bontorin,0
143,Rose Namajunas,4
144,Roxanne Modafferi,4
145,Ryan Hall,0
146,Ryan Spann,1
147,Sara McMann,4
148,Sergei Pavlovich,0
149,Shamil Abdurakhimov,0
150,Shane Burgos,1
151,Sijara Eubanks,4
152,Sodiq Yusuff,0
153,Song Yadong,1
154,Stephen Thompson,1
155,Stipe Miocic,4
156,Tecia Torres,4
157,Thiago Santos,1
158,Tim Elliott,2
159,Tony Ferguson,1
160,Tyron Woodley,2
161,Tyson Nam,0
162,Uriah Hall,1
163,Valentina Shevchenko,4
164,Vicente Luque,1
165,Virna Jandiroba,1
166,Viviane Araujo,1
167,Volkan Oezdemir,0
168,Walt Harris,0
169,Yair Rodriguez,1
170,Yan Xiaonan,1
171,Yana Kunitskaya,4
172,Yoel Romero,0
173,Zabit Magomedsharipov,1
174,Zhang Weili,0
