,M_NAME,Cluster
0,Al Iaquinta,1
1,Aleksandar Rakic,6
2,Aleksei Oleinik,1
3,Alex Perez,2
4,Alexander Volkanovski,6
5,Alexander Volkov,2
6,Alexandre Pantoja,1
7,Alexis Davis,5
8,Alistair Overeem,6
9,Aljamain Sterling,6
10,Amanda Nunes,4
11,Amanda Ribas,6
12,Andrea Lee,1
13,Angela Hill,1
14,Anthony Pettis,0
15,Anthony Smith,0
16,Antonina Shevchenko,0
17,Arnold Allen,3
18,Askar Askarov,3
19,Aspen Ladd,5
20,Augusto Sakai,2
21,Beneil Dariush,6
22,Blagoy Ivanov,1
23,Brad Tavares,3
24,Brandon Moreno,3
25,Brandon Royval,0
26,Brian Ortega,5
27,Bryce Mitchell,3
28,Calvin Kattar,5
29,Carla Esparza,3
30,Chan Sung Jung,4
31,Charles Oliveira,3
32,Chris Weidman,3
33,Ciryl Gane,1
34,Claudia Gadelha,0
35,Cody Garbrandt,1
36,Cody Stamann,0
37,Colby Covington,6
38,Conor McGregor,4
39,Cory Sandhagen,2
40,Curtis Blaydes,6
41,Cynthia Calvillo,3
42,Dan Hooker,1
43,Dan Ige,2
44,Darren Till,3
45,David Dvorak,1
46,Deiveson Figueiredo,3
47,Demian Maia,3
48,Derek Brunson,6
49,Derrick Lewis,3
50,Diego Ferreira,2
51,Dominick Cruz,6
52,Dominick Reyes,2
53,Donald Cerrone,1
54,Drew Dober,2
55,Dustin Poirier,2
56,Edmen Shahbazyan,4
57,Edson Barboza,1
58,Felice Herrig,0
59,Francis Ngannou,2
60,Frankie Edgar,6
61,Geoff Neal,2
62,Germaine de Randamie,0
63,Gilbert Burns,3
64,Gillian Robertson,3
65,Glover Teixeira,2
66,Gregor Gillespie,2
67,Holly Holm,3
68,Ian Heinisch,2
69,Irene Aldana,5
70,Islam Makhachev,3
71,Israel Adesanya,1
72,Jack Hermansson,6
73,Jairzinho Rozenstruik,4
74,Jan Blachowicz,0
75,Jared Cannonier,1
76,Jennifer Maia,0
77,Jeremy Stephens,0
78,Jessica Andrade,5
79,Jessica Eye,0
80,Jimmie Rivera,1
81,Jimmy Crute,2
82,Jiri Prochazka,5
83,Joanna Jedrzejczyk,0
84,Joanne Calderwood,2
85,Johnny Walker,2
86,Jordan Espinosa,1
87,Jorge Masvidal,2
88,Jose Aldo,1
89,Joseph Benavidez,3
90,Josh Emmett,1
91,Julia Avila,4
92,Julianna Pena,6
93,Junior Dos Santos,1
94,Jussier Formiga,3
95,Justin Gaethje,5
96,Kai Kara-France,1
97,Kamaru Usman,6
98,Katlyn Chookagian,1
99,Kelvin Gastelum,3
100,Ketlen Vieira,3
101,Kevin Lee,6
102,Khabib Nurmagomedov,6
103,Lauren Murphy,0
104,Leon Edwards,6
105,Lina Lansberg,0
106,Mackenzie Dern,3
107,Macy Chiasson,2
108,Magomed Ankalaev,6
109,Marcin Tybura,6
110,Marina Rodriguez,2
111,Marion Reneau,0
112,Marlon Moraes,1
113,Marlon Vera,0
114,Marvin Vettori,6
115,Matt Schnell,1
116,Mauricio Rua,6
117,Max Holloway,2
118,Maycee Barber,2
119,Merab Dvalishvili,6
120,Michael Chiesa,3
121,Michelle Waterson,0
122,Misha Cirkunov,2
123,Montana De La Rosa,3
124,Nate Diaz,2
125,Neil Magny,0
126,Nikita Krylov,2
127,Nina Ansaroff,0
128,Omari Akhmedov,3
129,Pannie Kianzad,0
130,Paul Craig,0
131,Paul Felder,0
132,Paulo Costa,5
133,Pedro Munhoz,5
134,Petr Yan,2
135,Rafael Dos Anjos,0
136,Raphael Assuncao,3
137,Raquel Pennington,0
138,Raulian Paiva,1
139,Rob Font,1
140,Robbie Lawler,0
141,Robert Whittaker,1
142,Rogerio Bontorin,0
143,Rose Namajunas,1
144,Roxanne Modafferi,0
145,Ryan Hall,3
146,Ryan Spann,5
147,Sara McMann,6
148,Sergei Pavlovich,4
149,Shamil Abdurakhimov,3
150,Shane Burgos,5
151,Sijara Eubanks,6
152,Sodiq Yusuff,2
153,Song Yadong,1
154,Stephen Thompson,1
155,Stipe Miocic,2
156,Tecia Torres,0
157,Thiago Santos,6
158,Tim Elliott,6
159,Tony Ferguson,1
160,Tyron Woodley,0
161,Tyson Nam,1
162,Uriah Hall,0
163,Valentina Shevchenko,6
164,Vicente Luque,5
165,Virna Jandiroba,3
166,Viviane Araujo,1
167,Volkan Oezdemir,5
168,Walt Harris,1
169,Yair Rodriguez,0
170,Yan Xiaonan,2
171,Yana Kunitskaya,6
172,Yoel Romero,3
173,Zabit Magomedsharipov,6
174,Zhang Weili,4
