,M_NAME,Cluster
0,Al Iaquinta,0
1,Aleksandar Rakic,2
2,Aleksei Oleinik,0
3,Alex Perez,2
4,Alexander Volkanovski,2
5,Alexander Volkov,2
6,Alexandre Pantoja,0
7,Alexis Davis,1
8,Alistair Overeem,2
9,Aljamain Sterling,2
10,Amanda Nunes,3
11,Amanda Ribas,2
12,Andrea Lee,1
13,Angela Hill,1
14,Anthony Pettis,0
15,Anthony Smith,0
16,Antonina Shevchenko,0
17,Arnold Allen,0
18,Askar Askarov,0
19,Aspen Ladd,1
20,Augusto Sakai,1
21,Beneil Dariush,0
22,Blagoy Ivanov,0
23,Brad Tavares,0
24,Brandon Moreno,0
25,Brandon Royval,0
26,Brian Ortega,1
27,Bryce Mitchell,0
28,Calvin Kattar,1
29,Carla Esparza,0
30,Chan Sung Jung,3
31,Charles Oliveira,0
32,Chris Weidman,0
33,Ciryl Gane,0
34,Claudia Gadelha,0
35,Cody Garbrandt,1
36,Cody Stamann,0
37,Colby Covington,2
38,Conor McGregor,3
39,Cory Sandhagen,2
40,Curtis Blaydes,2
41,Cynthia Calvillo,0
42,Dan Hooker,1
43,Dan Ige,2
44,Darren Till,0
45,David Dvorak,0
46,Deiveson Figueiredo,0
47,Demian Maia,0
48,Derek Brunson,2
49,Derrick Lewis,0
50,Diego Ferreira,2
51,Dominick Cruz,2
52,Dominick Reyes,2
53,Donald Cerrone,1
54,Drew Dober,1
55,Dustin Poirier,1
56,Edmen Shahbazyan,3
57,Edson Barboza,0
58,Felice Herrig,0
59,Francis Ngannou,2
60,Frankie Edgar,0
61,Geoff Neal,2
62,Germaine de Randamie,0
63,Gilbert Burns,0
64,Gillian Robertson,0
65,Glover Teixeira,2
66,Gregor Gillespie,2
67,Holly Holm,0
68,Ian Heinisch,2
69,Irene Aldana,1
70,Islam Makhachev,0
71,Israel Adesanya,0
72,Jack Hermansson,2
73,Jairzinho Rozenstruik,3
74,Jan Blachowicz,0
75,Jared Cannonier,0
76,Jennifer Maia,0
77,Jeremy Stephens,0
78,Jessica Andrade,1
79,Jessica Eye,0
80,Jimmie Rivera,0
81,Jimmy Crute,2
82,Jiri Prochazka,1
83,Joanna Jedrzejczyk,2
84,Joanne Calderwood,1
85,Johnny Walker,3
86,Jordan Espinosa,0
87,Jorge Masvidal,2
88,Jose Aldo,0
89,Joseph Benavidez,0
90,Josh Emmett,0
91,Julia Avila,3
92,Julianna Pena,2
93,Junior Dos Santos,0
94,Jussier Formiga,0
95,Justin Gaethje,1
96,Kai Kara-France,1
97,Kamaru Usman,2
98,Katlyn Chookagian,0
99,Kelvin Gastelum,0
100,Ketlen Vieira,0
101,Kevin Lee,0
102,Khabib Nurmagomedov,2
103,Lauren Murphy,0
104,Leon Edwards,0
105,Lina Lansberg,0
106,Mackenzie Dern,0
107,Macy Chiasson,2
108,Magomed Ankalaev,2
109,Marcin Tybura,0
110,Marina Rodriguez,2
111,Marion Reneau,0
112,Marlon Moraes,0
113,Marlon Vera,0
114,Marvin Vettori,2
115,Matt Schnell,1
116,Mauricio Rua,0
117,Max Holloway,1
118,Maycee Barber,2
119,Merab Dvalishvili,2
120,Michael Chiesa,0
121,Michelle Waterson,0
122,Misha Cirkunov,1
123,Montana De La Rosa,0
124,Nate Diaz,2
125,Neil Magny,0
126,Nikita Krylov,2
127,Nina Ansaroff,0
128,Omari Akhmedov,0
129,Pannie Kianzad,0
130,Paul Craig,0
131,Paul Felder,0
132,Paulo Costa,1
133,Pedro Munhoz,1
134,Petr Yan,2
135,Rafael Dos Anjos,0
136,Raphael Assuncao,0
137,Raquel Pennington,0
138,Raulian Paiva,0
139,Rob Font,1
140,Robbie Lawler,0
141,Robert Whittaker,1
142,Rogerio Bontorin,0
143,Rose Namajunas,0
144,Roxanne Modafferi,0
145,Ryan Hall,0
146,Ryan Spann,1
147,Sara McMann,0
148,Sergei Pavlovich,3
149,Shamil Abdurakhimov,0
150,Shane Burgos,1
151,Sijara Eubanks,2
152,Sodiq Yusuff,1
153,Song Yadong,0
154,Stephen Thompson,0
155,Stipe Miocic,1
156,Tecia Torres,0
157,Thiago Santos,2
158,Tim Elliott,0
159,Tony Ferguson,1
160,Tyron Woodley,0
161,Tyson Nam,1
162,Uriah Hall,0
163,Valentina Shevchenko,0
164,Vicente Luque,1
165,Virna Jandiroba,0
166,Viviane Araujo,1
167,Volkan Oezdemir,1
168,Walt Harris,1
169,Yair Rodriguez,0
170,Yan Xiaonan,1
171,Yana Kunitskaya,2
172,Yoel Romero,0
173,Zabit Magomedsharipov,2
174,Zhang Weili,3
