,M_NAME,Cluster
0,Al Iaquinta,6
1,Aleksandar Rakic,6
2,Aleksei Oleinik,4
3,Alex Perez,1
4,Alexander Volkanovski,4
5,Alexander Volkov,7
6,Alexandre Pantoja,1
7,Alexis Davis,4
8,Alistair Overeem,4
9,Aljamain Sterling,4
10,Amanda Nunes,4
11,Amanda Ribas,1
12,Andrea Lee,6
13,Angela Hill,3
14,Anthony Pettis,2
15,Anthony Smith,3
16,Antonina Shevchenko,7
17,Arnold Allen,1
18,Askar Askarov,0
19,Aspen Ladd,7
20,Augusto Sakai,1
21,Beneil Dariush,4
22,Blagoy Ivanov,1
23,Brad Tavares,3
24,Brandon Moreno,1
25,Brandon Royval,7
26,Brian Ortega,0
27,Bryce Mitchell,1
28,Calvin Kattar,6
29,Carla Esparza,4
30,Chan Sung Jung,6
31,Charles Oliveira,3
32,Chris Weidman,4
33,Ciryl Gane,6
34,Claudia Gadelha,4
35,Cody Garbrandt,6
36,Cody Stamann,1
37,Colby Covington,5
38,Conor McGregor,1
39,Cory Sandhagen,1
40,Curtis Blaydes,4
41,Cynthia Calvillo,1
42,Dan Hooker,6
43,Dan Ige,1
44,Darren Till,1
45,David Dvorak,0
46,Deiveson Figueiredo,1
47,Demian Maia,5
48,Derek Brunson,4
49,Derrick Lewis,3
50,Diego Ferreira,6
51,Dominick Cruz,4
52,Dominick Reyes,6
53,Donald Cerrone,3
54,Drew Dober,6
55,Dustin Poirier,2
56,Edmen Shahbazyan,1
57,Edson Barboza,3
58,Felice Herrig,1
59,Francis Ngannou,0
60,Frankie Edgar,5
61,Geoff Neal,1
62,Germaine de Randamie,0
63,Gilbert Burns,4
64,Gillian Robertson,4
65,Glover Teixeira,4
66,Gregor Gillespie,4
67,Holly Holm,4
68,Ian Heinisch,6
69,Irene Aldana,1
70,Islam Makhachev,4
71,Israel Adesanya,0
72,Jack Hermansson,1
73,Jairzinho Rozenstruik,0
74,Jan Blachowicz,3
75,Jared Cannonier,1
76,Jennifer Maia,1
77,Jeremy Stephens,2
78,Jessica Andrade,4
79,Jessica Eye,3
80,Jimmie Rivera,6
81,Jimmy Crute,1
82,Jiri Prochazka,0
83,Joanna Jedrzejczyk,3
84,Joanne Calderwood,4
85,Johnny Walker,7
86,Jordan Espinosa,6
87,Jorge Masvidal,3
88,Jose Aldo,3
89,Joseph Benavidez,4
90,Josh Emmett,6
91,Julia Avila,1
92,Julianna Pena,4
93,Junior Dos Santos,3
94,Jussier Formiga,4
95,Justin Gaethje,0
96,Kai Kara-France,6
97,Kamaru Usman,5
98,Katlyn Chookagian,6
99,Kelvin Gastelum,3
100,Ketlen Vieira,1
101,Kevin Lee,5
102,Khabib Nurmagomedov,5
103,Lauren Murphy,4
104,Leon Edwards,3
105,Lina Lansberg,3
106,Mackenzie Dern,0
107,Macy Chiasson,0
108,Magomed Ankalaev,6
109,Marcin Tybura,4
110,Marina Rodriguez,6
111,Marion Reneau,7
112,Marlon Moraes,6
113,Marlon Vera,3
114,Marvin Vettori,1
115,Matt Schnell,6
116,Mauricio Rua,3
117,Max Holloway,7
118,Maycee Barber,6
119,Merab Dvalishvili,4
120,Michael Chiesa,4
121,Michelle Waterson,3
122,Misha Cirkunov,1
123,Montana De La Rosa,6
124,Nate Diaz,2
125,Neil Magny,2
126,Nikita Krylov,3
127,Nina Ansaroff,6
128,Omari Akhmedov,4
129,Pannie Kianzad,0
130,Paul Craig,6
131,Paul Felder,3
132,Paulo Costa,0
133,Pedro Munhoz,6
134,Petr Yan,1
135,Rafael Dos Anjos,2
136,Raphael Assuncao,4
137,Raquel Pennington,3
138,Raulian Paiva,1
139,Rob Font,1
140,Robbie Lawler,2
141,Robert Whittaker,1
142,Rogerio Bontorin,6
143,Rose Namajunas,1
144,Roxanne Modafferi,4
145,Ryan Hall,0
146,Ryan Spann,1
147,Sara McMann,4
148,Sergei Pavlovich,0
149,Shamil Abdurakhimov,6
150,Shane Burgos,7
151,Sijara Eubanks,4
152,Sodiq Yusuff,0
153,Song Yadong,1
154,Stephen Thompson,1
155,Stipe Miocic,4
156,Tecia Torres,3
157,Thiago Santos,1
158,Tim Elliott,3
159,Tony Ferguson,1
160,Tyron Woodley,3
161,Tyson Nam,0
162,Uriah Hall,3
163,Valentina Shevchenko,4
164,Vicente Luque,1
165,Virna Jandiroba,1
166,Viviane Araujo,1
167,Volkan Oezdemir,6
168,Walt Harris,6
169,Yair Rodriguez,3
170,Yan Xiaonan,1
171,Yana Kunitskaya,1
172,Yoel Romero,6
173,Zabit Magomedsharipov,1
174,Zhang Weili,6
