,M_NAME,Cluster
0,Al Iaquinta,1
1,Aleksandar Rakic,0
2,Aleksei Oleinik,1
3,Alex Perez,3
4,Alexander Volkanovski,0
5,Alexander Volkov,3
6,Alexandre Pantoja,1
7,Alexis Davis,5
8,Alistair Overeem,0
9,Aljamain Sterling,0
10,Amanda Nunes,2
11,Amanda Ribas,0
12,Andrea Lee,1
13,Angela Hill,1
14,Anthony Pettis,4
15,Anthony Smith,1
16,Antonina Shevchenko,4
17,Arnold Allen,4
18,Askar Askarov,4
19,Aspen Ladd,5
20,Augusto Sakai,3
21,Beneil Dariush,1
22,Blagoy Ivanov,1
23,Brad Tavares,4
24,Brandon Moreno,4
25,Brandon Royval,1
26,Brian Ortega,5
27,Bryce Mitchell,4
28,Calvin Kattar,5
29,Carla Esparza,4
30,Chan Sung Jung,2
31,Charles Oliveira,4
32,Chris Weidman,0
33,Ciryl Gane,1
34,Claudia Gadelha,1
35,Cody Garbrandt,1
36,Cody Stamann,1
37,Colby Covington,0
38,Conor McGregor,2
39,Cory Sandhagen,3
40,Curtis Blaydes,0
41,Cynthia Calvillo,0
42,Dan Hooker,1
43,Dan Ige,3
44,Darren Till,4
45,David Dvorak,1
46,Deiveson Figueiredo,4
47,Demian Maia,4
48,Derek Brunson,0
49,Derrick Lewis,4
50,Diego Ferreira,3
51,Dominick Cruz,0
52,Dominick Reyes,3
53,Donald Cerrone,1
54,Drew Dober,3
55,Dustin Poirier,3
56,Edmen Shahbazyan,2
57,Edson Barboza,1
58,Felice Herrig,1
59,Francis Ngannou,3
60,Frankie Edgar,0
61,Geoff Neal,3
62,Germaine de Randamie,4
63,Gilbert Burns,4
64,Gillian Robertson,4
65,Glover Teixeira,3
66,Gregor Gillespie,3
67,Holly Holm,4
68,Ian Heinisch,3
69,Irene Aldana,5
70,Islam Makhachev,4
71,Israel Adesanya,1
72,Jack Hermansson,0
73,Jairzinho Rozenstruik,2
74,Jan Blachowicz,4
75,Jared Cannonier,1
76,Jennifer Maia,1
77,Jeremy Stephens,4
78,Jessica Andrade,5
79,Jessica Eye,1
80,Jimmie Rivera,1
81,Jimmy Crute,3
82,Jiri Prochazka,5
83,Joanna Jedrzejczyk,1
84,Joanne Calderwood,3
85,Johnny Walker,3
86,Jordan Espinosa,1
87,Jorge Masvidal,3
88,Jose Aldo,1
89,Joseph Benavidez,4
90,Josh Emmett,1
91,Julia Avila,2
92,Julianna Pena,0
93,Junior Dos Santos,1
94,Jussier Formiga,4
95,Justin Gaethje,5
96,Kai Kara-France,1
97,Kamaru Usman,0
98,Katlyn Chookagian,1
99,Kelvin Gastelum,4
100,Ketlen Vieira,4
101,Kevin Lee,0
102,Khabib Nurmagomedov,0
103,Lauren Murphy,1
104,Leon Edwards,4
105,Lina Lansberg,4
106,Mackenzie Dern,4
107,Macy Chiasson,0
108,Magomed Ankalaev,0
109,Marcin Tybura,0
110,Marina Rodriguez,3
111,Marion Reneau,4
112,Marlon Moraes,1
113,Marlon Vera,1
114,Marvin Vettori,0
115,Matt Schnell,1
116,Mauricio Rua,0
117,Max Holloway,3
118,Maycee Barber,3
119,Merab Dvalishvili,0
120,Michael Chiesa,4
121,Michelle Waterson,4
122,Misha Cirkunov,3
123,Montana De La Rosa,4
124,Nate Diaz,3
125,Neil Magny,4
126,Nikita Krylov,3
127,Nina Ansaroff,1
128,Omari Akhmedov,4
129,Pannie Kianzad,1
130,Paul Craig,4
131,Paul Felder,4
132,Paulo Costa,5
133,Pedro Munhoz,5
134,Petr Yan,3
135,Rafael Dos Anjos,4
136,Raphael Assuncao,4
137,Raquel Pennington,4
138,Raulian Paiva,1
139,Rob Font,1
140,Robbie Lawler,1
141,Robert Whittaker,1
142,Rogerio Bontorin,4
143,Rose Namajunas,1
144,Roxanne Modafferi,1
145,Ryan Hall,4
146,Ryan Spann,5
147,Sara McMann,0
148,Sergei Pavlovich,2
149,Shamil Abdurakhimov,4
150,Shane Burgos,5
151,Sijara Eubanks,0
152,Sodiq Yusuff,3
153,Song Yadong,1
154,Stephen Thompson,1
155,Stipe Miocic,3
156,Tecia Torres,4
157,Thiago Santos,0
158,Tim Elliott,0
159,Tony Ferguson,3
160,Tyron Woodley,4
161,Tyson Nam,1
162,Uriah Hall,1
163,Valentina Shevchenko,0
164,Vicente Luque,5
165,Virna Jandiroba,4
166,Viviane Araujo,5
167,Volkan Oezdemir,5
168,Walt Harris,3
169,Yair Rodriguez,1
170,Yan Xiaonan,3
171,Yana Kunitskaya,0
172,Yoel Romero,4
173,Zabit Magomedsharipov,0
174,Zhang Weili,2
