,Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
0,0,Decision - Split,3,900,0,Danny Abbadi,0,56,38%,79,0,,0,0,110.0,49,7,0,41,12,3,1,Jorge Gurgel,0,58,36%,101,1,14%,1,0,123.0,49,6,3,44,12,2,1.0
1,1,Submission,1,176,0,Danny Abbadi,0,3,33%,6,0,,0,0,0.0,2,1,0,1,2,0,1,Kalib Starnes,0,21,72%,25,1,50%,1,0,101.0,10,11,0,2,5,14,1.0
2,2,KO/TKO,1,43,0,David Abbott,0,4,40%,11,0,,0,0,,2,2,0,0,4,0,1,Paul Buentello,1,9,64%,9,0,,0,0,,5,3,1,4,4,1,2.0
3,3,TKO - Doctor's Stoppage,1,134,0,David Abbott,0,11,42%,17,0,,0,0,84.0,11,0,0,4,7,0,1,Wesley Correira,1,13,54%,19,0,,0,0,7.0,13,0,0,3,9,1,2.0
4,4,Submission,1,119,0,David Abbott,0,0,,3,0,,0,0,1.0,0,0,0,0,0,0,1,Kimo Leopoldo,0,1,100%,1,1,100%,1,0,112.0,0,1,0,1,0,0,2.0
5,5,Submission,1,46,0,David Abbott,0,1,20%,2,0,,0,0,38.0,1,0,0,0,0,1,1,Frank Mir,0,0,0%,0,0,0%,2,0,0.0,0,0,0,0,0,0,2.0
6,6,KO/TKO,1,487,0,David Abbott,0,16,33%,31,1,50%,0,0,,16,0,0,7,4,5,1,Pedro Rizzo,2,24,68%,49,0,,0,0,,12,0,12,17,4,3,2.0
7,7,KO/TKO,1,43,1,David Abbott,0,11,68%,11,0,,0,1,,11,0,0,0,2,9,0,Hugo Duarte,0,0,,1,1,33%,0,0,,0,0,0,0,0,0,2.0
8,8,Decision - Unanimous,2,480,1,David Abbott,0,13,41%,69,3,75%,0,0,,13,0,0,6,0,7,0,Yoji Anjo,0,9,100%,29,0,0%,1,0,,1,1,7,8,1,0,2.0
9,9,Submission,1,488,0,David Abbott,1,5,22%,17,0,,0,0,,5,0,0,1,2,2,1,Maurice Smith,0,12,92%,38,0,,1,0,,7,0,5,5,1,6,2.0
10,10,KO/TKO,1,52,0,David Abbott,0,2,40%,2,0,0%,0,0,,0,2,0,0,2,0,1,Vitor Belfort,0,15,62%,16,1,100%,0,0,,13,2,0,1,7,7,2.0
11,11,Submission,1,82,0,David Abbott,0,13,46%,16,0,,0,0,,13,0,0,9,4,0,1,Don Frye,0,6,33%,6,0,,2,0,,6,0,0,5,0,1,2.0
12,12,KO/TKO,1,63,1,David Abbott,1,9,52%,13,1,100%,0,0,,9,0,0,1,8,0,0,Steve Nelmark,0,2,100%,2,0,,0,0,,1,1,0,1,1,0,2.0
13,13,KO/TKO,1,171,1,David Abbott,0,4,44%,9,0,0%,1,0,,4,0,0,1,0,3,0,Cal Worsham,0,5,71%,16,0,,0,0,,4,1,0,1,2,2,2.0
14,14,Decision - Unanimous,2,480,0,David Abbott,0,21,42%,27,0,0%,0,0,,20,1,0,15,6,0,1,Scott Ferrozzo,0,60,63%,180,0,0%,0,0,,17,34,9,17,43,0,2.0
15,15,Submission,1,126,1,David Abbott,0,8,88%,16,1,100%,1,0,,5,3,0,0,0,8,0,Sam Adkins,0,0,0%,3,0,,0,0,,0,0,0,0,0,0,2.0
16,16,Decision - Unanimous,1,1080,0,David Abbott,0,3,50%,11,0,,0,0,,3,0,0,0,2,1,1,Dan Severn,0,57,87%,233,1,50%,0,0,,36,16,5,0,5,52,2.0
17,17,Submission,1,74,1,David Abbott,0,1,100%,3,1,100%,1,0,,1,0,0,1,0,0,0,Steve Jennum,0,0,0%,1,0,,0,0,,0,0,0,0,0,0,2.0
18,18,Submission,1,1024,0,David Abbott,0,17,37%,39,2,66%,1,0,,16,1,0,8,3,6,1,Oleg Taktarov,0,4,40%,48,0,0%,4,0,,4,0,0,3,1,0,2.0
19,19,KO/TKO,1,113,1,David Abbott,0,14,66%,18,1,100%,0,0,,13,1,0,1,0,13,0,Paul Varelans,0,1,50%,12,0,,0,0,,0,1,0,0,1,0,2.0
20,20,KO/TKO,1,20,1,David Abbott,2,7,58%,7,0,,0,0,,7,0,0,0,6,1,0,John Matua,0,0,,0,0,,0,0,,0,0,0,0,0,0,2.0
21,21,KO/TKO,2,442,0,Shamil Abdurakhimov,0,3,37%,3,0,,0,0,0.0,3,0,0,3,0,0,1,Curtis Blaydes,0,25,58%,46,5,100%,0,0,367.0,23,1,1,2,0,23,1.0
22,22,KO/TKO,2,495,1,Shamil Abdurakhimov,1,36,41%,36,0,0%,0,0,0.0,24,10,2,26,10,0,0,Marcin Tybura,0,28,40%,28,0,,0,0,0.0,17,6,5,26,2,0,1.0
23,23,Decision - Unanimous,3,900,1,Shamil Abdurakhimov,0,32,45%,67,2,50%,0,0,206.0,19,9,4,12,6,14,0,Andrei Arlovski,0,18,31%,27,2,66%,0,0,18.0,8,6,4,9,6,3,1.0
24,24,KO/TKO,1,84,1,Shamil Abdurakhimov,1,6,60%,6,0,,0,0,1.0,5,1,0,6,0,0,0,Chase Sherman,0,5,38%,5,0,,0,0,0.0,4,0,1,5,0,0,1.0
25,25,KO/TKO,4,1122,0,Shamil Abdurakhimov,0,15,40%,77,4,36%,1,0,452.0,5,5,5,5,5,5,1,Derrick Lewis,0,39,43%,46,1,33%,0,0,102.0,32,5,2,8,4,27,1.0
26,26,Decision - Split,3,900,1,Shamil Abdurakhimov,0,47,36%,52,1,12%,0,0,44.0,21,6,20,39,7,1,0,Walt Harris,0,33,33%,36,0,,1,0,29.0,21,7,5,24,9,0,1.0
27,27,Decision - Unanimous,3,900,1,Shamil Abdurakhimov,0,62,59%,89,0,0%,0,0,4.0,49,6,7,29,31,2,0,Anthony Hamilton,0,40,51%,48,0,0%,0,0,15.0,19,16,5,16,24,0,1.0
28,28,KO/TKO,1,297,0,Shamil Abdurakhimov,0,9,36%,11,0,0%,0,0,31.0,5,0,4,9,0,0,1,Timothy Johnson,0,22,37%,33,1,50%,0,0,57.0,14,1,7,3,8,11,1.0
29,29,Decision - Unanimous,3,900,0,Daichi Abe,0,45,29%,45,0,,0,0,0.0,24,1,20,45,0,0,1,Li Jingliang,0,96,46%,96,0,,0,0,0.0,32,13,51,95,1,0,1.0
30,30,Decision - Unanimous,3,900,0,Daichi Abe,0,63,36%,65,0,0%,0,0,17.0,43,7,13,47,8,8,1,Luke Jumeau,0,63,48%,64,1,100%,0,0,13.0,35,11,17,58,2,3,1.0
31,31,Decision - Unanimous,3,900,1,Daichi Abe,1,63,34%,65,1,100%,0,0,5.0,35,4,24,54,3,6,0,Hyun Gyu Lim,0,43,32%,43,0,,0,0,0.0,26,4,13,43,0,0,1.0
32,32,KO/TKO,3,692,0,Papy Abedi,0,19,47%,27,3,60%,3,0,312.0,12,5,2,11,0,8,1,Dylan Andrews,0,20,44%,21,2,40%,0,0,69.0,12,4,4,13,3,4,1.0
33,33,Decision - Split,3,900,1,Papy Abedi,0,53,66%,69,4,66%,0,0,337.0,14,35,4,10,27,16,0,Besam Yousef,0,43,54%,142,2,66%,0,0,265.0,22,18,3,8,35,0,1.0
34,34,Submission,1,273,0,Papy Abedi,0,11,61%,19,1,33%,0,0,115.0,7,2,2,6,2,3,1,James Head,0,21,48%,28,0,,1,0,43.0,16,5,0,9,10,2,1.0
35,35,Submission,1,212,0,Papy Abedi,0,14,36%,15,0,,0,0,40.0,9,4,1,9,5,0,1,Thiago Alves,1,25,55%,30,0,,1,0,31.0,17,3,5,12,1,12,1.0
36,36,Decision - Split,3,900,0,Ricardo Abreu,0,47,31%,69,3,42%,0,0,186.0,38,5,4,38,9,0,1,Jake Collier,0,67,31%,84,0,,0,0,14.0,36,18,13,61,6,0,1.0
37,37,Submission,2,366,1,Ricardo Abreu,2,33,32%,43,0,,1,0,75.0,27,5,1,20,4,9,0,Wagner Silva,0,17,32%,20,0,0%,0,0,0.0,6,2,9,17,0,0,1.0
38,38,KO/TKO,1,111,0,Klidson Abreu,0,5,71%,5,0,,0,0,0.0,0,1,4,4,1,0,1,Jamahal Hill,2,14,58%,14,0,,0,0,2.0,9,4,1,9,2,3,1.0
39,39,Decision - Split,3,900,0,Klidson Abreu,0,32,41%,47,1,50%,0,0,106.0,11,7,14,31,1,0,1,Shamil Gamzatov,0,64,46%,82,0,0%,0,0,11.0,10,23,31,64,0,0,1.0
40,40,Decision - Unanimous,3,900,1,Klidson Abreu,0,36,40%,61,1,33%,0,0,52.0,17,4,15,35,1,0,0,Sam Alvey,0,28,36%,67,0,0%,0,1,153.0,12,5,11,21,4,3,1.0
41,41,Decision - Unanimous,3,900,0,Klidson Abreu,0,23,37%,32,0,0%,0,0,28.0,10,8,5,16,7,0,1,Magomed Ankalaev,1,30,44%,66,1,33%,0,0,348.0,22,6,2,18,6,6,1.0
42,42,Submission,1,189,1,Scott Adams,0,0,,10,1,100%,4,0,77.0,0,0,0,0,0,0,0,Ian Freeman,0,0,,3,0,,1,1,17.0,0,0,0,0,0,0,4.0
43,43,KO/TKO,1,119,0,Juan Adams,0,7,63%,7,0,,0,0,0.0,3,2,2,7,0,0,1,Justin Tafa,1,10,66%,10,0,,0,0,2.0,5,0,5,8,1,1,3.0
44,44,KO/TKO,1,45,0,Juan Adams,0,3,42%,3,0,0%,0,0,0.0,3,0,0,3,0,0,1,Greg Hardy,0,36,94%,36,0,,0,0,17.0,35,1,0,5,0,31,3.0
45,45,Decision - Unanimous,3,900,0,Juan Adams,0,81,43%,107,0,,0,0,84.0,56,21,4,50,30,1,1,Arjan Bhullar,0,41,66%,69,2,100%,0,0,318.0,32,8,1,18,19,4,3.0
46,46,KO/TKO,3,658,1,Juan Adams,0,86,59%,121,2,100%,0,0,276.0,74,8,4,38,13,35,0,Chris de la Rocha,0,41,53%,46,1,50%,0,0,59.0,30,10,1,36,3,2,3.0
47,47,KO/TKO,1,32,0,Zarrukh Adashev,0,2,33%,2,0,,0,0,0.0,1,0,1,2,0,0,1,Tyson Nam,1,2,66%,2,0,,0,0,2.0,2,0,0,1,0,1,1.0
48,48,KO/TKO,2,539,1,Israel Adesanya,1,55,65%,55,0,,0,0,9.0,24,5,26,45,2,8,0,Paulo Costa,0,12,46%,12,0,,0,0,1.0,2,7,3,12,0,0,1.0
49,49,Decision - Unanimous,5,1500,1,Israel Adesanya,0,48,36%,48,0,,0,0,0.0,14,9,25,48,0,0,0,Yoel Romero,0,40,44%,40,0,0%,0,0,0.0,20,7,13,35,5,0,1.0
50,50,KO/TKO,2,513,1,Israel Adesanya,2,40,42%,40,0,,0,0,4.0,27,6,7,37,0,3,0,Robert Whittaker,0,32,27%,32,0,,0,0,0.0,20,3,9,32,0,0,1.0
51,51,Decision - Unanimous,5,1500,1,Israel Adesanya,4,109,45%,119,0,,2,0,42.0,70,16,23,100,1,8,0,Kelvin Gastelum,0,91,41%,92,1,11%,0,1,81.0,68,12,11,91,0,0,1.0
52,52,Decision - Unanimous,3,900,1,Israel Adesanya,0,65,49%,65,0,,0,0,0.0,27,9,29,63,2,0,0,Anderson Silva,0,31,43%,34,0,,0,0,0.0,16,8,7,26,5,0,1.0
53,53,KO/TKO,1,291,1,Israel Adesanya,3,13,56%,15,0,,0,0,10.0,9,3,1,11,2,0,0,Derek Brunson,0,3,21%,9,0,0%,0,0,95.0,2,0,1,2,1,0,1.0
54,54,Decision - Unanimous,5,1500,1,Israel Adesanya,0,119,55%,127,0,0%,1,0,107.0,61,21,37,99,12,8,0,Brad Tavares,0,40,22%,46,1,8%,0,0,126.0,34,3,3,37,1,2,1.0
55,55,Decision - Split,3,900,1,Israel Adesanya,0,57,46%,67,0,0%,0,0,0.0,31,11,15,57,0,0,0,Marvin Vettori,0,46,29%,60,2,33%,0,0,198.0,20,7,19,44,2,0,1.0
56,56,KO/TKO,2,517,1,Israel Adesanya,1,52,69%,70,0,,0,0,0.0,35,13,4,28,24,0,0,Rob Wilkinson,0,22,47%,33,3,20%,0,0,246.0,6,5,11,7,15,0,1.0
57,57,Submission,1,126,0,Sam Adkins,0,0,0%,3,0,,0,0,,0,0,0,0,0,0,1,David Abbott,0,8,88%,16,1,100%,1,0,,5,3,0,0,0,8,1.0
58,58,TKO - Doctor's Stoppage,1,48,0,Sam Adkins,0,0,0%,1,0,,0,0,,0,0,0,0,0,0,1,Don Frye,0,5,55%,19,1,100%,0,0,,5,0,0,0,0,5,1.0
59,59,KO/TKO,2,434,0,Nick Agallar,0,5,11%,10,0,0%,0,0,67.0,2,0,3,4,1,0,1,Yves Edwards,1,33,57%,39,0,,0,0,11.0,14,1,18,21,1,11,1.0
60,60,KO/TKO,2,398,0,Mariya Agapova,0,22,47%,56,2,100%,0,0,191.0,18,4,0,10,2,10,1,Shana Dobson,0,24,66%,41,2,100%,0,1,150.0,18,5,1,6,3,15,2.0
61,61,Submission,1,162,1,Mariya Agapova,1,29,55%,36,0,,1,0,24.0,20,8,1,19,10,0,0,Hannah Cifers,0,11,34%,14,0,,0,0,30.0,4,3,4,7,4,0,2.0
62,62,TKO - Doctor's Stoppage,1,274,0,Marcelo Aguiar,0,2,100%,21,0,,0,0,0.0,2,0,0,0,0,2,1,Matt Hughes,0,18,58%,29,2,66%,0,0,248.0,14,4,0,0,0,18,1.0
63,63,Decision - Unanimous,3,900,0,Jessica Aguilar,0,50,43%,63,0,0%,1,0,100.0,23,27,0,22,27,1,1,Marina Rodriguez,1,118,58%,129,0,0%,0,1,181.0,58,38,22,67,39,12,3.0
64,64,Submission,1,221,0,Jessica Aguilar,0,9,75%,11,0,0%,0,0,47.0,0,8,1,0,9,0,1,Zhang Weili,0,45,77%,63,1,33%,2,0,150.0,36,7,2,3,3,39,3.0
65,65,Decision - Unanimous,3,900,1,Jessica Aguilar,0,128,64%,138,0,0%,0,0,94.0,83,32,13,85,43,0,0,Jodie Esquibel,0,81,42%,81,0,0%,0,0,87.0,54,27,0,73,8,0,3.0
66,66,Decision - Unanimous,3,900,0,Jessica Aguilar,0,57,53%,102,4,80%,0,0,388.0,27,10,20,24,10,23,1,Cortney Casey,0,103,35%,172,0,,0,0,81.0,70,9,24,50,21,32,3.0
67,67,Decision - Unanimous,3,900,0,Jessica Aguilar,0,70,37%,88,0,0%,0,0,47.0,35,11,24,63,7,0,1,Claudia Gadelha,0,111,44%,121,4,100%,0,0,156.0,95,16,0,101,9,1,3.0
68,68,Decision - Split,3,900,0,Kevin Aguilar,0,53,39%,53,0,0%,0,0,4.0,34,17,2,50,3,0,1,Charles Rosa,0,69,39%,69,0,0%,0,0,0.0,33,15,21,69,0,0,1.0
69,69,KO/TKO,1,201,0,Kevin Aguilar,0,9,32%,9,0,,0,0,0.0,4,3,2,9,0,0,1,Zubaira Tukhugov,2,28,77%,28,0,,0,0,9.0,26,2,0,15,0,13,1.0
70,70,Decision - Unanimous,3,900,0,Kevin Aguilar,0,33,31%,65,1,100%,0,1,139.0,21,10,2,21,5,7,1,Dan Ige,1,71,56%,92,1,25%,0,0,247.0,52,12,7,44,6,21,1.0
71,71,Decision - Unanimous,3,900,1,Kevin Aguilar,0,58,23%,58,0,,0,0,0.0,36,20,2,58,0,0,0,Enrique Barzola,0,52,41%,53,0,0%,0,0,30.0,28,9,15,50,2,0,1.0
72,72,Decision - Unanimous,3,900,1,Kevin Aguilar,1,86,51%,103,0,0%,0,0,127.0,47,33,6,62,11,13,0,Rick Glenn,0,74,39%,77,0,0%,0,0,27.0,50,11,13,63,11,0,1.0
73,73,Submission,2,407,0,Christian Aguilera,0,16,41%,17,0,,0,0,0.0,6,2,8,16,0,0,1,Sean Brady,0,34,56%,65,2,100%,2,0,128.0,16,1,17,28,0,6,3.0
74,74,KO/TKO,1,59,1,Christian Aguilera,0,10,43%,10,0,,0,0,0.0,9,1,0,10,0,0,0,Anthony Ivy,0,4,36%,4,0,,0,0,0.0,0,0,4,4,0,0,3.0
75,75,Decision - Unanimous,3,780,0,Hitomi Akano,0,6,60%,14,0,0%,1,1,,2,4,0,6,0,0,1,Miesha Tate,0,10,33%,25,2,66%,0,0,,6,2,2,8,0,2,1.0
76,76,KO/TKO,3,635,0,Hitomi Akano,0,5,41%,5,0,0%,0,0,0.0,1,3,1,5,0,0,1,Cristiane Justino,1,41,45%,53,1,100%,0,0,186.0,34,3,4,14,13,14,1.0
77,77,Decision - Unanimous,3,900,0,Omari Akhmedov,0,33,36%,60,4,50%,0,0,94.0,25,7,1,21,8,4,1,Chris Weidman,0,29,51%,67,5,31%,0,0,497.0,25,4,0,17,1,11,1.0
78,78,Decision - Unanimous,3,900,1,Omari Akhmedov,0,55,33%,69,2,50%,0,0,93.0,41,10,4,48,7,0,0,Ian Heinisch,0,53,51%,70,3,30%,0,0,150.0,26,13,14,46,4,3,1.0
79,79,Decision - Unanimous,3,900,1,Omari Akhmedov,0,26,33%,47,2,66%,0,0,219.0,14,5,7,21,0,5,0,Zak Cummings,0,17,24%,24,0,,0,0,0.0,6,2,9,17,0,0,1.0
80,80,Decision - Unanimous,3,900,1,Omari Akhmedov,0,52,38%,58,0,0%,0,0,194.0,32,13,7,35,17,0,0,Tim Boetsch,0,41,42%,64,0,0%,0,0,2.0,20,12,9,32,9,0,1.0
81,82,Decision - Split,3,900,1,Omari Akhmedov,0,52,33%,99,6,66%,0,0,340.0,42,6,4,38,2,12,0,Abdul Razak Alhassan,0,43,43%,44,0,,0,1,1.0,37,3,3,37,6,0,1.0
82,83,Decision - Unanimous,3,900,1,Omari Akhmedov,0,23,31%,57,3,75%,0,0,387.0,21,0,2,10,0,13,0,Kyle Noke,0,16,31%,44,0,,0,0,0.0,4,2,10,16,0,0,1.0
83,84,KO/TKO,3,783,0,Omari Akhmedov,0,36,34%,57,3,42%,1,0,79.0,28,6,2,22,11,3,1,Elizeu Zaleski dos Santos,0,72,49%,78,0,0%,1,1,171.0,50,18,4,35,36,1,1.0
84,85,KO/TKO,3,738,0,Omari Akhmedov,1,35,29%,38,1,100%,0,0,51.0,17,10,8,29,2,4,1,Sergio Moraes,1,21,30%,22,0,0%,0,0,2.0,17,2,2,19,1,1,1.0
85,86,KO/TKO,1,300,1,Omari Akhmedov,0,15,37%,16,0,,0,0,0.0,7,4,4,14,1,0,0,Brian Ebersole,0,2,15%,3,0,0%,0,0,0.0,1,0,1,2,0,0,1.0
86,87,Decision - Unanimous,3,900,1,Omari Akhmedov,0,64,34%,93,5,55%,0,0,281.0,48,12,4,39,8,17,0,Mats Nilsson,0,33,35%,55,5,83%,3,0,176.0,19,5,9,26,6,1,1.0
87,88,Submission,1,276,0,Omari Akhmedov,0,6,37%,8,0,,0,0,2.0,1,2,3,6,0,0,1,Gunnar Nelson,0,16,80%,25,1,100%,1,0,185.0,15,0,1,2,0,14,1.0
88,89,KO/TKO,1,211,1,Omari Akhmedov,1,14,70%,22,1,20%,1,0,127.0,8,2,4,6,6,2,0,Thiago Perpetuo,1,18,64%,22,1,100%,0,0,46.0,16,2,0,3,7,8,1.0
89,90,Decision - Split,3,900,0,Yoshihiro Akiyama,0,78,54%,92,0,0%,0,0,83.0,53,2,23,66,1,11,1,Alberto Mina,1,69,45%,84,2,13%,0,0,37.0,46,5,18,56,10,3,1.0
90,91,Decision - Unanimous,3,900,1,Yoshihiro Akiyama,0,57,47%,94,2,40%,0,0,475.0,51,6,0,26,0,31,0,Amir Sadollah,0,42,41%,63,0,,0,0,12.0,24,4,14,31,6,5,1.0
91,92,Decision - Unanimous,3,900,0,Yoshihiro Akiyama,0,33,34%,52,2,50%,0,0,68.0,29,2,2,28,5,0,1,Jake Shields,0,91,45%,119,2,14%,0,0,223.0,49,24,18,79,11,1,1.0
92,93,KO/TKO,1,112,0,Yoshihiro Akiyama,0,1,11%,1,0,,0,0,0.0,0,0,1,1,0,0,1,Vitor Belfort,2,12,48%,12,0,,0,0,9.0,11,0,1,3,3,6,1.0
93,94,Decision - Unanimous,3,900,0,Yoshihiro Akiyama,0,50,28%,50,0,0%,0,0,0.0,35,7,8,49,1,0,1,Michael Bisping,0,118,44%,119,0,0%,0,0,2.0,89,11,18,115,3,0,1.0
94,95,Submission,3,880,0,Yoshihiro Akiyama,0,27,39%,62,5,100%,1,0,513.0,24,1,2,21,1,5,1,Chris Leben,0,46,43%,162,0,,4,0,23.0,31,3,12,37,4,5,1.0
95,96,Decision - Split,3,900,1,Yoshihiro Akiyama,0,55,35%,70,3,75%,0,0,191.0,50,2,3,48,1,6,0,Alan Belcher,1,76,48%,76,0,,0,0,44.0,39,11,26,67,7,2,1.0
96,97,Decision - Unanimous,3,900,0,Rostem Akman,0,15,13%,15,0,,0,0,3.0,8,6,1,11,4,0,1,Jake Matthews,0,59,44%,61,0,0%,0,0,49.0,19,20,20,53,6,0,1.0
97,98,Decision - Unanimous,3,900,0,Rostem Akman,0,39,39%,40,2,40%,0,0,200.0,30,6,3,31,8,0,1,Sergey Khandozhko,1,60,40%,60,1,16%,0,0,61.0,30,11,19,55,5,0,1.0
98,99,Decision - Split,3,900,0,Razak Al-Hassan,0,31,39%,45,1,25%,0,1,228.0,13,7,11,26,5,0,1,Kyle Kingsbury,0,25,25%,76,2,33%,0,0,329.0,8,6,11,17,5,3,1.0
99,100,Submission,1,244,0,Razak Al-Hassan,0,13,23%,15,0,0%,0,0,17.0,5,2,6,12,1,0,1,Steve Cantwell,0,15,51%,19,1,100%,1,0,78.0,9,4,2,12,1,2,1.0
100,101,Decision - Unanimous,3,900,0,Mostapha Al-Turk,0,20,15%,20,0,,0,0,0.0,11,2,7,20,0,0,1,Jon Madsen,0,32,32%,32,1,100%,0,0,6.0,26,5,1,31,0,1,1.0
101,102,KO/TKO,1,186,0,Mostapha Al-Turk,0,7,28%,7,0,0%,0,0,5.0,2,0,5,7,0,0,1,Mirko Filipovic,1,16,45%,18,1,100%,0,0,15.0,15,1,0,11,3,2,1.0
102,103,KO/TKO,1,277,0,Mostapha Al-Turk,0,4,44%,7,0,0%,0,0,92.0,0,1,3,1,3,0,1,Cheick Kongo,1,34,77%,73,1,100%,0,0,77.0,23,2,9,6,6,22,1.0
103,104,Decision - Unanimous,3,900,0,Heili Alateng,0,46,26%,46,0,,0,0,0.0,26,11,9,46,0,0,1,Casey Kenney,0,109,41%,109,0,0%,0,0,0.0,57,41,11,109,0,0,3.0
104,105,Decision - Split,3,900,1,Heili Alateng,0,47,35%,72,4,30%,0,0,200.0,27,11,9,47,0,0,0,Ryan Benoit,0,68,53%,84,0,0%,0,0,0.0,45,17,6,53,15,0,3.0
105,106,Decision - Unanimous,3,900,1,Heili Alateng,0,36,40%,63,3,42%,0,0,171.0,35,1,0,33,0,3,0,Batgerel Danaa,0,85,36%,119,0,0%,0,0,6.0,74,6,5,68,5,12,3.0
106,107,Submission,1,282,1,Amir Albazi,0,12,42%,28,1,100%,1,0,141.0,8,2,2,10,0,2,0,Malcolm Gordon,0,3,18%,5,0,,0,1,22.0,1,1,1,3,0,0,4.0
107,108,Submission,2,469,0,John Albert,0,4,33%,9,0,,3,0,82.0,0,1,3,3,0,1,1,Yaotzin Meza,0,4,57%,29,1,50%,4,0,341.0,2,0,2,3,0,1,2.0
108,109,Submission,1,299,0,John Albert,0,5,50%,10,0,,1,1,13.0,5,0,0,3,0,2,1,Scott Jorgensen,0,12,66%,16,0,0%,1,0,268.0,8,3,1,1,0,11,2.0
109,110,Submission,1,258,0,John Albert,0,6,25%,25,0,0%,2,0,52.0,3,2,1,4,2,0,1,Erik Perez,0,18,69%,59,0,,1,1,154.0,8,7,3,11,2,5,2.0
110,111,Submission,1,225,0,John Albert,0,31,56%,37,0,,3,0,13.0,17,12,2,17,13,1,1,Ivan Menjivar,0,25,71%,33,1,100%,2,0,129.0,21,4,0,4,0,21,2.0
111,112,KO/TKO,1,69,1,John Albert,1,21,61%,36,0,,0,0,47.0,19,1,1,7,0,14,0,Dustin Pague,0,3,30%,3,0,,0,0,0.0,1,1,1,3,0,0,2.0
112,113,KO/TKO,1,218,0,Junior Albini,0,19,43%,22,0,,0,0,31.0,10,7,2,17,2,0,1,Maurice Greene,2,37,44%,39,0,,0,0,36.0,17,9,11,31,4,2,3.0
113,114,KO/TKO,2,354,0,Junior Albini,0,18,66%,26,2,33%,0,0,187.0,7,3,8,15,1,2,1,Jairzinho Rozenstruik,1,19,70%,26,0,,0,1,14.0,15,0,4,9,5,5,3.0
114,115,Submission,1,105,0,Junior Albini,0,10,66%,10,1,100%,0,0,12.0,7,2,1,9,1,0,1,Aleksei Oleinik,0,10,58%,10,0,0%,1,0,15.0,6,2,2,10,0,0,3.0
115,116,Decision - Unanimous,3,900,0,Junior Albini,0,48,45%,74,0,0%,0,0,217.0,35,6,7,37,11,0,1,Andrei Arlovski,0,92,45%,106,0,0%,0,0,2.0,52,27,13,81,11,0,3.0
116,117,KO/TKO,1,171,1,Junior Albini,1,21,60%,28,0,,0,0,1.0,11,9,1,12,7,2,0,Timothy Johnson,0,19,46%,25,0,,0,0,81.0,7,2,10,8,11,0,3.0
117,118,KO/TKO,1,31,0,Wes Albritton,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,Tito Ortiz,0,21,87%,28,1,100%,0,0,,20,1,0,1,0,20,3.0
118,119,Decision - Split,3,900,0,Aleksandra Albu,0,65,41%,77,1,33%,0,0,122.0,42,21,2,34,29,2,1,Loma Lookboonmee,0,99,65%,112,1,16%,0,0,23.0,31,54,14,38,61,0,1.0
119,120,Submission,1,61,0,Aleksandra Albu,0,2,40%,2,0,,0,0,0.0,2,0,0,2,0,0,1,Emily Whitmire,0,3,60%,8,1,100%,1,0,51.0,2,0,1,3,0,0,1.0
120,121,Decision - Unanimous,3,900,1,Aleksandra Albu,0,82,45%,109,5,62%,0,0,151.0,60,20,2,47,20,15,0,Kailin Curran,0,86,54%,153,1,33%,0,1,340.0,62,17,7,60,13,13,1.0
121,122,Submission,2,514,1,Aleksandra Albu,0,42,67%,53,0,0%,1,0,109.0,34,4,4,29,13,0,0,Izabela Badurek,0,32,71%,42,1,12%,0,0,189.0,4,9,19,6,26,0,1.0
122,123,KO/TKO,2,361,0,Iuri Alcantara,0,9,37%,13,1,100%,2,0,73.0,9,0,0,1,1,7,1,Cory Sandhagen,0,66,58%,104,0,,0,0,251.0,65,0,1,6,0,60,1.0
123,124,KO/TKO,1,66,1,Iuri Alcantara,1,17,56%,17,0,,0,0,6.0,13,3,1,8,1,8,0,Joe Soto,0,1,50%,1,0,0%,0,0,0.0,1,0,0,1,0,0,1.0
124,125,Decision - Unanimous,3,900,0,Iuri Alcantara,0,38,38%,39,0,0%,0,0,9.0,9,15,14,38,0,0,1,Alejandro Perez,0,35,36%,38,0,0%,0,0,55.0,16,4,15,29,6,0,1.0
125,126,Submission,1,108,0,Iuri Alcantara,0,12,42%,12,1,100%,0,0,7.0,8,4,0,10,2,0,1,Brian Kelleher,0,4,26%,4,0,,1,0,0.0,1,2,1,4,0,0,1.0
126,127,Submission,2,493,1,Iuri Alcantara,0,23,30%,27,1,50%,1,0,6.0,12,5,6,19,1,3,0,Luke Sanders,0,94,70%,134,1,50%,0,0,218.0,90,4,0,15,4,75,1.0
127,128,Submission,1,119,1,Iuri Alcantara,1,26,66%,26,0,,2,0,29.0,22,4,0,10,1,15,0,Brad Pickett,0,1,33%,1,0,,0,0,11.0,0,1,0,0,1,0,1.0
