,Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
10304,10484,Decision - Unanimous,3,900,1,Thiago Santos,0,52,64%,83,1,50%,0,0,53.0,23,18,11,20,30,2,0,Elias Theodorou,0,28,29%,40,1,7%,0,0,409.0,3,18,7,23,5,0,1.0
10305,10485,KO/TKO,1,29,1,Thiago Santos,1,3,75%,3,0,,0,0,1.0,1,1,1,3,0,0,0,Steve Bosse,0,0,0%,0,0,,0,0,0.0,0,0,0,0,0,0,1.0
10306,10486,KO/TKO,1,116,1,Thiago Santos,1,20,52%,21,0,,0,0,7.0,15,3,2,6,6,8,0,Andy Enz,0,1,3%,1,0,,0,0,0.0,1,0,0,1,0,0,1.0
10307,10487,Decision - Unanimous,3,900,0,Thiago Santos,0,44,34%,48,0,0%,0,0,59.0,8,4,32,36,5,3,1,Uriah Hall,0,42,37%,42,1,100%,1,0,5.0,22,4,16,40,1,1,1.0
10308,10488,KO/TKO,1,53,1,Thiago Santos,1,7,43%,8,0,,0,0,14.0,6,1,0,1,0,6,0,Ronny Markes,0,0,0%,0,0,,0,0,0.0,0,0,0,0,0,0,1.0
10309,10489,Submission,1,47,0,Thiago Santos,0,0,0%,0,0,0%,0,0,4.0,0,0,0,0,0,0,1,Cezar Ferreira,0,3,60%,3,0,,1,0,7.0,3,0,0,3,0,0,1.0
10310,10490,Decision - Unanimous,3,900,0,Bruno Santos,0,16,40%,29,4,66%,0,0,150.0,10,4,2,9,7,0,1,Elias Theodorou,0,43,40%,104,3,42%,0,0,393.0,18,21,4,21,16,6,4.0
10311,10491,Decision - Split,3,900,1,Bruno Santos,0,25,49%,45,4,66%,0,0,545.0,13,4,8,11,11,3,0,Chris Camozzi,0,42,49%,67,0,0%,1,0,2.0,25,9,8,27,4,11,4.0
10312,10492,Decision - Unanimous,3,900,0,Bruno Santos,0,12,50%,31,1,8%,1,0,298.0,3,4,5,5,7,0,1,Krzysztof Jotko,0,17,36%,84,1,25%,0,1,238.0,8,6,3,10,7,0,4.0
10313,10493,Decision - Unanimous,3,900,1,Taila Santos,0,57,39%,75,5,71%,1,0,473.0,24,21,12,34,12,11,0,Molly McCann,0,48,45%,67,0,0%,0,0,56.0,25,13,10,43,5,0,4.0
