model names,cluster,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Train Score,Test Score
LogReg,1,37.559322033898304,0.6626774336412842,108.61979153481154,2.1607952865227653,0.30852366681528154,0.2288135593220339,0.3155459227573483,101.27118644067797,26.872881355932204,5.486111404447697,17.531058791870077,37.48203555534044,5.991525423728813,8.457627118644067,26.491525423728813,0.3500664531746398,34.016949152542374,1.1910613745970757,0.04035269343417665,-0.5542944227215096,0.0847457627118644,62.016949152542374,-50.654472913628965,5.432203389830509,4.279661016949152,20.04237288135593,6.207944145040138,-6.057153000326297,0.9661016949152542,0.7450980392156863
LogReg,2,53.96675466911915,0.46664514473489976,51.63871345669958,1.0207411265206225,0.2920344417070369,1.0488385885509048,0.19529127611635833,132.72186694749374,34.710676516944815,7.0586085993703405,5.297998093422307,21.743455424464994,4.604385128693994,7.460756187834457,8.617195267810484,0.40139649749930045,35.66260583526136,0.8081200251688418,0.2534968566516311,-0.20274439509584918,0.08899666704696076,71.91163678488023,5.506020824317291,6.079208447825282,5.585700667302192,17.47594892935749,5.105815061963775,1.0857974264397292,0.8610104861773117,0.8577145397954646
LogReg,3,57.132157280416784,0.5593730843353959,74.20109990436913,1.1667183805064791,0.1951237616207117,0.7990441263137601,0.09397153817034445,153.8371366431126,73.54970608690573,7.987607334787533,9.666170191825193,44.8719610584269,6.225384771130564,13.07769601815359,20.858154674622348,0.38679544528979504,15.082271887538639,0.28075132635461086,0.23890387746248937,-0.3117530661619719,0.10880308680196533,95.90466321243524,-5.160977222532956,6.418470539257311,5.427979274611399,8.896549649278144,4.707345197740974,0.8409153573011445,0.8673575129533678,0.8743961352657005
LogReg,4,71.33207330664055,0.484880128064053,38.82984847213382,0.5559448040444652,0.159708683547832,0.6977704650150938,0.12441756981865168,91.85945102579964,64.10482897208928,7.2835820895522385,8.749315839956296,29.32089552238806,5.898095461725131,6.725033913333457,45.81094527363184,0.4145633381073295,60.61194029850746,0.238990242057199,0.2277487562189055,0.04769441257612009,0.08871067733259769,35.41289180943643,-24.245775401800216,8.426616915422885,1.7675924408549157,33.843283582089555,6.374378109452737,-1.9609197902837074,0.8781094527363185,0.8492753623188406
LogReg,5,52.96446989837217,0.5212040313934964,78.4628671304499,3.8997507975794665,0.3821019852803685,1.1966548033236237,0.26510613471497446,340.1627441526298,33.74877323506635,7.185534205144638,4.598802395209581,16.68317909635275,6.0531746819224255,12.509293342330594,0.8701688914778352,0.36288713648595444,39.45782490568557,0.30419336410880315,0.2630994819170789,0.021942938450303706,0.17229360416866255,40.66468700183259,7.735416733826236,5.676646706586826,4.119221435875325,15.101049515220051,5.161676646706587,0.7343242850480154,0.8671747414262384,0.8540609137055838
LR_L2,1,56.649826651628956,0.679224206893352,108.1880595729152,2.5609397613774454,0.4229355833513416,0.06011689623789182,0.40864865742501016,66.57217427513689,29.00087067814572,7.559003363582859,20.08995260990038,44.49904014739426,2.322610385870926,9.82817611836371,-13.39416836558831,0.3367163437771219,18.41947043786959,1.4179446283987585,-0.029668949175009007,-0.8151379943880701,0.03771510036966858,108.60055301507828,-29.39047923866403,7.404490918362099,8.591819954713603,-12.011317378824529,4.770656078109776,-6.1535070648735655,0.9745762711864406,0.7450980392156863
LR_L2,2,44.91387513704955,0.4667869534638103,51.794362801862505,1.0213446303820435,0.29222389906037405,1.048230194271331,0.1958640599317119,132.7339430483876,33.052786947349546,6.808878504560841,5.0522096851391884,31.071529413419455,5.432808887982777,8.409536835647339,16.795571194077006,0.4012675260479172,35.52899968674458,0.8064028106285649,0.25332264419503336,-0.20201326891225213,0.08832396831840753,71.9459303717991,5.246267949646358,6.009259066417465,5.540044178013163,12.068746910120508,4.565717795570621,0.16110648838586084,0.8612011439466158,0.8577145397954646
LR_L2,3,74.19339921245802,0.5604712434721575,76.6119582437778,1.1971344958210575,0.18698166269321448,0.8092189596184085,0.08991583900842502,153.50401720525093,60.00480682386225,6.187418137063541,8.00117425153224,53.89162677370517,6.478648033923837,13.823124404829016,12.575403701395864,0.38607920127063483,13.815640857936085,0.23622536729485333,0.2451630129033488,-0.31880751609103736,0.11203235370903616,97.87058215827639,-0.45468361245993805,6.83785492044312,6.192232393412647,7.0829356952007885,4.873410703484394,0.6190573027106603,0.8704663212435233,0.8671497584541062
LR_L2,4,67.38641737847406,0.4856406835183823,32.466347063592124,0.5819213546274513,0.14851915041762417,0.7072435306842632,0.13171795660668428,92.20507086250326,53.274624372403295,6.2163238210582055,7.895469185012469,52.095735458995144,7.7136191264920715,7.577062792986866,15.077519059690847,0.4143571595626877,69.84154940280595,0.19472889569071217,0.23626276725164347,0.036023294555985186,0.0915388028361217,28.797631009608494,-0.51497549013731,11.630737049376837,3.9617575004513443,14.56620690611193,4.880115182807697,-4.36880302922878,0.8756218905472637,0.8463768115942029
LR_L2,5,44.80825889655138,0.5213326230386811,78.88252846832393,3.9610010665526527,0.37650428334423003,1.2111873004235854,0.27005812979833566,341.1099097767659,33.21359615799142,7.116492032917872,4.478170705642095,22.61280084128455,7.086532405139257,15.108925650127564,13.940424865653284,0.3621659951718776,38.99154011934857,0.27214118891846684,0.26850610197836206,0.010257917752542034,0.16741409011485892,39.3062346980317,4.920801320203269,5.2404389398254745,3.779184605624545,9.601386945710159,4.508524092793705,-0.16948617285055523,0.8671747414262384,0.8540609137055838
