,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
151,Submission,2,8:30,L,Willie Gates,0,13 of 32,40%,31 of 50,0 of 0,---,0,0,6:02,7 of 25,5 of 6,1 of 1,9 of 22,1 of 6,3 of 4,W,Yuta Sasaki,0,7 of 23,30%,26 of 46,4 of 10,40%,1,0,0:45,5 of 20,2 of 3,0 of 0,3 of 18,0 of 0,4 of 5
152,KO/TKO,3,12:58,L,Willie Gates,0,13 of 32,40%,24 of 43,0 of 0,---,0,0,0:00,5 of 19,7 of 12,1 of 1,10 of 27,3 of 5,0 of 0,W,Dustin Ortiz,0,92 of 129,71%,171 of 216,4 of 13,30%,1,0,10:47,75 of 109,13 of 16,4 of 4,6 of 27,13 of 16,73 of 86
153,KO/TKO,1,1:36,W,Willie Gates,1,19 of 33,57%,21 of 35,0 of 0,---,0,0,0:13,15 of 28,3 of 4,1 of 1,9 of 22,0 of 0,10 of 11,L,Darrell Montague,0,4 of 13,30%,4 of 13,0 of 1,0%,0,0,0:00,0 of 9,2 of 2,2 of 2,4 of 13,0 of 0,0 of 0
154,Submission,3,14:06,L,Willie Gates,1,22 of 75,29%,29 of 82,0 of 0,---,1,0,0:25,9 of 54,8 of 8,5 of 13,14 of 65,5 of 7,3 of 3,W,John Moraga,0,56 of 95,58%,95 of 137,1 of 4,25%,1,1,6:59,28 of 55,14 of 18,14 of 22,18 of 51,13 of 18,25 of 26
155,Decision - Unanimous,3,15:00,L,Louis Gaudinot,0,23 of 89,25%,29 of 95,0 of 1,0%,2,0,0:00,6 of 57,2 of 10,15 of 22,21 of 84,2 of 5,0 of 0,W,Kyoji Horiguchi,0,44 of 108,40%,59 of 123,1 of 2,50%,0,0,1:58,30 of 89,10 of 15,4 of 4,43 of 106,1 of 2,0 of 0
156,Overturned,1,1:13,NC,Louis Gaudinot,0,2 of 4,50%,7 of 9,0 of 0,---,1,0,0:05,1 of 3,1 of 1,0 of 0,2 of 4,0 of 0,0 of 0,NC,Phil Harris,0,3 of 4,75%,4 of 5,0 of 2,0%,0,0,0:41,2 of 3,0 of 0,1 of 1,2 of 3,1 of 1,0 of 0
157,Decision - Unanimous,3,15:00,L,Louis Gaudinot,0,28 of 78,35%,41 of 95,0 of 0,---,0,0,0:14,12 of 56,6 of 8,10 of 14,23 of 69,5 of 9,0 of 0,W,Tim Elliott,0,116 of 200,58%,270 of 386,6 of 6,100%,2,0,9:08,76 of 150,26 of 34,14 of 16,34 of 74,20 of 22,62 of 104
158,Submission,2,9:54,W,Louis Gaudinot,0,65 of 132,49%,94 of 169,2 of 2,100%,1,0,3:44,52 of 113,11 of 17,2 of 2,51 of 107,2 of 5,12 of 20,L,John Lineker,0,96 of 212,45%,121 of 240,0 of 0,---,0,0,0:14,65 of 165,25 of 40,6 of 7,90 of 204,3 of 5,3 of 3
159,KO/TKO,3,11:58,L,Louis Gaudinot,0,6 of 29,20%,18 of 41,0 of 2,0%,0,0,0:00,3 of 23,0 of 0,3 of 6,2 of 20,4 of 9,0 of 0,W,Johnny Bedford,1,82 of 140,58%,155 of 229,4 of 6,66%,0,0,9:21,50 of 102,29 of 35,3 of 3,10 of 34,19 of 23,53 of 83
160,KO/TKO,2,8:57,L,Charlene Gellner,0,18 of 42,42%,49 of 73,0 of 4,0%,1,0,0:16,9 of 33,6 of 6,3 of 3,13 of 36,5 of 6,0 of 0,W,Jenna Castillo,1,29 of 51,56%,68 of 102,1 of 1,100%,0,0,5:07,15 of 36,13 of 13,1 of 2,13 of 33,16 of 17,0 of 1
161,Decision - Unanimous,3,15:00,L,Chad George,0,16 of 40,40%,20 of 44,0 of 2,0%,2,0,0:00,7 of 27,3 of 5,6 of 8,16 of 40,0 of 0,0 of 0,W,Antonio Banuelos,0,18 of 63,28%,43 of 92,1 of 1,100%,1,0,5:18,11 of 52,4 of 8,3 of 3,5 of 43,0 of 0,13 of 20
162,Submission,1,0:31,L,Chad George,0,0 of 0,---,0 of 0,0 of 1,0%,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,W,Scott Jorgensen,0,0 of 0,---,0 of 0,0 of 0,---,1,0,0:14,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
163,Decision - Unanimous,3,15:00,W,Chad George,0,23 of 40,57%,76 of 95,6 of 11,54%,0,0,9:35,12 of 28,6 of 6,5 of 6,9 of 25,1 of 2,13 of 13,L,John Hosman,0,18 of 43,41%,133 of 160,0 of 0,---,0,0,0:20,7 of 32,9 of 9,2 of 2,14 of 38,4 of 5,0 of 0
164,Submission,1,4:42,L,Paul Georgieff,0,12 of 30,40%,18 of 36,0 of 2,0%,0,0,0:00,9 of 27,1 of 1,2 of 2,8 of 24,1 of 2,3 of 4,W,Jonathan Goulet,0,11 of 17,64%,33 of 44,3 of 3,100%,1,0,3:32,10 of 16,1 of 1,0 of 0,4 of 9,0 of 0,7 of 8
165,KO/TKO,1,2:09,L,Brian Geraghty,0,1 of 4,25%,7 of 10,0 of 0,---,0,0,0:00,1 of 3,0 of 1,0 of 0,0 of 2,1 of 2,0 of 0,W,Matt Wiman,0,21 of 33,63%,25 of 37,1 of 2,50%,0,0,1:44,19 of 31,1 of 1,1 of 1,1 of 5,0 of 0,20 of 28
166,Submission,1,1:40,L,Karine Gevorgyan,0,2 of 10,20%,2 of 10,0 of 2,0%,0,0,0:22,2 of 10,0 of 0,0 of 0,2 of 10,0 of 0,0 of 0,W,Rachael Ostovich,0,3 of 13,23%,5 of 15,1 of 1,100%,1,0,0:36,1 of 10,0 of 0,2 of 3,3 of 13,0 of 0,0 of 0
167,Submission,1,7:57,L,Darrel Gholar,0,4 of 26,15%,30 of 59,1 of 1,100%,0,0,--,3 of 25,1 of 1,0 of 0,0 of 14,0 of 0,4 of 12,W,Evan Tanner,0,24 of 37,64%,25 of 39,1 of 1,100%,4,0,--,10 of 20,5 of 6,9 of 11,10 of 16,14 of 21,0 of 0
168,Submission,1,1:01,L,Tiki Ghosn,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,W,Blas Avena,0,3 of 9,33%,6 of 12,1 of 1,100%,2,0,0:47,3 of 9,0 of 0,0 of 0,0 of 0,0 of 0,3 of 9
169,KO/TKO,2,6:46,L,Tiki Ghosn,0,36 of 73,49%,61 of 102,0 of 0,---,0,0,1:33,12 of 48,14 of 14,10 of 11,16 of 48,12 of 17,8 of 8,W,Dave Terrel,2,43 of 96,44%,51 of 106,0 of 4,0%,0,0,0:34,42 of 94,1 of 2,0 of 0,18 of 55,24 of 38,1 of 3
170,TKO - Doctor's Stoppage,3,10:25,L,Tiki Ghosn,0,29 of 73,39%,83 of 134,1 of 2,50%,0,0,--,20 of 62,5 of 6,4 of 5,23 of 61,4 of 5,2 of 7,W,Pat Healy,0,10 of 43,23%,18 of 52,3 of 13,23%,1,0,--,9 of 42,0 of 0,1 of 1,7 of 37,3 of 4,0 of 2
171,Submission,2,6:55,L,Tiki Ghosn,0,27 of 49,55%,32 of 54,0 of 0,---,0,0,0:27,9 of 24,10 of 14,8 of 11,15 of 28,12 of 21,0 of 0,W,Chris Lytle,0,34 of 80,42%,50 of 96,2 of 3,66%,1,0,0:49,22 of 62,7 of 12,5 of 6,21 of 65,13 of 15,0 of 0
172,KO/TKO,1,1:29,L,Tiki Ghosn,0,7 of 14,50%,7 of 14,0 of 0,---,0,0,0:00,0 of 4,1 of 1,6 of 9,7 of 14,0 of 0,0 of 0,W,Robbie Lawler,1,5 of 11,45%,5 of 11,0 of 0,---,0,0,0:02,5 of 11,0 of 0,0 of 0,4 of 9,0 of 0,1 of 2
173,Submission,2,9:47,L,Tiki Ghosn,0,1 of 7,14%,10 of 16,0 of 0,---,0,0,0:00,0 of 5,0 of 0,1 of 2,1 of 6,0 of 1,0 of 0,W,Sean Sherk,0,12 of 16,75%,134 of 146,4 of 5,80%,0,0,9:15,11 of 15,0 of 0,1 of 1,1 of 3,1 of 1,10 of 12
174,Submission,2,6:29,L,Tiki Ghosn,0,24 of 63,38%,26 of 65,0 of 0,---,0,0,2:07,12 of 45,10 of 16,2 of 2,15 of 47,9 of 16,0 of 0,W,Bob Cook,0,22 of 47,46%,53 of 78,1 of 5,20%,2,0,1:08,12 of 30,7 of 11,3 of 6,15 of 34,7 of 12,0 of 1
175,Decision - Unanimous,3,15:00,L,Christos Giagos,0,87 of 155,56%,113 of 186,2 of 5,40%,1,0,3:19,55 of 117,29 of 33,3 of 5,69 of 127,16 of 23,2 of 5,W,Drakkar Klose,0,99 of 160,61%,159 of 223,2 of 7,28%,0,0,3:43,56 of 114,29 of 30,14 of 16,39 of 93,38 of 40,22 of 27
176,Decision - Unanimous,3,15:00,W,Christos Giagos,0,47 of 113,41%,67 of 141,6 of 13,46%,0,0,5:23,28 of 90,12 of 16,7 of 7,38 of 91,6 of 10,3 of 12,L,Damir Hadzovic,0,24 of 61,39%,42 of 87,1 of 1,100%,0,0,2:04,20 of 48,3 of 12,1 of 1,14 of 45,5 of 6,5 of 10
177,Decision - Unanimous,3,15:00,W,Christos Giagos,0,31 of 90,34%,63 of 131,5 of 10,50%,0,1,9:22,22 of 80,8 of 9,1 of 1,14 of 53,3 of 4,14 of 33,L,Mizuto Hirota,0,19 of 55,34%,47 of 86,0 of 0,---,1,0,1:06,15 of 50,4 of 4,0 of 1,12 of 41,4 of 10,3 of 4
178,Submission,2,8:22,L,Christos Giagos,0,18 of 80,22%,20 of 82,0 of 0,---,0,0,0:07,13 of 65,3 of 12,2 of 3,16 of 76,1 of 3,1 of 1,W,Charles Oliveira,0,28 of 60,46%,28 of 60,2 of 4,50%,1,0,1:21,13 of 35,7 of 14,8 of 11,25 of 55,1 of 3,2 of 2
179,Decision - Unanimous,3,15:00,L,Christos Giagos,0,28 of 84,33%,41 of 98,0 of 4,0%,0,1,2:51,17 of 70,10 of 13,1 of 1,19 of 68,9 of 16,0 of 0,W,Chris Wade,0,32 of 57,56%,55 of 80,4 of 7,57%,0,2,6:28,15 of 36,9 of 12,8 of 9,23 of 44,7 of 11,2 of 2
