,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
689,Decision - Unanimous,3,15:00,W,Matt Hughes,0,34 of 58,58%,79 of 106,3 of 5,60%,0,0,8:15,14 of 37,18 of 18,2 of 3,11 of 28,5 of 6,18 of 24,L,Matt Serra,1,14 of 41,34%,36 of 63,1 of 1,100%,0,0,0:53,9 of 28,3 of 11,2 of 2,10 of 34,1 of 1,3 of 6
690,KO/TKO,2,6:02,L,Matt Hughes,0,9 of 13,69%,18 of 22,1 of 7,14%,0,0,3:03,2 of 6,0 of 0,7 of 7,0 of 3,0 of 0,9 of 10,W,Thiago Alves,1,10 of 16,62%,24 of 31,1 of 1,100%,0,0,1:27,8 of 14,2 of 2,0 of 0,3 of 6,2 of 2,5 of 8
691,Submission,2,9:54,L,Matt Hughes,0,5 of 13,38%,10 of 19,0 of 3,0%,0,0,0:17,3 of 11,2 of 2,0 of 0,0 of 6,2 of 2,3 of 5,W,Georges St-Pierre,0,28 of 40,70%,97 of 117,3 of 3,100%,3,0,7:00,18 of 27,8 of 9,2 of 4,4 of 12,2 of 3,22 of 25
692,Decision - Unanimous,3,15:00,W,Matt Hughes,0,13 of 21,61%,60 of 68,2 of 3,66%,3,1,13:09,11 of 19,2 of 2,0 of 0,0 of 0,0 of 0,13 of 21,L,Chris Lytle,0,5 of 16,31%,44 of 55,0 of 0,---,3,1,0:45,1 of 11,4 of 5,0 of 0,1 of 9,0 of 0,4 of 7
693,KO/TKO,2,6:25,L,Matt Hughes,0,10 of 39,25%,10 of 39,0 of 3,0%,0,0,0:00,6 of 34,3 of 4,1 of 1,8 of 36,2 of 3,0 of 0,W,Georges St-Pierre,2,45 of 92,48%,49 of 96,1 of 1,100%,0,0,0:37,32 of 70,3 of 5,10 of 17,33 of 74,4 of 5,8 of 13
694,KO/TKO,3,13:53,W,Matt Hughes,0,35 of 88,39%,77 of 133,1 of 9,11%,0,0,6:59,28 of 78,5 of 8,2 of 2,20 of 58,4 of 7,11 of 23,L,BJ Penn,0,17 of 37,45%,49 of 70,0 of 1,0%,2,1,1:58,10 of 28,7 of 9,0 of 0,8 of 25,7 of 10,2 of 2
695,KO/TKO,1,4:39,W,Matt Hughes,0,32 of 40,80%,33 of 41,1 of 1,100%,1,0,3:26,22 of 29,8 of 9,2 of 2,3 of 4,1 of 1,28 of 35,L,Royce Gracie,0,7 of 11,63%,14 of 18,0 of 0,---,0,0,0:00,0 of 3,2 of 2,5 of 6,5 of 8,2 of 3,0 of 0
696,Submission,1,3:28,W,Matt Hughes,0,8 of 13,61%,9 of 14,1 of 1,100%,2,0,2:03,1 of 6,7 of 7,0 of 0,2 of 6,1 of 1,5 of 6,L,Joe Riggs,0,1 of 5,20%,1 of 5,0 of 0,---,0,0,0:00,0 of 4,1 of 1,0 of 0,0 of 4,1 of 1,0 of 0
697,Submission,1,4:05,W,Matt Hughes,0,13 of 19,68%,19 of 25,1 of 2,50%,1,1,1:32,10 of 16,2 of 2,1 of 1,1 of 4,2 of 2,10 of 13,L,Frank Trigg,1,13 of 21,61%,25 of 33,0 of 0,---,1,0,1:49,9 of 17,4 of 4,0 of 0,0 of 3,6 of 7,7 of 11
698,Submission,1,4:59,W,Matt Hughes,0,4 of 14,28%,8 of 21,2 of 7,28%,2,0,2:20,3 of 13,1 of 1,0 of 0,3 of 11,1 of 1,0 of 2,L,Georges St-Pierre,0,6 of 17,35%,12 of 24,1 of 1,100%,0,0,0:17,4 of 15,2 of 2,0 of 0,5 of 16,1 of 1,0 of 0
699,Decision - Unanimous,3,15:00,W,Matt Hughes,0,11 of 23,47%,17 of 31,3 of 6,50%,1,1,13:29,6 of 17,5 of 6,0 of 0,2 of 3,2 of 3,7 of 17,L,Renato Verissimo,0,7 of 13,53%,87 of 95,0 of 0,---,4,1,0:12,5 of 10,2 of 3,0 of 0,0 of 5,3 of 3,4 of 5
700,Submission,1,4:39,L,Matt Hughes,0,4 of 8,50%,10 of 14,0 of 1,0%,0,0,0:00,3 of 7,1 of 1,0 of 0,0 of 3,1 of 1,3 of 4,W,BJ Penn,0,17 of 23,73%,33 of 39,0 of 0,---,1,0,4:10,15 of 21,2 of 2,0 of 0,3 of 4,2 of 2,12 of 17
701,Submission,1,3:54,W,Matt Hughes,0,0 of 0,---,0 of 0,1 of 1,100%,2,1,1:43,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,L,Frank Trigg,0,0 of 3,0%,1 of 4,1 of 1,100%,1,1,1:59,0 of 3,0 of 0,0 of 0,0 of 0,0 of 0,0 of 3
702,Decision - Unanimous,5,25:00,W,Matt Hughes,0,44 of 88,50%,96 of 140,5 of 7,71%,1,0,14:59,42 of 86,2 of 2,0 of 0,9 of 36,0 of 0,35 of 52,L,Sean Sherk,0,19 of 39,48%,144 of 167,3 of 5,60%,1,0,5:47,19 of 39,0 of 0,0 of 0,2 of 14,3 of 5,14 of 20
703,TKO - Doctor's Stoppage,1,5:00,W,Matt Hughes,0,22 of 32,68%,36 of 46,1 of 1,100%,0,0,4:04,14 of 24,6 of 6,2 of 2,4 of 8,0 of 0,18 of 24,L,Gil Castillo,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
704,KO/TKO,4,18:37,W,Matt Hughes,0,58 of 77,75%,104 of 123,4 of 6,66%,1,0,16:17,47 of 65,11 of 12,0 of 0,0 of 5,1 of 1,57 of 71,L,Carlos Newton,0,3 of 9,33%,8 of 14,0 of 1,0%,1,1,0:52,3 of 9,0 of 0,0 of 0,1 of 6,0 of 1,2 of 2
705,KO/TKO,4,18:01,W,Matt Hughes,0,36 of 58,62%,112 of 137,9 of 11,81%,0,0,15:52,34 of 56,2 of 2,0 of 0,8 of 12,1 of 1,27 of 45,L,Hayato Sakurai,1,5 of 12,41%,14 of 22,0 of 0,---,0,0,0:00,4 of 11,0 of 0,1 of 1,5 of 12,0 of 0,0 of 0
706,KO/TKO,2,6:27,W,Matt Hughes,0,8 of 14,57%,14 of 20,4 of 4,100%,1,0,4:04,7 of 13,1 of 1,0 of 0,0 of 1,2 of 2,6 of 11,L,Carlos Newton,0,2 of 7,28%,18 of 23,0 of 0,---,1,2,1:33,0 of 5,2 of 2,0 of 0,0 of 4,2 of 3,0 of 0
707,Submission,1,0:20,L,Matt Hughes,0,1 of 1,100%,1 of 1,1 of 1,100%,0,0,0:11,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,W,Dennis Hallman,0,0 of 0,---,0 of 0,0 of 0,---,1,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
708,TKO - Doctor's Stoppage,1,4:34,W,Matt Hughes,0,18 of 31,58%,29 of 42,2 of 3,66%,0,0,4:08,14 of 27,4 of 4,0 of 0,0 of 2,0 of 0,18 of 29,L,Marcelo Aguiar,0,2 of 2,100%,21 of 21,0 of 0,---,0,0,0:00,2 of 2,0 of 0,0 of 0,0 of 0,0 of 0,2 of 2
709,Decision - Unanimous,3,15:00,W,Matt Hughes,0,77 of 117,65%,124 of 164,5 of 9,55%,0,0,--,48 of 88,29 of 29,0 of 0,13 of 27,2 of 5,62 of 85,L,Valeri Ignatov,0,7 of 25,28%,45 of 64,0 of 0,---,1,0,--,5 of 23,2 of 2,0 of 0,5 of 22,2 of 2,0 of 1
710,Decision - Unanimous,2,10:00,W,Mark Hughes,0,9 of 19,47%,68 of 78,2 of 4,50%,3,0,9:24,7 of 17,2 of 2,0 of 0,0 of 1,1 of 1,8 of 17,L,Alex Stiebling,0,4 of 7,57%,38 of 42,0 of 0,---,1,0,0:00,3 of 5,1 of 2,0 of 0,0 of 2,1 of 2,3 of 3
711,Submission,1,3:48,L,Jeff Hughes,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0,W,Juan Espino,0,10 of 17,58%,21 of 29,5 of 7,71%,1,0,2:36,9 of 14,1 of 1,0 of 2,2 of 7,0 of 0,8 of 10
712,Decision - Unanimous,3,15:00,L,Jeff Hughes,0,34 of 77,44%,48 of 93,0 of 0,---,0,1,1:16,10 of 46,6 of 9,18 of 22,28 of 68,3 of 4,3 of 5,W,Raphael Pessoa,1,39 of 138,28%,43 of 143,0 of 0,---,0,0,0:06,22 of 112,3 of 8,14 of 18,32 of 125,7 of 13,0 of 0
713,Could Not Continue,1,4:03,NC,Jeff Hughes,0,16 of 29,55%,26 of 39,0 of 0,---,0,0,0:15,12 of 24,0 of 0,4 of 5,14 of 23,2 of 6,0 of 0,NC,Todd Duffee,1,30 of 66,45%,38 of 74,1 of 3,33%,0,0,1:56,25 of 60,5 of 6,0 of 0,19 of 51,9 of 12,2 of 3
714,Decision - Split,3,15:00,L,Jeff Hughes,0,66 of 143,46%,67 of 144,0 of 1,0%,0,0,0:45,42 of 107,11 of 15,13 of 21,62 of 139,4 of 4,0 of 0,W,Maurice Greene,0,70 of 161,43%,72 of 163,0 of 0,---,0,0,0:19,42 of 114,10 of 20,18 of 27,58 of 145,12 of 16,0 of 0
715,Decision - Unanimous,3,15:00,L,Abongo Humphrey,0,14 of 35,40%,26 of 47,1 of 4,25%,3,0,--,9 of 28,4 of 6,1 of 1,9 of 27,5 of 8,0 of 0,W,Ovince Saint Preux,0,25 of 38,65%,105 of 128,3 of 4,75%,1,0,--,19 of 32,5 of 5,1 of 1,14 of 26,1 of 1,10 of 11
716,Submission,2,8:28,L,Abongo Humphrey,0,17 of 38,44%,27 of 55,2 of 2,100%,4,1,--,6 of 24,3 of 4,8 of 10,14 of 30,2 of 3,1 of 5,W,Mike Kyle,0,43 of 76,56%,79 of 115,1 of 2,50%,1,1,--,21 of 51,18 of 21,4 of 4,18 of 47,16 of 16,9 of 13
717,Submission,1,1:44,W,Abongo Humphrey,0,4 of 9,44%,4 of 9,0 of 0,---,1,0,--,2 of 6,0 of 0,2 of 3,4 of 9,0 of 0,0 of 0,L,George Bush,0,11 of 17,64%,11 of 18,2 of 3,66%,0,0,--,3 of 9,0 of 0,8 of 8,10 of 15,0 of 0,1 of 2
718,KO/TKO,2,6:38,L,Abongo Humphrey,0,11 of 32,34%,11 of 32,0 of 2,0%,0,0,1:17,2 of 16,5 of 8,4 of 8,6 of 22,5 of 10,0 of 0,W,Brett Rogers,1,43 of 99,43%,61 of 117,0 of 0,---,0,0,1:25,32 of 85,10 of 11,1 of 3,14 of 44,29 of 55,0 of 0
719,Decision - Unanimous,3,15:00,L,Mark Hunt,0,19 of 60,31%,19 of 60,0 of 0,---,0,0,0:00,3 of 37,11 of 18,5 of 5,19 of 60,0 of 0,0 of 0,W,Justin Willis,0,59 of 103,57%,59 of 103,0 of 0,---,0,0,0:00,45 of 84,3 of 6,11 of 13,59 of 103,0 of 0,0 of 0
720,Submission,1,4:26,L,Mark Hunt,0,6 of 27,22%,6 of 27,0 of 0,---,0,0,0:00,2 of 20,0 of 2,4 of 5,6 of 27,0 of 0,0 of 0,W,Aleksei Oleinik,0,3 of 26,11%,3 of 26,1 of 5,20%,1,0,0:42,2 of 22,0 of 0,1 of 4,3 of 26,0 of 0,0 of 0
721,Decision - Unanimous,3,15:00,L,Mark Hunt,1,14 of 32,43%,35 of 53,0 of 0,---,0,0,0:07,13 of 31,0 of 0,1 of 1,11 of 29,2 of 2,1 of 1,W,Curtis Blaydes,0,56 of 105,53%,126 of 184,10 of 14,71%,0,0,9:35,46 of 95,6 of 6,4 of 4,11 of 54,1 of 1,44 of 50
