,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
213,Submission,1,3:07,L,Anthony Njokuani,0,1 of 3,33%,3 of 5,0 of 0,---,0,0,0:02,0 of 2,1 of 1,0 of 0,0 of 2,1 of 1,0 of 0,W,Shane Roller,0,1 of 1,100%,3 of 3,2 of 4,50%,3,0,2:50,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1
214,KO/TKO,1,3:33,W,Anthony Njokuani,1,25 of 54,46%,26 of 58,1 of 1,100%,0,0,0:25,19 of 47,6 of 6,0 of 1,8 of 25,5 of 6,12 of 23,L,Chris Horodecki,0,5 of 34,14%,9 of 38,0 of 2,0%,0,0,0:56,1 of 25,1 of 1,3 of 8,2 of 31,3 of 3,0 of 0
215,KO/TKO,2,6:42,W,Anthony Njokuani,1,32 of 70,45%,35 of 74,0 of 0,---,0,0,0:52,21 of 56,2 of 3,9 of 11,23 of 53,1 of 3,8 of 14,L,Muhsin Corbbrey,0,5 of 48,10%,9 of 52,0 of 0,---,0,0,0:00,4 of 39,0 of 1,1 of 8,5 of 48,0 of 0,0 of 0
216,KO/TKO,2,5:27,W,Anthony Njokuani,2,36 of 93,38%,49 of 108,0 of 0,---,0,0,0:50,25 of 79,5 of 8,6 of 6,17 of 58,3 of 3,16 of 32,L,Bart Palaszewski,0,7 of 27,25%,12 of 32,2 of 3,66%,0,0,1:01,5 of 23,1 of 2,1 of 2,5 of 25,2 of 2,0 of 0
217,Submission,2,5:42,L,Anthony Njokuani,0,0 of 7,0%,10 of 17,0 of 0,---,1,0,--,0 of 5,0 of 2,0 of 0,0 of 4,0 of 2,0 of 1,W,Benson Henderson,0,6 of 22,27%,11 of 30,7 of 13,53%,3,0,--,3 of 17,3 of 3,0 of 2,0 of 7,2 of 3,4 of 12
218,KO/TKO,1,2:54,L,Derrick Noble,0,18 of 45,40%,26 of 53,0 of 0,---,0,0,0:39,10 of 34,4 of 6,4 of 5,7 of 27,11 of 18,0 of 0,W,Thiago Alves,1,11 of 27,40%,19 of 36,0 of 0,---,0,0,0:12,5 of 17,4 of 5,2 of 5,5 of 19,4 of 6,2 of 2
219,Could Not Continue,1,2:11,NC,Pedro Nobre,0,3 of 10,30%,3 of 10,0 of 1,0%,0,0,0:03,1 of 7,1 of 1,1 of 2,3 of 10,0 of 0,0 of 0,NC,Iuri Alcantara,0,20 of 31,64%,26 of 38,1 of 1,100%,1,0,1:07,17 of 25,3 of 5,0 of 1,6 of 16,0 of 0,14 of 15
220,Decision - Unanimous,3,15:00,L,Antonio Rodrigo Nogueira,0,59 of 113,52%,84 of 138,1 of 14,7%,0,0,5:22,43 of 95,13 of 15,3 of 3,43 of 93,16 of 20,0 of 0,W,Stefan Struve,0,93 of 156,59%,94 of 157,0 of 0,---,0,0,0:38,43 of 102,32 of 36,18 of 18,87 of 149,6 of 7,0 of 0
221,KO/TKO,1,3:37,L,Antonio Rodrigo Nogueira,0,12 of 37,32%,12 of 37,0 of 0,---,0,0,0:00,12 of 36,0 of 1,0 of 0,12 of 37,0 of 0,0 of 0,W,Roy Nelson,2,19 of 35,54%,20 of 36,0 of 0,---,0,0,0:10,18 of 33,1 of 2,0 of 0,18 of 34,0 of 0,1 of 1
222,Submission,2,7:41,L,Antonio Rodrigo Nogueira,0,14 of 40,35%,46 of 74,0 of 1,0%,0,0,2:03,12 of 37,1 of 2,1 of 1,6 of 30,8 of 10,0 of 0,W,Fabricio Werdum,0,32 of 37,86%,54 of 60,1 of 2,50%,1,0,2:50,18 of 23,2 of 2,12 of 12,20 of 25,6 of 6,6 of 6
