,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
122,Decision - Unanimous,3,15:00,L,Alex Oliveira,0,48 of 137,35%,50 of 139,0 of 1,0%,0,0,1:18,30 of 110,7 of 16,11 of 11,42 of 125,6 of 11,0 of 1,W,Mike Perry,0,65 of 110,59%,75 of 120,0 of 1,0%,0,0,2:10,48 of 90,6 of 8,11 of 12,32 of 72,18 of 19,15 of 19
123,Submission,2,9:17,L,Alex Oliveira,0,36 of 49,73%,52 of 69,0 of 2,0%,0,1,3:06,27 of 40,6 of 6,3 of 3,3 of 4,9 of 9,24 of 36,W,Gunnar Nelson,0,11 of 11,100%,20 of 20,2 of 5,40%,1,0,4:42,10 of 10,1 of 1,0 of 0,1 of 1,1 of 1,9 of 9
124,KO/TKO,1,0:39,W,Alex Oliveira,0,7 of 10,70%,10 of 13,0 of 0,---,0,0,0:05,7 of 9,0 of 1,0 of 0,2 of 4,0 of 0,5 of 6,L,Carlo Pedersoli Jr.,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:00,0 of 2,1 of 1,1 of 1,2 of 4,0 of 0,0 of 0
125,Submission,2,8:17,W,Alex Oliveira,0,9 of 23,39%,22 of 37,3 of 3,100%,1,0,3:44,8 of 22,1 of 1,0 of 0,1 of 8,0 of 0,8 of 15,L,Carlos Condit,0,12 of 18,66%,42 of 49,1 of 1,100%,1,1,2:51,6 of 12,2 of 2,4 of 4,6 of 11,0 of 0,6 of 7
126,KO/TKO,3,12:02,L,Alex Oliveira,2,93 of 161,57%,96 of 164,2 of 5,40%,0,0,3:05,61 of 117,29 of 41,3 of 3,69 of 127,23 of 31,1 of 3,W,Yancy Medeiros,2,75 of 151,49%,78 of 155,1 of 1,100%,0,1,1:07,56 of 127,13 of 17,6 of 7,51 of 119,13 of 19,11 of 13
127,KO/TKO,2,6:50,W,Alex Oliveira,1,8 of 21,38%,8 of 21,0 of 1,0%,1,0,0:01,4 of 17,1 of 1,3 of 3,6 of 18,2 of 2,0 of 1,L,Ryan LaFlare,0,5 of 14,35%,8 of 17,0 of 2,0%,0,0,4:20,2 of 10,3 of 4,0 of 0,2 of 11,0 of 0,3 of 3
128,Submission,2,7:38,W,Alex Oliveira,0,12 of 24,50%,18 of 31,6 of 11,54%,1,0,4:49,6 of 17,1 of 1,5 of 6,2 of 7,6 of 8,4 of 9,L,Tim Means,0,9 of 12,75%,34 of 41,0 of 1,0%,0,0,2:01,8 of 11,1 of 1,0 of 0,0 of 2,5 of 5,4 of 5
129,Could Not Continue,1,3:33,NC,Alex Oliveira,1,6 of 10,60%,9 of 13,1 of 4,25%,0,0,1:19,3 of 7,3 of 3,0 of 0,5 of 9,1 of 1,0 of 0,NC,Tim Means,0,17 of 23,73%,24 of 31,1 of 1,100%,0,0,1:02,9 of 13,6 of 8,2 of 2,6 of 9,6 of 7,5 of 7
130,KO/TKO,3,13:30,W,Alex Oliveira,0,48 of 59,81%,80 of 102,4 of 10,40%,1,0,8:11,21 of 27,11 of 12,16 of 20,6 of 10,28 of 33,14 of 16,L,Will Brooks,0,16 of 17,94%,29 of 37,4 of 8,50%,0,0,3:45,2 of 2,9 of 10,5 of 5,5 of 5,9 of 10,2 of 2
131,Decision - Unanimous,3,15:00,W,Alex Oliveira,0,58 of 78,74%,156 of 196,2 of 8,25%,0,0,11:20,28 of 45,28 of 31,2 of 2,5 of 12,15 of 21,38 of 45,L,James Moontasri,0,12 of 26,46%,30 of 48,0 of 1,0%,0,0,1:19,6 of 17,1 of 3,5 of 6,3 of 14,9 of 12,0 of 0
132,Submission,1,2:33,L,Alex Oliveira,0,14 of 24,58%,17 of 27,0 of 0,---,0,0,0:51,4 of 13,6 of 7,4 of 4,3 of 9,11 of 15,0 of 0,W,Donald Cerrone,0,4 of 6,66%,7 of 10,1 of 2,50%,1,0,0:33,0 of 1,3 of 4,1 of 1,1 of 2,3 of 4,0 of 0
133,KO/TKO,3,10:51,W,Alex Oliveira,1,42 of 109,38%,54 of 121,0 of 4,0%,0,0,3:00,32 of 95,7 of 11,3 of 3,24 of 68,16 of 37,2 of 4,L,Piotr Hallmann,0,36 of 71,50%,79 of 117,1 of 2,50%,0,0,3:30,26 of 53,5 of 9,5 of 9,19 of 45,13 of 22,4 of 4
134,Decision - Unanimous,3,15:00,W,Alex Oliveira,0,11 of 33,33%,33 of 60,5 of 16,31%,2,0,10:23,7 of 25,0 of 2,4 of 6,5 of 21,4 of 8,2 of 4,L,Joe Merritt,0,23 of 39,58%,34 of 50,0 of 2,0%,0,3,2:30,16 of 30,3 of 4,4 of 5,4 of 18,8 of 8,11 of 13
135,Submission,1,2:51,W,Alex Oliveira,0,3 of 13,23%,4 of 14,3 of 5,60%,1,0,1:20,1 of 11,0 of 0,2 of 2,3 of 11,0 of 1,0 of 1,L,KJ Noons,0,7 of 11,63%,7 of 11,0 of 0,---,0,0,0:00,5 of 8,0 of 0,2 of 3,6 of 10,1 of 1,0 of 0
136,Submission,3,14:14,L,Alex Oliveira,0,29 of 76,38%,31 of 80,0 of 0,---,0,0,3:21,22 of 67,3 of 4,4 of 5,26 of 70,3 of 6,0 of 0,W,Gilbert Burns,0,17 of 44,38%,37 of 69,2 of 5,40%,2,0,4:01,8 of 32,5 of 6,4 of 6,10 of 37,3 of 3,4 of 4
137,KO/TKO,2,6:37,L,Wendell Oliveira Marques,0,22 of 39,56%,24 of 41,0 of 3,0%,0,0,1:59,3 of 14,1 of 1,18 of 24,4 of 18,18 of 21,0 of 0,W,Darren Till,0,25 of 41,60%,26 of 42,0 of 2,0%,0,0,1:06,15 of 28,5 of 8,5 of 5,17 of 30,0 of 1,8 of 10
138,KO/TKO,1,1:20,L,Wendell Oliveira Marques,0,8 of 24,33%,8 of 24,0 of 0,---,0,0,0:00,4 of 20,0 of 0,4 of 4,8 of 24,0 of 0,0 of 0,W,Santiago Ponzinibbio,1,10 of 26,38%,10 of 26,0 of 0,---,0,0,0:01,10 of 24,0 of 2,0 of 0,9 of 23,0 of 1,1 of 2
139,Submission,3,13:02,L,Felipe Olivieri,0,87 of 150,58%,94 of 159,0 of 1,0%,0,0,0:19,31 of 81,28 of 37,28 of 32,77 of 136,10 of 14,0 of 0,W,Anthony Rocco Martin,0,60 of 141,42%,64 of 147,2 of 7,28%,1,0,4:01,55 of 132,4 of 7,1 of 2,53 of 131,7 of 10,0 of 0
140,Submission,1,1:58,W,Casey Olson,0,0 of 2,0%,2 of 4,0 of 1,0%,2,0,--,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,L,Bobby Sanchez,0,0 of 1,0%,0 of 1,0 of 1,0%,0,0,--,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
