,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
223,KO/TKO,2,6:22,W,Gian Villante,1,43 of 82,52%,57 of 97,1 of 1,100%,0,0,0:53,33 of 69,5 of 7,5 of 6,38 of 77,1 of 1,4 of 4,L,Cody Donovan,0,51 of 90,56%,55 of 94,0 of 1,0%,0,0,0:16,36 of 74,13 of 14,2 of 2,46 of 84,5 of 6,0 of 0
224,Decision - Majority,3,10:33,L,Gian Villante,0,28 of 50,56%,35 of 57,0 of 4,0%,0,0,1:11,5 of 14,3 of 7,20 of 29,25 of 46,3 of 4,0 of 0,W,Ovince Saint Preux,0,47 of 84,55%,57 of 94,0 of 2,0%,0,0,0:42,33 of 65,5 of 7,9 of 12,45 of 82,2 of 2,0 of 0
225,Decision - Unanimous,3,15:00,W,Gian Villante,1,68 of 132,51%,70 of 134,0 of 0,---,0,0,1:58,41 of 102,5 of 7,22 of 23,53 of 116,8 of 8,7 of 8,L,Derrick Mehmen,0,29 of 203,14%,33 of 212,1 of 6,16%,0,0,0:26,26 of 197,2 of 5,1 of 1,27 of 200,2 of 3,0 of 0
226,KO/TKO,1,1:05,W,Gian Villante,0,18 of 19,94%,24 of 25,1 of 2,50%,0,0,0:30,12 of 13,1 of 1,5 of 5,4 of 4,6 of 6,8 of 9,L,Trevor Smith,0,8 of 10,80%,8 of 10,0 of 0,---,0,0,0:00,0 of 0,5 of 6,3 of 4,4 of 6,4 of 4,0 of 0
227,Decision - Unanimous,3,15:00,L,Gian Villante,0,8 of 39,20%,26 of 60,1 of 5,20%,0,0,--,2 of 29,1 of 3,5 of 7,6 of 34,1 of 2,1 of 3,W,Lorenz Larkin,0,50 of 125,40%,58 of 133,1 of 1,100%,0,0,--,25 of 98,6 of 6,19 of 21,40 of 114,10 of 11,0 of 0
228,KO/TKO,1,2:49,L,Gian Villante,0,12 of 24,50%,13 of 25,0 of 1,0%,0,0,0:35,9 of 20,0 of 1,3 of 3,5 of 8,7 of 16,0 of 0,W,Chad Griggs,2,25 of 53,47%,34 of 62,0 of 0,---,0,0,0:16,23 of 50,1 of 2,1 of 1,13 of 25,9 of 24,3 of 4
229,TKO - Doctor's Stoppage,1,1:31,L,Ike Villanueva,0,7 of 7,100%,23 of 24,0 of 0,---,0,0,0:58,5 of 5,2 of 2,0 of 0,0 of 0,7 of 7,0 of 0,W,Jordan Wright,1,15 of 15,100%,21 of 21,0 of 0,---,0,0,0:13,10 of 10,5 of 5,0 of 0,1 of 1,12 of 12,2 of 2
230,KO/TKO,2,5:49,L,Ike Villanueva,0,16 of 54,29%,16 of 54,0 of 0,---,0,0,0:00,13 of 50,3 of 4,0 of 0,16 of 53,0 of 1,0 of 0,W,Chase Sherman,1,51 of 87,58%,51 of 87,0 of 0,---,0,0,0:00,27 of 57,13 of 15,11 of 15,46 of 80,4 of 6,1 of 1
231,KO/TKO,2,8:57,L,Ruben Villareal,0,57 of 86,66%,96 of 127,0 of 0,---,0,0,--,9 of 37,41 of 41,7 of 8,9 of 37,47 of 48,1 of 1,W,Paul Buentello,0,41 of 62,66%,52 of 74,0 of 0,---,0,0,--,23 of 42,10 of 11,8 of 9,26 of 44,15 of 18,0 of 0
232,Decision - Unanimous,3,15:00,L,Joey Villasenor,0,13 of 46,28%,32 of 65,0 of 0,---,0,0,0:21,8 of 38,1 of 3,4 of 5,12 of 43,1 of 3,0 of 0,W,Jacare Souza,0,45 of 86,52%,74 of 127,8 of 15,53%,1,0,9:50,35 of 75,8 of 9,2 of 2,14 of 35,11 of 15,20 of 36
