,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
91,KO/TKO,1,0:23,L,Jason Young,0,2 of 2,100%,2 of 2,0 of 0,---,0,0,0:00,1 of 1,0 of 0,1 of 1,2 of 2,0 of 0,0 of 0,W,Robert Peralta,1,7 of 17,41%,7 of 17,0 of 0,---,0,0,0:03,6 of 16,1 of 1,0 of 0,2 of 12,0 of 0,5 of 5
92,Decision - Unanimous,3,15:00,W,Jason Young,0,44 of 86,51%,133 of 179,4 of 6,66%,0,0,8:31,19 of 56,6 of 6,19 of 24,18 of 54,8 of 8,18 of 24,L,Eric Wisely,0,36 of 69,52%,118 of 157,0 of 1,0%,0,0,0:09,15 of 47,11 of 11,10 of 11,33 of 66,3 of 3,0 of 0
93,Decision - Unanimous,3,15:00,L,Jason Young,0,32 of 115,27%,40 of 123,2 of 3,66%,0,0,0:50,23 of 101,3 of 5,6 of 9,24 of 97,7 of 15,1 of 3,W,Michihiro Omigawa,0,25 of 59,42%,56 of 94,4 of 10,40%,3,1,8:08,20 of 53,2 of 3,3 of 3,8 of 34,5 of 7,12 of 18
94,Decision - Unanimous,3,15:00,L,Jason Young,0,57 of 161,35%,102 of 208,0 of 0,---,0,0,0:51,24 of 121,16 of 20,17 of 20,44 of 146,8 of 10,5 of 5,W,Dustin Poirier,0,77 of 146,52%,84 of 154,5 of 9,55%,0,0,4:40,56 of 123,6 of 6,15 of 17,70 of 135,7 of 11,0 of 0
95,KO/TKO,1,1:16,L,Shane Young,0,4 of 7,57%,4 of 7,0 of 0,---,0,0,0:00,0 of 0,1 of 3,3 of 4,4 of 7,0 of 0,0 of 0,W,Ludovit Klein,1,9 of 13,69%,9 of 13,0 of 0,---,0,0,0:03,6 of 10,3 of 3,0 of 0,8 of 12,0 of 0,1 of 1
96,Decision - Unanimous,3,15:00,W,Shane Young,1,120 of 308,38%,121 of 309,0 of 2,0%,0,0,0:16,69 of 237,32 of 46,19 of 25,119 of 307,1 of 1,0 of 0,L,Austin Arnett,0,77 of 209,36%,78 of 210,0 of 0,---,0,0,0:00,72 of 201,3 of 6,2 of 2,76 of 208,1 of 1,0 of 0
97,KO/TKO,2,9:40,W,Shane Young,0,104 of 215,48%,116 of 230,1 of 5,20%,0,0,1:44,74 of 183,20 of 22,10 of 10,89 of 191,15 of 24,0 of 0,L,Rolando Dy,0,57 of 152,37%,58 of 153,0 of 0,---,0,0,0:00,41 of 131,13 of 18,3 of 3,49 of 140,8 of 12,0 of 0
98,Decision - Unanimous,3,15:00,L,Shane Young,0,18 of 81,22%,20 of 83,1 of 1,100%,0,0,0:16,11 of 67,5 of 10,2 of 4,15 of 75,3 of 6,0 of 0,W,Alexander Volkanovski,0,68 of 114,59%,79 of 128,5 of 14,35%,0,0,8:22,36 of 78,11 of 13,21 of 23,40 of 71,14 of 25,14 of 18
99,Decision - Unanimous,3,15:00,L,Shanna Young,0,40 of 71,56%,50 of 83,0 of 1,0%,0,0,0:22,32 of 57,7 of 12,1 of 2,24 of 54,16 of 17,0 of 0,W,Macy Chiasson,0,86 of 166,51%,154 of 253,3 of 8,37%,0,0,8:33,48 of 120,38 of 46,0 of 0,16 of 49,45 of 61,25 of 56
100,Decision - Split,3,15:00,L,Besam Yousef,0,43 of 79,54%,142 of 185,2 of 3,66%,0,0,4:25,22 of 55,18 of 19,3 of 5,8 of 19,35 of 59,0 of 1,W,Papy Abedi,0,53 of 80,66%,69 of 97,4 of 6,66%,0,0,5:37,14 of 31,35 of 39,4 of 10,10 of 21,27 of 34,16 of 25
101,Submission,2,7:36,L,Besam Yousef,0,28 of 54,51%,98 of 137,0 of 0,---,0,0,0:09,22 of 46,5 of 7,1 of 1,16 of 39,10 of 12,2 of 3,W,Simeon Thoresen,0,37 of 67,55%,81 of 117,1 of 4,25%,3,1,3:28,19 of 49,18 of 18,0 of 0,12 of 39,18 of 18,7 of 10
102,Submission,1,3:58,L,Rob Yundt,0,5 of 6,83%,45 of 46,1 of 1,100%,0,0,2:12,0 of 1,5 of 5,0 of 0,1 of 1,0 of 0,4 of 5,W,Rob Kimmons,0,9 of 13,69%,25 of 29,1 of 1,100%,4,0,1:33,9 of 13,0 of 0,0 of 0,1 of 2,0 of 0,8 of 11
103,Submission,1,1:08,L,Rob Yundt,0,2 of 11,18%,10 of 19,0 of 0,---,0,0,0:05,2 of 11,0 of 0,0 of 0,1 of 10,0 of 0,1 of 1,W,Ricardo Almeida,0,4 of 6,66%,4 of 6,1 of 1,100%,1,0,0:19,2 of 4,2 of 2,0 of 0,3 of 5,0 of 0,1 of 1
104,Decision - Unanimous,3,15:00,W,Sodiq Yusuff,0,73 of 155,47%,90 of 177,0 of 0,---,1,1,4:15,54 of 131,10 of 15,9 of 9,50 of 120,3 of 5,20 of 30,L,Andre Fili,0,49 of 145,33%,56 of 152,3 of 7,42%,0,0,2:03,36 of 129,10 of 12,3 of 4,46 of 140,3 of 4,0 of 1
105,KO/TKO,1,4:14,W,Sodiq Yusuff,1,34 of 79,43%,34 of 79,0 of 0,---,0,0,0:04,25 of 70,4 of 4,5 of 5,30 of 71,0 of 1,4 of 7,L,Gabriel Benitez,0,24 of 72,33%,24 of 72,0 of 0,---,0,0,0:00,11 of 55,4 of 8,9 of 9,24 of 72,0 of 0,0 of 0
106,Decision - Unanimous,3,15:00,W,Sodiq Yusuff,1,73 of 148,49%,99 of 177,0 of 3,0%,0,0,2:39,32 of 88,25 of 35,16 of 25,49 of 115,15 of 21,9 of 12,L,Sheymon Moraes,0,54 of 118,45%,58 of 122,0 of 0,---,0,0,1:21,21 of 70,26 of 40,7 of 8,42 of 102,12 of 16,0 of 0
107,KO/TKO,1,2:14,W,Sodiq Yusuff,0,23 of 43,53%,44 of 66,0 of 0,---,0,0,0:57,18 of 38,4 of 4,1 of 1,19 of 36,4 of 7,0 of 0,L,Suman Mokhtarian,0,5 of 9,55%,6 of 10,0 of 0,---,0,0,0:34,1 of 5,3 of 3,1 of 1,3 of 7,2 of 2,0 of 0
108,KO/TKO,1,1:48,L,Gilbert Yvel,0,0 of 2,0%,0 of 2,0 of 0,---,0,0,0:00,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,W,Jon Madsen,0,18 of 31,58%,20 of 35,1 of 1,100%,0,0,0:42,18 of 31,0 of 0,0 of 0,0 of 2,0 of 0,18 of 29
109,Decision - Unanimous,3,15:00,L,Gilbert Yvel,0,33 of 61,54%,69 of 102,0 of 1,0%,2,3,1:36,30 of 56,2 of 4,1 of 1,5 of 10,5 of 15,23 of 36,W,Ben Rothwell,0,44 of 72,61%,120 of 167,5 of 7,71%,2,0,12:16,32 of 58,12 of 14,0 of 0,3 of 8,6 of 10,35 of 54
110,KO/TKO,1,2:07,L,Gilbert Yvel,0,3 of 18,16%,3 of 18,0 of 0,---,0,0,0:00,3 of 15,0 of 2,0 of 1,3 of 17,0 of 1,0 of 0,W,Junior Dos Santos,1,14 of 33,42%,17 of 37,0 of 0,---,0,0,0:07,9 of 24,4 of 7,1 of 2,10 of 25,0 of 1,4 of 7
