,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
160,KO/TKO,1,0:43,L,Philip De Fries,0,7 of 18,38%,7 of 18,0 of 0,---,0,0,0:00,7 of 18,0 of 0,0 of 0,6 of 17,1 of 1,0 of 0,W,Stipe Miocic,1,8 of 17,47%,10 of 19,0 of 0,---,0,0,0:04,8 of 17,0 of 0,0 of 0,5 of 14,0 of 0,3 of 3
161,Decision - Unanimous,3,15:00,W,Philip De Fries,0,14 of 23,60%,41 of 52,3 of 5,60%,0,0,10:59,13 of 22,1 of 1,0 of 0,6 of 10,0 of 0,8 of 13,L,Rob Broughton,0,29 of 40,72%,102 of 120,0 of 0,---,2,1,2:41,15 of 26,11 of 11,3 of 3,4 of 14,4 of 4,21 of 22
162,KO/TKO,3,10:58,L,Chris de la Rocha,0,41 of 76,53%,46 of 81,1 of 2,50%,0,0,0:59,30 of 64,10 of 11,1 of 1,36 of 67,3 of 7,2 of 2,W,Juan Adams,0,86 of 144,59%,121 of 180,2 of 2,100%,0,0,4:36,74 of 131,8 of 8,4 of 5,38 of 85,13 of 15,35 of 44
163,KO/TKO,2,8:53,W,Chris de la Rocha,0,40 of 79,50%,79 of 129,3 of 4,75%,2,0,5:20,36 of 75,3 of 3,1 of 1,14 of 46,8 of 11,18 of 22,L,Rashad Coulter,0,30 of 57,52%,30 of 58,0 of 1,0%,0,0,0:01,26 of 52,4 of 5,0 of 0,19 of 41,11 of 16,0 of 0
164,KO/TKO,2,9:01,L,Chris de la Rocha,0,39 of 98,39%,43 of 102,0 of 7,0%,0,0,2:58,25 of 82,9 of 11,5 of 5,33 of 91,6 of 7,0 of 0,W,Adam Milstead,0,58 of 116,50%,61 of 119,0 of 0,---,0,0,0:20,52 of 107,5 of 8,1 of 1,47 of 100,9 of 14,2 of 2
165,KO/TKO,1,0:48,L,Chris de la Rocha,0,1 of 12,8%,1 of 12,0 of 0,---,0,0,0:02,1 of 11,0 of 0,0 of 1,1 of 12,0 of 0,0 of 0,W,Daniel Omielanczuk,1,15 of 20,75%,15 of 20,0 of 0,---,0,0,0:00,14 of 19,0 of 0,1 of 1,14 of 18,0 of 0,1 of 2
166,Decision - Unanimous,3,15:00,L,Montana De La Rosa,0,85 of 215,39%,88 of 220,1 of 6,16%,0,0,0:36,57 of 177,12 of 21,16 of 17,76 of 202,9 of 13,0 of 0,W,Viviane Araujo,0,82 of 140,58%,91 of 150,0 of 1,0%,0,0,0:12,57 of 113,12 of 13,13 of 14,80 of 137,2 of 3,0 of 0
167,Decision - Unanimous,3,15:00,W,Montana De La Rosa,1,27 of 67,40%,74 of 128,1 of 3,33%,1,0,8:30,15 of 51,8 of 10,4 of 6,14 of 51,4 of 6,9 of 10,L,Mara Romero Borella,0,23 of 53,43%,64 of 99,1 of 2,50%,0,0,1:48,15 of 44,3 of 4,5 of 5,15 of 44,5 of 6,3 of 3
168,Decision - Unanimous,3,15:00,L,Montana De La Rosa,0,14 of 107,13%,40 of 136,5 of 12,41%,1,0,3:57,9 of 96,4 of 9,1 of 2,11 of 100,3 of 6,0 of 1,W,Andrea Lee,0,73 of 126,57%,82 of 135,1 of 3,33%,0,0,2:29,38 of 84,25 of 32,10 of 10,43 of 88,17 of 20,13 of 18
169,Submission,2,7:37,W,Montana De La Rosa,0,21 of 35,60%,79 of 101,2 of 3,66%,3,0,6:22,20 of 34,1 of 1,0 of 0,7 of 19,0 of 0,14 of 16,L,Nadia Kassem,0,5 of 7,71%,15 of 20,0 of 0,---,0,0,0:50,1 of 3,1 of 1,3 of 3,3 of 4,1 of 1,1 of 2
