,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
163,Submission,1,2:18,L,Bill Mahood,0,1 of 1,100%,2 of 2,0 of 0,---,0,0,0:00,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,W,Forrest Griffin,0,3 of 4,75%,32 of 33,1 of 1,100%,1,0,2:04,3 of 4,0 of 0,0 of 0,1 of 2,0 of 0,2 of 2
164,KO/TKO,1,2:34,L,Demian Maia,0,4 of 7,57%,4 of 7,2 of 2,100%,0,0,1:23,4 of 7,0 of 0,0 of 0,4 of 7,0 of 0,0 of 0,W,Gilbert Burns,1,13 of 16,81%,14 of 17,0 of 0,---,0,0,0:04,10 of 13,1 of 1,2 of 2,5 of 7,0 of 0,8 of 9
165,Submission,3,13:54,W,Demian Maia,0,69 of 122,56%,84 of 137,0 of 0,---,1,2,1:30,44 of 88,25 of 34,0 of 0,49 of 99,17 of 20,3 of 3,L,Ben Askren,0,63 of 127,49%,102 of 168,4 of 7,57%,0,1,1:54,54 of 116,4 of 6,5 of 5,46 of 108,11 of 13,6 of 6
166,Decision - Majority,3,15:00,W,Demian Maia,0,3 of 12,25%,74 of 86,3 of 9,33%,0,1,6:03,3 of 12,0 of 0,0 of 0,2 of 11,0 of 0,1 of 1,L,Anthony Rocco Martin,0,22 of 95,23%,36 of 109,0 of 0,---,0,0,1:11,13 of 81,7 of 12,2 of 2,16 of 86,1 of 1,5 of 8
167,Submission,1,2:38,W,Demian Maia,0,0 of 1,0%,8 of 9,2 of 4,50%,2,0,2:11,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,L,Lyman Good,0,0 of 2,0%,0 of 2,0 of 0,---,0,0,0:00,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
168,Decision - Unanimous,5,25:00,L,Demian Maia,0,27 of 87,31%,33 of 94,0 of 15,0%,0,0,2:01,26 of 85,1 of 2,0 of 0,25 of 85,1 of 1,1 of 1,W,Kamaru Usman,1,66 of 209,31%,97 of 244,0 of 0,---,0,0,4:19,49 of 181,4 of 12,13 of 16,55 of 187,1 of 5,10 of 17
169,Decision - Unanimous,3,15:00,L,Demian Maia,0,53 of 151,35%,59 of 157,0 of 13,0%,0,0,0:02,53 of 149,0 of 1,0 of 1,51 of 148,2 of 3,0 of 0,W,Colby Covington,0,88 of 317,27%,121 of 351,0 of 0,---,0,0,1:44,65 of 286,1 of 4,22 of 27,81 of 304,4 of 8,3 of 5
170,Decision - Unanimous,5,25:00,L,Demian Maia,0,28 of 89,31%,29 of 90,0 of 21,0%,0,0,0:52,23 of 83,2 of 3,3 of 3,26 of 87,2 of 2,0 of 0,W,Tyron Woodley,1,57 of 153,37%,57 of 153,0 of 0,---,0,0,0:06,40 of 131,13 of 18,4 of 4,56 of 152,1 of 1,0 of 0
171,Decision - Split,3,15:00,W,Demian Maia,0,23 of 38,60%,67 of 93,4 of 12,33%,0,1,8:53,22 of 37,0 of 0,1 of 1,2 of 11,6 of 8,15 of 19,L,Jorge Masvidal,0,39 of 63,61%,55 of 80,0 of 0,---,0,0,0:53,27 of 48,7 of 9,5 of 6,15 of 29,6 of 6,18 of 28
172,Submission,1,1:52,W,Demian Maia,0,1 of 1,100%,5 of 5,1 of 1,100%,1,0,1:19,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,L,Carlos Condit,0,1 of 6,16%,1 of 6,0 of 0,---,0,0,0:00,1 of 5,0 of 1,0 of 0,1 of 5,0 of 0,0 of 1
173,Submission,3,14:31,W,Demian Maia,0,17 of 20,85%,91 of 110,3 of 10,30%,2,0,12:03,17 of 20,0 of 0,0 of 0,2 of 3,0 of 0,15 of 17,L,Matt Brown,0,10 of 23,43%,29 of 46,0 of 0,---,0,1,0:59,9 of 20,0 of 1,1 of 2,2 of 12,0 of 1,8 of 10
174,Decision - Unanimous,3,15:00,W,Demian Maia,0,47 of 58,81%,193 of 229,2 of 8,25%,1,1,10:58,45 of 56,2 of 2,0 of 0,3 of 4,4 of 4,40 of 50,L,Gunnar Nelson,0,2 of 4,50%,7 of 10,1 of 1,100%,0,2,2:14,2 of 4,0 of 0,0 of 0,1 of 2,0 of 0,1 of 2
175,Submission,2,7:52,W,Demian Maia,0,13 of 17,76%,56 of 68,2 of 2,100%,1,0,7:27,13 of 17,0 of 0,0 of 0,0 of 0,0 of 0,13 of 17,L,Neil Magny,0,0 of 4,0%,11 of 16,0 of 0,---,0,0,0:02,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
176,Decision - Unanimous,5,25:00,W,Demian Maia,0,36 of 69,52%,76 of 121,5 of 14,35%,2,0,13:48,32 of 65,3 of 3,1 of 1,12 of 39,0 of 0,24 of 30,L,Ryan LaFlare,0,25 of 91,27%,54 of 121,0 of 0,---,0,0,1:36,8 of 60,5 of 15,12 of 16,24 of 88,0 of 0,1 of 3
