,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
427,Decision - Split,3,15:00,L,Mackens Semerzier,0,65 of 183,35%,114 of 241,3 of 4,75%,1,0,4:16,35 of 144,19 of 22,11 of 17,47 of 153,10 of 18,8 of 12,W,Cub Swanson,0,83 of 152,54%,91 of 161,4 of 10,40%,0,0,1:58,51 of 113,13 of 19,19 of 20,75 of 132,7 of 18,1 of 2
428,Submission,2,6:35,L,Mackens Semerzier,0,2 of 13,15%,4 of 15,0 of 0,---,0,0,0:26,1 of 11,1 of 1,0 of 1,2 of 11,0 of 0,0 of 2,W,Javier Vazquez,0,23 of 30,76%,67 of 80,2 of 3,66%,2,0,4:44,22 of 29,0 of 0,1 of 1,3 of 5,0 of 0,20 of 25
429,Decision - Unanimous,3,15:00,L,Mackens Semerzier,0,27 of 51,52%,46 of 76,1 of 2,50%,5,0,2:35,12 of 30,13 of 16,2 of 5,10 of 25,7 of 8,10 of 18,W,Deividas Taurosevicius,0,33 of 57,57%,72 of 100,5 of 10,50%,1,0,8:20,15 of 38,4 of 5,14 of 14,9 of 18,5 of 5,19 of 34
430,Submission,1,2:14,W,Mackens Semerzier,0,1 of 1,100%,3 of 3,0 of 0,---,1,0,0:00,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,L,Wagnney Fabiano,0,1 of 1,100%,3 of 4,1 of 1,100%,0,0,1:21,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0
431,KO/TKO,1,0:34,L,Ray Seraille,0,3 of 11,27%,7 of 15,0 of 0,---,0,0,--,3 of 11,0 of 0,0 of 0,3 of 11,0 of 0,0 of 0,W,Rex Richards,0,10 of 17,58%,15 of 22,0 of 0,---,0,0,--,7 of 13,1 of 2,2 of 2,8 of 14,1 of 1,1 of 2
432,KO/TKO,1,2:02,L,Ivan Serati,0,3 of 11,27%,4 of 13,0 of 2,0%,0,0,0:00,2 of 10,0 of 0,1 of 1,1 of 4,2 of 7,0 of 0,W,Tomasz Drwal,0,14 of 22,63%,16 of 24,1 of 1,100%,0,0,0:38,11 of 19,1 of 1,2 of 2,5 of 8,2 of 5,7 of 9
433,Decision - Unanimous,3,15:00,L,Alex Serdyukov,0,86 of 175,49%,119 of 209,2 of 4,50%,0,0,--,32 of 119,46 of 47,8 of 9,38 of 109,15 of 33,33 of 33,W,Johny Hendricks,1,38 of 86,44%,55 of 105,6 of 20,30%,0,0,--,33 of 78,4 of 7,1 of 1,9 of 35,22 of 43,7 of 8
434,KO/TKO,1,5:00,W,Alex Serdyukov,0,20 of 57,35%,24 of 61,0 of 0,---,0,0,0:55,12 of 45,2 of 2,6 of 10,12 of 46,0 of 0,8 of 11,L,Luis Santos,0,22 of 38,57%,22 of 38,0 of 0,---,0,0,0:07,16 of 32,1 of 1,5 of 5,21 of 37,1 of 1,0 of 0
435,Submission,1,1:35,W,Alex Serdyukov,0,4 of 14,28%,7 of 17,0 of 0,---,1,0,1:00,3 of 13,0 of 0,1 of 1,0 of 3,0 of 2,4 of 9,L,Ryan Stonitsch,0,4 of 11,36%,8 of 15,0 of 0,---,0,1,0:18,1 of 8,3 of 3,0 of 0,1 of 4,3 of 7,0 of 0
436,Submission,1,1:17,L,Alex Serdyukov,0,1 of 12,8%,1 of 12,1 of 1,100%,0,0,0:09,1 of 12,0 of 0,0 of 0,1 of 12,0 of 0,0 of 0,W,John Alessio,0,5 of 14,35%,5 of 14,0 of 0,---,1,0,0:00,5 of 14,0 of 0,0 of 0,5 of 14,0 of 0,0 of 0
437,Submission,2,5:57,W,Alex Serdyukov,0,2 of 5,40%,8 of 12,0 of 0,---,4,1,0:53,2 of 5,0 of 0,0 of 0,0 of 1,0 of 1,2 of 3,L,Scott Norton,0,4 of 13,30%,31 of 52,1 of 4,25%,0,0,4:29,4 of 13,0 of 0,0 of 0,0 of 1,0 of 0,4 of 12
438,Submission,3,11:52,L,Alex Serdyukov,0,88 of 153,57%,96 of 168,2 of 4,50%,0,1,--,65 of 124,19 of 22,4 of 7,11 of 40,26 of 47,51 of 66,W,John Alessio,1,53 of 72,73%,68 of 89,2 of 4,50%,2,2,--,46 of 64,6 of 7,1 of 1,11 of 17,19 of 24,23 of 31
439,Decision - Unanimous,3,15:00,L,Matt Serra,0,124 of 298,41%,133 of 311,0 of 1,0%,0,0,0:00,64 of 226,48 of 59,12 of 13,123 of 295,1 of 3,0 of 0,W,Chris Lytle,0,153 of 297,51%,172 of 317,0 of 0,---,0,0,0:00,133 of 276,20 of 21,0 of 0,150 of 293,3 of 4,0 of 0
440,KO/TKO,1,2:23,W,Matt Serra,1,12 of 36,33%,12 of 36,0 of 0,---,0,0,0:03,7 of 25,3 of 9,2 of 2,8 of 32,0 of 0,4 of 4,L,Frank Trigg,0,6 of 21,28%,6 of 21,0 of 0,---,0,0,0:00,6 of 21,0 of 0,0 of 0,6 of 21,0 of 0,0 of 0
441,Decision - Unanimous,3,15:00,L,Matt Serra,1,14 of 41,34%,36 of 63,1 of 1,100%,0,0,0:53,9 of 28,3 of 11,2 of 2,10 of 34,1 of 1,3 of 6,W,Matt Hughes,0,34 of 58,58%,79 of 106,3 of 5,60%,0,0,8:15,14 of 37,18 of 18,2 of 3,11 of 28,5 of 6,18 of 24
442,KO/TKO,2,9:45,L,Matt Serra,0,3 of 18,16%,10 of 25,0 of 0,---,0,0,0:00,1 of 16,1 of 1,1 of 1,2 of 15,1 of 3,0 of 0,W,Georges St-Pierre,0,42 of 54,77%,129 of 143,4 of 5,80%,0,0,8:12,23 of 35,19 of 19,0 of 0,10 of 12,2 of 2,30 of 40
443,KO/TKO,1,3:25,W,Matt Serra,2,20 of 40,50%,20 of 40,0 of 0,---,0,0,0:00,13 of 31,3 of 5,4 of 4,13 of 29,0 of 0,7 of 11,L,Georges St-Pierre,0,6 of 23,26%,6 of 23,0 of 1,0%,0,0,0:05,4 of 20,0 of 0,2 of 3,6 of 23,0 of 0,0 of 0
444,Decision - Split,3,15:00,W,Matt Serra,0,20 of 39,51%,91 of 114,1 of 16,6%,0,0,8:13,7 of 21,7 of 11,6 of 7,3 of 15,15 of 21,2 of 3,L,Chris Lytle,0,42 of 58,72%,195 of 214,1 of 2,50%,0,0,1:24,7 of 22,30 of 31,5 of 5,3 of 12,34 of 38,5 of 8
