,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
291,Decision - Unanimous,3,15:00,L,Thiago Alves,0,36 of 112,32%,50 of 127,0 of 0,---,0,0,0:33,19 of 90,11 of 15,6 of 7,30 of 100,3 of 4,3 of 8,W,Jim Miller,0,28 of 85,32%,45 of 105,4 of 5,80%,1,0,6:24,19 of 72,5 of 7,4 of 6,22 of 76,1 of 2,5 of 7
292,TKO - Doctor's Stoppage,2,10:00,L,Thiago Alves,0,34 of 69,49%,35 of 70,0 of 0,---,1,0,0:05,11 of 43,6 of 6,17 of 20,33 of 66,1 of 3,0 of 0,W,Carlos Condit,1,75 of 162,46%,107 of 200,2 of 3,66%,0,0,2:33,50 of 128,14 of 18,11 of 16,49 of 128,4 of 8,22 of 26
293,KO/TKO,2,5:39,W,Thiago Alves,1,23 of 68,33%,24 of 69,0 of 0,---,0,0,0:05,13 of 51,3 of 5,7 of 12,16 of 55,1 of 5,6 of 8,L,Jordan Mein,0,37 of 96,38%,37 of 96,0 of 0,---,0,0,0:00,30 of 88,4 of 5,3 of 3,34 of 91,3 of 5,0 of 0
294,Decision - Unanimous,3,15:00,W,Thiago Alves,0,116 of 236,49%,120 of 240,0 of 1,0%,0,0,0:04,45 of 156,19 of 22,52 of 58,106 of 220,10 of 16,0 of 0,L,Seth Baczynski,0,90 of 335,26%,91 of 336,0 of 8,0%,0,0,0:47,55 of 283,21 of 36,14 of 16,87 of 328,3 of 7,0 of 0
295,Submission,3,14:12,L,Thiago Alves,0,62 of 118,52%,90 of 151,2 of 3,66%,0,0,2:31,42 of 91,11 of 12,9 of 15,60 of 113,1 of 1,1 of 4,W,Martin Kampmann,0,47 of 118,39%,57 of 133,1 of 7,14%,1,1,2:29,34 of 104,13 of 14,0 of 0,39 of 107,8 of 11,0 of 0
296,Submission,1,3:32,W,Thiago Alves,1,25 of 45,55%,30 of 51,0 of 0,---,1,0,0:31,17 of 35,3 of 3,5 of 7,12 of 30,1 of 1,12 of 14,L,Papy Abedi,0,14 of 38,36%,15 of 39,0 of 0,---,0,0,0:40,9 of 32,4 of 5,1 of 1,9 of 32,5 of 6,0 of 0
297,Decision - Unanimous,3,15:00,L,Thiago Alves,0,41 of 111,36%,54 of 125,1 of 3,33%,0,0,1:00,34 of 102,3 of 3,4 of 6,35 of 97,6 of 14,0 of 0,W,Rick Story,0,62 of 169,36%,79 of 187,4 of 14,28%,0,0,7:39,30 of 129,13 of 19,19 of 21,34 of 130,27 of 38,1 of 1
298,Decision - Unanimous,3,15:00,W,Thiago Alves,1,73 of 185,39%,105 of 227,2 of 2,100%,0,0,2:57,36 of 139,5 of 7,32 of 39,66 of 166,4 of 11,3 of 8,L,John Howard,0,37 of 124,29%,54 of 141,0 of 2,0%,0,0,0:53,15 of 89,6 of 12,16 of 23,30 of 110,7 of 14,0 of 0
299,Decision - Unanimous,3,15:00,L,Thiago Alves,0,22 of 81,27%,39 of 103,0 of 0,---,0,2,2:01,13 of 68,2 of 4,7 of 9,18 of 66,2 of 7,2 of 8,W,Jon Fitch,0,29 of 66,43%,70 of 114,9 of 11,81%,0,0,8:07,15 of 48,8 of 12,6 of 6,13 of 41,5 of 9,11 of 16
300,Decision - Unanimous,5,25:00,L,Thiago Alves,0,30 of 162,18%,72 of 206,0 of 0,---,0,0,1:20,14 of 133,4 of 8,12 of 21,19 of 132,4 of 10,7 of 20,W,Georges St-Pierre,1,59 of 128,46%,148 of 225,10 of 12,83%,1,0,13:14,35 of 96,9 of 12,15 of 20,44 of 105,1 of 1,14 of 22
301,Decision - Unanimous,3,15:00,W,Thiago Alves,2,80 of 181,44%,87 of 188,0 of 2,0%,0,0,0:17,43 of 134,2 of 4,35 of 43,68 of 162,10 of 17,2 of 2,L,Josh Koscheck,0,39 of 128,30%,46 of 135,0 of 5,0%,0,0,2:38,25 of 106,9 of 17,5 of 5,34 of 121,5 of 7,0 of 0
302,KO/TKO,2,6:02,W,Thiago Alves,1,10 of 16,62%,24 of 31,1 of 1,100%,0,0,1:27,8 of 14,2 of 2,0 of 0,3 of 6,2 of 2,5 of 8,L,Matt Hughes,0,9 of 13,69%,18 of 22,1 of 7,14%,0,0,3:03,2 of 6,0 of 0,7 of 7,0 of 3,0 of 0,9 of 10
303,KO/TKO,2,5:24,W,Thiago Alves,1,17 of 48,35%,17 of 48,0 of 0,---,0,0,0:02,12 of 43,2 of 2,3 of 3,12 of 43,2 of 2,3 of 3,L,Karo Parisyan,0,10 of 45,22%,21 of 56,1 of 4,25%,0,0,1:55,7 of 42,2 of 2,1 of 1,7 of 37,1 of 4,2 of 4
304,TKO - Doctor's Stoppage,2,10:00,W,Thiago Alves,1,39 of 90,43%,48 of 99,0 of 0,---,0,0,0:32,14 of 59,7 of 9,18 of 22,28 of 69,9 of 18,2 of 3,L,Chris Lytle,0,42 of 128,32%,88 of 176,1 of 1,100%,0,0,2:29,23 of 102,14 of 19,5 of 7,29 of 109,12 of 18,1 of 1
305,KO/TKO,2,9:04,W,Thiago Alves,0,48 of 97,49%,50 of 101,0 of 0,---,0,0,0:54,28 of 72,2 of 3,18 of 22,28 of 68,14 of 17,6 of 12,L,Kuniyoshi Hironaka,0,15 of 39,38%,20 of 44,2 of 6,33%,0,0,1:35,7 of 30,3 of 3,5 of 6,10 of 32,3 of 5,2 of 2
306,KO/TKO,2,6:10,W,Thiago Alves,2,26 of 49,53%,41 of 65,0 of 0,---,1,0,1:44,26 of 48,0 of 0,0 of 1,3 of 8,0 of 0,23 of 41,L,Tony DeSouza,0,1 of 10,10%,2 of 11,0 of 8,0%,0,0,0:26,0 of 9,1 of 1,0 of 0,0 of 9,1 of 1,0 of 0
307,KO/TKO,2,9:37,L,Thiago Alves,0,1 of 1,100%,2 of 2,1 of 1,100%,3,0,0:27,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,W,Jon Fitch,1,51 of 72,70%,104 of 129,3 of 4,75%,2,0,8:46,43 of 63,6 of 6,2 of 3,1 of 3,7 of 7,43 of 62
308,KO/TKO,1,2:54,W,Thiago Alves,1,11 of 27,40%,19 of 36,0 of 0,---,0,0,0:12,5 of 17,4 of 5,2 of 5,5 of 19,4 of 6,2 of 2,L,Derrick Noble,0,18 of 45,40%,26 of 53,0 of 0,---,0,0,0:39,10 of 34,4 of 6,4 of 5,7 of 27,11 of 18,0 of 0
309,KO/TKO,1,2:25,W,Thiago Alves,0,8 of 11,72%,9 of 12,1 of 1,100%,0,0,1:01,5 of 8,2 of 2,1 of 1,2 of 2,2 of 2,4 of 7,L,Ansar Chalangov,0,2 of 2,100%,2 of 2,0 of 2,0%,2,1,0:44,1 of 1,0 of 0,1 of 1,0 of 0,1 of 1,1 of 1
