,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
85,KO/TKO,1,3:12,L,Antonio Banuelos,1,4 of 22,18%,7 of 25,1 of 1,100%,1,0,0:44,3 of 19,0 of 1,1 of 2,2 of 8,2 of 14,0 of 0,W,Charlie Valencia,1,11 of 24,45%,13 of 26,0 of 0,---,0,0,0:32,7 of 20,4 of 4,0 of 0,6 of 14,4 of 9,1 of 1
86,Decision - Unanimous,3,15:00,W,Antonio Banuelos,1,54 of 92,58%,91 of 134,3 of 3,100%,2,0,10:11,27 of 64,25 of 26,2 of 2,5 of 18,2 of 3,47 of 71,L,Mike French,0,7 of 21,33%,8 of 22,0 of 0,---,1,0,0:00,2 of 14,3 of 5,2 of 2,4 of 16,3 of 5,0 of 0
87,Decision - Unanimous,3,15:00,W,Antonio Banuelos,1,36 of 104,34%,63 of 142,4 of 5,80%,0,0,--,31 of 98,2 of 2,3 of 4,17 of 63,0 of 0,19 of 41,L,Cole Escovedo,0,24 of 66,36%,28 of 71,0 of 1,0%,0,0,--,5 of 44,2 of 3,17 of 19,22 of 60,2 of 6,0 of 0
88,KO/TKO,1,2:36,L,Antonio Banuelos,0,12 of 33,36%,12 of 33,0 of 0,---,0,0,--,6 of 24,1 of 3,5 of 6,12 of 33,0 of 0,0 of 0,W,Eddie Wineland,1,15 of 47,31%,15 of 47,0 of 0,---,0,0,--,11 of 41,3 of 5,1 of 1,13 of 43,1 of 2,1 of 2
89,Decision - Unanimous,3,15:00,L,Renan Barao,0,58 of 158,36%,140 of 241,2 of 9,22%,0,0,3:20,31 of 115,14 of 25,13 of 18,49 of 147,7 of 8,2 of 3,W,Douglas Silva de Andrade,0,74 of 163,45%,100 of 190,0 of 0,---,0,0,0:28,51 of 127,15 of 27,8 of 9,68 of 156,4 of 4,2 of 3
90,KO/TKO,2,6:01,L,Renan Barao,0,40 of 78,51%,41 of 79,0 of 0,---,0,0,0:00,10 of 33,27 of 41,3 of 4,34 of 72,6 of 6,0 of 0,W,Luke Sanders,1,39 of 75,52%,41 of 78,0 of 1,0%,0,0,0:17,26 of 58,6 of 8,7 of 9,34 of 70,2 of 2,3 of 3
91,Decision - Split,3,15:00,L,Renan Barao,0,44 of 101,43%,67 of 124,3 of 5,60%,2,0,4:54,23 of 61,12 of 25,9 of 15,26 of 82,2 of 2,16 of 17,W,Andre Ewell,1,53 of 123,43%,57 of 128,1 of 1,100%,0,0,0:28,41 of 104,11 of 16,1 of 3,52 of 120,0 of 1,1 of 2
92,Decision - Unanimous,3,15:00,L,Renan Barao,0,116 of 228,50%,134 of 247,0 of 2,0%,0,0,2:13,78 of 167,27 of 43,11 of 18,95 of 204,21 of 24,0 of 0,W,Brian Kelleher,0,94 of 203,46%,145 of 256,1 of 4,25%,0,0,4:26,74 of 175,13 of 21,7 of 7,86 of 195,8 of 8,0 of 0
93,Decision - Unanimous,3,15:00,L,Renan Barao,0,19 of 85,22%,65 of 138,2 of 3,66%,0,0,4:34,10 of 65,6 of 13,3 of 7,9 of 70,2 of 2,8 of 13,W,Aljamain Sterling,0,71 of 121,58%,112 of 166,1 of 1,100%,0,0,5:39,41 of 81,15 of 23,15 of 17,36 of 82,7 of 8,28 of 31
94,Decision - Unanimous,3,15:00,W,Renan Barao,0,64 of 151,42%,64 of 152,3 of 3,100%,0,0,1:31,27 of 98,14 of 22,23 of 31,58 of 142,6 of 9,0 of 0,L,Phillipe Nover,0,39 of 141,27%,54 of 157,0 of 0,---,0,0,0:00,25 of 119,10 of 17,4 of 5,32 of 133,6 of 7,1 of 1
