,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
272,KO/TKO,1,4:15,L,Jesse Forbes,0,9 of 27,33%,12 of 33,2 of 2,100%,1,0,1:10,6 of 24,1 of 1,2 of 2,3 of 12,5 of 14,1 of 1,W,Bryan Baker,0,34 of 63,53%,55 of 88,1 of 2,50%,0,1,2:21,34 of 63,0 of 0,0 of 0,2 of 5,3 of 6,29 of 52
273,KO/TKO,1,4:47,L,Jesse Forbes,0,9 of 21,42%,16 of 28,0 of 0,---,0,0,0:00,4 of 15,3 of 4,2 of 2,8 of 19,1 of 2,0 of 0,W,Matt Hamill,0,33 of 48,68%,93 of 117,1 of 1,100%,0,0,2:55,30 of 45,1 of 1,2 of 2,9 of 18,16 of 19,8 of 11
274,KO/TKO,1,4:06,L,Jussier Formiga,0,18 of 41,43%,18 of 41,0 of 0,---,0,0,0:00,17 of 38,0 of 2,1 of 1,17 of 40,1 of 1,0 of 0,W,Alex Perez,2,29 of 61,47%,29 of 61,0 of 0,---,0,0,0:04,12 of 39,2 of 4,15 of 18,24 of 55,5 of 6,0 of 0
275,Decision - Unanimous,3,15:00,L,Jussier Formiga,0,15 of 32,46%,61 of 81,1 of 9,11%,1,1,4:13,9 of 24,4 of 5,2 of 3,12 of 28,0 of 1,3 of 3,W,Brandon Moreno,0,33 of 82,40%,94 of 147,0 of 2,0%,0,1,3:45,29 of 76,4 of 6,0 of 0,20 of 61,4 of 9,9 of 12
276,KO/TKO,2,9:47,L,Jussier Formiga,0,15 of 48,31%,15 of 48,1 of 3,33%,0,0,0:26,15 of 47,0 of 1,0 of 0,15 of 48,0 of 0,0 of 0,W,Joseph Benavidez,1,50 of 115,43%,72 of 138,0 of 0,---,0,0,2:03,27 of 77,14 of 23,9 of 15,44 of 107,3 of 4,3 of 4
277,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,26 of 51,50%,51 of 78,3 of 5,60%,0,0,6:41,19 of 43,5 of 6,2 of 2,15 of 35,2 of 2,9 of 14,L,Deiveson Figueiredo,0,14 of 50,28%,41 of 80,0 of 2,0%,0,0,0:11,6 of 36,7 of 11,1 of 3,9 of 45,3 of 3,2 of 2
278,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,18 of 37,48%,90 of 123,2 of 5,40%,0,0,7:26,17 of 36,0 of 0,1 of 1,16 of 34,0 of 1,2 of 2,L,Sergio Pettis,0,30 of 97,30%,91 of 161,0 of 0,---,0,0,0:00,23 of 86,3 of 5,4 of 6,30 of 93,0 of 0,0 of 4
279,Submission,3,11:43,W,Jussier Formiga,1,27 of 49,55%,50 of 72,2 of 4,50%,1,0,4:03,24 of 44,2 of 4,1 of 1,12 of 29,1 of 5,14 of 15,L,Ben Nguyen,0,21 of 65,32%,37 of 82,0 of 0,---,0,0,0:55,8 of 46,10 of 15,3 of 4,7 of 49,13 of 15,1 of 1
280,Submission,1,4:30,W,Jussier Formiga,0,9 of 22,40%,12 of 27,1 of 1,100%,2,0,1:33,6 of 18,1 of 1,2 of 3,9 of 22,0 of 0,0 of 0,L,Yuta Sasaki,0,16 of 32,50%,36 of 54,0 of 0,---,0,0,0:00,6 of 16,9 of 13,1 of 3,14 of 30,2 of 2,0 of 0
281,Decision - Unanimous,3,15:00,L,Jussier Formiga,0,30 of 62,48%,44 of 77,0 of 3,0%,0,0,3:25,14 of 44,8 of 9,8 of 9,23 of 53,7 of 8,0 of 1,W,Ray Borg,0,36 of 88,40%,53 of 105,0 of 6,0%,0,1,4:22,22 of 68,12 of 17,2 of 3,7 of 50,14 of 21,15 of 17
282,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,8 of 34,23%,55 of 90,1 of 3,33%,2,0,9:09,2 of 27,2 of 3,4 of 4,6 of 32,1 of 1,1 of 1,L,Dustin Ortiz,0,13 of 65,20%,119 of 188,0 of 2,0%,0,2,2:57,7 of 53,4 of 8,2 of 4,8 of 51,3 of 7,2 of 7
283,Decision - Split,3,15:00,L,Jussier Formiga,0,25 of 87,28%,39 of 102,0 of 3,0%,0,0,0:00,12 of 66,11 of 17,2 of 4,13 of 71,12 of 16,0 of 0,W,Henry Cejudo,0,43 of 110,39%,71 of 140,2 of 3,66%,0,0,1:16,11 of 63,30 of 39,2 of 8,14 of 69,29 of 41,0 of 0
284,Decision - Unanimous,3,15:00,W,Jussier Formiga,1,21 of 54,38%,36 of 71,4 of 5,80%,0,0,1:31,19 of 52,1 of 1,1 of 1,16 of 46,1 of 3,4 of 5,L,Wilson Reis,0,28 of 66,42%,45 of 87,0 of 9,0%,0,1,4:53,12 of 47,7 of 10,9 of 9,14 of 44,12 of 16,2 of 6
285,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,11 of 28,39%,51 of 78,2 of 4,50%,0,0,4:42,10 of 26,1 of 2,0 of 0,5 of 18,2 of 2,4 of 8,L,Zach Makovsky,0,25 of 69,36%,59 of 107,1 of 4,25%,0,1,4:07,23 of 64,0 of 3,2 of 2,11 of 45,0 of 0,14 of 24
286,Submission,1,3:07,W,Jussier Formiga,0,9 of 23,39%,13 of 27,1 of 4,25%,1,0,0:45,7 of 20,2 of 3,0 of 0,6 of 19,2 of 2,1 of 2,L,Scott Jorgensen,0,6 of 24,25%,9 of 27,0 of 0,---,0,0,0:00,5 of 23,0 of 0,1 of 1,6 of 23,0 of 1,0 of 0
287,KO/TKO,1,3:07,L,Jussier Formiga,0,6 of 18,33%,6 of 18,0 of 0,---,0,0,0:00,5 of 15,1 of 3,0 of 0,5 of 17,1 of 1,0 of 0,W,Joseph Benavidez,1,20 of 52,38%,20 of 52,0 of 0,---,0,0,0:05,13 of 40,4 of 7,3 of 5,16 of 46,0 of 2,4 of 4
288,Decision - Unanimous,3,15:00,W,Jussier Formiga,0,10 of 26,38%,33 of 50,4 of 8,50%,0,0,8:50,5 of 20,1 of 2,4 of 4,5 of 20,0 of 0,5 of 6,L,Chris Cariaso,0,26 of 90,28%,64 of 129,1 of 1,100%,1,0,1:21,15 of 69,11 of 20,0 of 1,6 of 58,11 of 13,9 of 19
289,KO/TKO,2,9:35,L,Jussier Formiga,0,9 of 37,24%,9 of 37,0 of 5,0%,0,0,0:00,8 of 36,1 of 1,0 of 0,9 of 37,0 of 0,0 of 0,W,John Dodson,2,33 of 112,29%,36 of 115,0 of 2,0%,0,0,0:18,20 of 93,8 of 14,5 of 5,23 of 102,0 of 0,10 of 10
290,Decision - Unanimous,3,15:00,L,Renee Forte,0,14 of 70,20%,20 of 79,5 of 9,55%,0,0,4:33,11 of 61,3 of 8,0 of 1,9 of 56,4 of 13,1 of 1,W,Francisco Trevino,0,47 of 116,40%,63 of 133,2 of 7,28%,0,0,2:43,29 of 78,6 of 15,12 of 23,26 of 86,17 of 23,4 of 7
291,KO/TKO,1,2:01,L,Renee Forte,0,7 of 27,25%,7 of 27,0 of 0,---,0,0,0:00,3 of 21,2 of 4,2 of 2,7 of 27,0 of 0,0 of 0,W,John Makdessi,1,20 of 39,51%,20 of 39,0 of 0,---,0,0,0:08,11 of 26,5 of 7,4 of 6,11 of 23,0 of 0,9 of 16
292,Decision - Unanimous,3,15:00,W,Renee Forte,1,47 of 119,39%,78 of 154,2 of 3,66%,0,0,10:45,38 of 102,5 of 11,4 of 6,16 of 58,12 of 17,19 of 44,L,Terry Etim,0,13 of 62,20%,14 of 63,0 of 0,---,0,0,0:02,5 of 49,4 of 7,4 of 6,10 of 57,3 of 5,0 of 0
293,Submission,3,13:10,L,Renee Forte,0,26 of 76,34%,38 of 88,0 of 0,---,0,0,0:58,12 of 59,7 of 10,7 of 7,16 of 62,5 of 8,5 of 6,W,Sergio Moraes,0,16 of 45,35%,27 of 58,4 of 11,36%,1,0,4:21,13 of 36,3 of 8,0 of 1,14 of 40,1 of 4,1 of 1
294,Decision - Unanimous,3,15:00,L,Marcel Fortuna,0,59 of 140,42%,65 of 146,1 of 9,11%,1,0,1:07,49 of 122,9 of 15,1 of 3,54 of 132,5 of 7,0 of 1,W,Jake Collier,0,94 of 247,38%,124 of 279,0 of 2,0%,0,2,1:11,55 of 199,19 of 26,20 of 22,88 of 235,2 of 7,4 of 5
295,Decision - Unanimous,3,15:00,L,Marcel Fortuna,0,53 of 103,51%,62 of 112,0 of 3,0%,0,0,0:00,28 of 74,14 of 17,11 of 12,51 of 100,2 of 3,0 of 0,W,Jordan Johnson,0,42 of 139,30%,47 of 145,2 of 6,33%,0,0,1:50,39 of 131,3 of 6,0 of 2,35 of 124,1 of 5,6 of 10
296,KO/TKO,1,3:10,W,Marcel Fortuna,1,15 of 30,50%,17 of 32,0 of 0,---,0,0,0:01,11 of 25,3 of 3,1 of 2,11 of 26,4 of 4,0 of 0,L,Anthony Hamilton,0,14 of 37,37%,18 of 42,0 of 0,---,0,0,0:25,6 of 25,8 of 12,0 of 0,9 of 30,5 of 7,0 of 0
297,Submission,2,7:11,W,Brian Foster,0,25 of 44,56%,36 of 63,3 of 3,100%,2,1,3:20,15 of 32,8 of 9,2 of 3,11 of 20,2 of 2,12 of 22,L,Matt Brown,0,13 of 21,61%,23 of 32,1 of 1,100%,1,1,1:49,4 of 8,3 of 4,6 of 9,8 of 16,1 of 1,4 of 4
