,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
140,Decision - Unanimous,5,25:00,W,Tim Kennedy,0,51 of 106,48%,76 of 141,5 of 11,45%,0,0,12:01,32 of 78,12 of 19,7 of 9,36 of 82,6 of 7,9 of 17,L,Michael Bisping,0,40 of 137,29%,53 of 151,0 of 0,---,0,0,0:03,35 of 128,4 of 8,1 of 1,38 of 135,2 of 2,0 of 0
141,KO/TKO,1,4:40,W,Tim Kennedy,1,13 of 31,41%,13 of 31,0 of 0,---,0,0,0:02,7 of 24,1 of 2,5 of 5,9 of 27,0 of 0,4 of 4,L,Rafael Natal,0,13 of 35,37%,13 of 35,0 of 1,0%,0,0,0:00,5 of 21,2 of 6,6 of 8,13 of 35,0 of 0,0 of 0
142,Decision - Unanimous,3,15:00,W,Tim Kennedy,0,54 of 92,58%,101 of 145,2 of 4,50%,0,1,6:11,21 of 49,10 of 13,23 of 30,25 of 55,18 of 20,11 of 17,L,Roger Gracie,0,12 of 29,41%,14 of 31,2 of 4,50%,0,0,3:26,8 of 22,3 of 5,1 of 2,5 of 22,6 of 6,1 of 1
143,Submission,3,11:36,W,Tim Kennedy,0,38 of 50,76%,66 of 78,3 of 5,60%,1,0,4:45,14 of 23,21 of 24,3 of 3,10 of 20,19 of 21,9 of 9,L,Trevor Smith,0,14 of 27,51%,31 of 44,3 of 11,27%,0,0,3:11,7 of 16,2 of 4,5 of 7,9 of 21,5 of 6,0 of 0
144,Decision - Unanimous,5,25:00,L,Tim Kennedy,0,46 of 111,41%,52 of 119,2 of 12,16%,0,0,5:27,10 of 50,13 of 24,23 of 37,30 of 87,16 of 24,0 of 0,W,Luke Rockhold,1,60 of 148,40%,70 of 159,1 of 3,33%,1,0,4:26,30 of 104,19 of 29,11 of 15,32 of 111,22 of 31,6 of 6
145,Decision - Unanimous,3,15:00,W,Tim Kennedy,0,32 of 76,42%,61 of 111,5 of 16,31%,0,0,5:02,18 of 55,5 of 9,9 of 12,19 of 40,1 of 2,12 of 34,L,Robbie Lawler,0,11 of 28,39%,18 of 39,0 of 0,---,0,0,0:25,8 of 24,3 of 4,0 of 0,10 of 25,0 of 1,1 of 2
146,Submission,1,3:41,W,Tim Kennedy,0,13 of 18,72%,14 of 19,1 of 5,20%,1,0,1:16,11 of 16,0 of 0,2 of 2,2 of 4,0 of 0,11 of 14,L,Melvin Manhoef,0,2 of 7,28%,2 of 7,0 of 0,---,0,0,0:19,0 of 4,0 of 0,2 of 3,2 of 7,0 of 0,0 of 0
147,Decision - Unanimous,5,25:00,L,Tim Kennedy,0,69 of 175,39%,69 of 175,2 of 5,40%,0,0,1:15,31 of 129,15 of 22,23 of 24,59 of 154,9 of 17,1 of 4,W,Jacare Souza,0,47 of 188,25%,48 of 190,0 of 3,0%,0,0,0:37,35 of 169,6 of 11,6 of 8,37 of 173,9 of 14,1 of 1
148,Submission,1,3:35,W,Tim Kennedy,0,9 of 13,69%,14 of 18,1 of 3,33%,1,0,2:56,4 of 8,4 of 4,1 of 1,2 of 3,2 of 3,5 of 7,L,Trevor Prangley,0,2 of 2,100%,7 of 7,0 of 2,0%,0,0,0:11,0 of 0,2 of 2,0 of 0,0 of 0,2 of 2,0 of 0
149,Submission,2,7:43,W,Tim Kennedy,0,44 of 74,59%,87 of 127,1 of 1,100%,4,0,--,36 of 66,5 of 5,3 of 3,9 of 29,3 of 4,32 of 41,L,Zak Cummings,0,6 of 19,31%,7 of 20,0 of 3,0%,0,0,--,4 of 16,0 of 0,2 of 3,5 of 16,1 of 3,0 of 0
