,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
138,Decision - Unanimous,3,15:00,W,Darren Elkins,0,27 of 49,55%,175 of 218,1 of 6,16%,3,0,13:09,24 of 45,3 of 4,0 of 0,2 of 13,0 of 0,25 of 36,L,Zhang Tiequan,0,2 of 18,11%,2 of 18,0 of 0,---,3,0,0:45,2 of 18,0 of 0,0 of 0,2 of 17,0 of 0,0 of 1
139,Decision - Unanimous,3,15:00,W,Darren Elkins,0,78 of 288,27%,79 of 289,1 of 4,25%,0,0,0:05,70 of 272,8 of 16,0 of 0,78 of 287,0 of 0,0 of 1,L,Michihiro Omigawa,0,65 of 141,46%,77 of 158,1 of 2,50%,0,0,1:28,51 of 127,12 of 12,2 of 2,64 of 140,0 of 0,1 of 1
140,Submission,1,0:41,L,Darren Elkins,0,0 of 4,0%,0 of 4,1 of 1,100%,0,0,0:27,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0,W,Charles Oliveira,0,3 of 4,75%,3 of 4,0 of 0,---,2,0,0:00,2 of 3,0 of 0,1 of 1,1 of 1,0 of 0,2 of 3
141,KO/TKO,1,0:44,W,Darren Elkins,0,0 of 2,0%,0 of 2,1 of 2,50%,0,0,0:10,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,L,Duane Ludwig,0,1 of 5,20%,1 of 5,0 of 0,---,0,0,0:03,1 of 5,0 of 0,0 of 0,1 of 5,0 of 0,0 of 0
142,KO/TKO,1,2:26,L,Jake Ellenberger,0,12 of 14,85%,12 of 14,0 of 0,---,0,0,0:21,6 of 8,2 of 2,4 of 4,10 of 11,2 of 3,0 of 0,W,Bryan Barberena,2,19 of 35,54%,31 of 47,0 of 0,---,0,0,0:00,17 of 33,1 of 1,1 of 1,7 of 21,2 of 2,10 of 12
143,KO/TKO,1,1:56,L,Jake Ellenberger,0,5 of 9,55%,7 of 12,0 of 0,---,0,0,0:40,4 of 8,1 of 1,0 of 0,1 of 2,4 of 7,0 of 0,W,Ben Saunders,1,10 of 21,47%,11 of 22,0 of 0,---,0,0,0:00,7 of 17,3 of 4,0 of 0,1 of 8,7 of 10,2 of 3
144,KO/TKO,2,6:05,L,Jake Ellenberger,0,17 of 41,41%,20 of 44,1 of 4,25%,0,0,0:28,13 of 35,4 of 6,0 of 0,13 of 35,4 of 6,0 of 0,W,Mike Perry,2,26 of 55,47%,28 of 57,0 of 0,---,0,0,0:09,10 of 32,4 of 10,12 of 13,24 of 51,2 of 3,0 of 1
145,KO/TKO,1,4:05,L,Jake Ellenberger,0,11 of 31,35%,11 of 31,0 of 1,0%,0,0,0:03,7 of 24,1 of 2,3 of 5,9 of 26,2 of 5,0 of 0,W,Jorge Masvidal,0,44 of 63,69%,50 of 70,0 of 0,---,0,0,0:38,26 of 40,9 of 12,9 of 11,26 of 39,12 of 17,6 of 7
146,KO/TKO,1,1:46,W,Jake Ellenberger,2,21 of 34,61%,29 of 43,0 of 0,---,0,0,0:41,18 of 31,2 of 2,1 of 1,7 of 15,0 of 0,14 of 19,L,Matt Brown,0,7 of 17,41%,7 of 17,0 of 1,0%,0,0,0:00,5 of 15,2 of 2,0 of 0,5 of 15,2 of 2,0 of 0
147,Decision - Unanimous,3,15:00,L,Jake Ellenberger,0,30 of 99,30%,39 of 109,0 of 4,0%,0,0,0:54,24 of 90,6 of 9,0 of 0,20 of 86,10 of 13,0 of 0,W,Tarec Saffiedine,0,54 of 131,41%,58 of 135,0 of 1,0%,0,0,1:01,30 of 103,13 of 17,11 of 11,44 of 118,10 of 13,0 of 0
148,KO/TKO,1,4:29,L,Jake Ellenberger,1,5 of 14,35%,14 of 23,0 of 1,0%,0,0,0:01,4 of 12,1 of 1,0 of 1,1 of 7,4 of 7,0 of 0,W,Stephen Thompson,2,20 of 35,57%,29 of 47,1 of 3,33%,0,0,1:56,17 of 29,2 of 5,1 of 1,12 of 22,1 of 3,7 of 10
149,Submission,2,9:20,W,Jake Ellenberger,0,15 of 52,28%,26 of 64,0 of 0,---,1,0,0:22,14 of 51,1 of 1,0 of 0,13 of 50,2 of 2,0 of 0,L,Josh Koscheck,0,7 of 40,17%,21 of 55,1 of 6,16%,0,0,3:32,5 of 35,2 of 5,0 of 0,5 of 38,2 of 2,0 of 0
150,Submission,1,4:46,L,Jake Ellenberger,0,10 of 24,41%,12 of 27,1 of 1,100%,0,0,0:03,7 of 20,3 of 4,0 of 0,8 of 21,2 of 3,0 of 0,W,Kelvin Gastelum,0,16 of 36,44%,29 of 49,1 of 2,50%,1,1,1:56,13 of 32,2 of 2,1 of 2,10 of 26,1 of 2,5 of 8
151,KO/TKO,3,13:06,L,Jake Ellenberger,0,29 of 89,32%,30 of 90,2 of 3,66%,0,0,0:46,22 of 81,5 of 6,2 of 2,19 of 77,8 of 9,2 of 3,W,Robbie Lawler,1,68 of 155,43%,72 of 159,0 of 1,0%,0,1,1:10,57 of 141,11 of 14,0 of 0,47 of 122,9 of 14,12 of 19
152,Decision - Unanimous,3,15:00,L,Jake Ellenberger,0,19 of 97,19%,27 of 106,1 of 3,33%,0,0,1:03,16 of 89,2 of 5,1 of 3,17 of 93,1 of 3,1 of 1,W,Rory MacDonald,0,46 of 118,38%,48 of 120,0 of 1,0%,0,0,0:00,37 of 102,9 of 16,0 of 0,44 of 115,2 of 3,0 of 0
153,KO/TKO,1,3:00,W,Jake Ellenberger,1,13 of 25,52%,13 of 25,0 of 0,---,0,0,0:03,8 of 20,2 of 2,3 of 3,11 of 21,0 of 0,2 of 4,L,Nate Marquardt,0,13 of 23,56%,13 of 23,0 of 0,---,0,0,0:00,2 of 11,1 of 1,10 of 11,13 of 23,0 of 0,0 of 0
154,Decision - Unanimous,3,15:00,W,Jake Ellenberger,0,25 of 81,30%,27 of 83,2 of 4,50%,0,0,1:05,18 of 72,1 of 3,6 of 6,19 of 72,1 of 3,5 of 6,L,Jay Hieron,0,32 of 127,25%,43 of 139,0 of 2,0%,0,0,0:00,17 of 107,3 of 5,12 of 15,31 of 125,1 of 2,0 of 0
155,KO/TKO,2,6:40,L,Jake Ellenberger,1,19 of 50,38%,27 of 64,0 of 0,---,0,0,4:08,15 of 46,2 of 2,2 of 2,13 of 36,4 of 4,2 of 10,W,Martin Kampmann,1,13 of 31,41%,16 of 34,0 of 1,0%,0,0,0:29,10 of 25,3 of 6,0 of 0,6 of 20,6 of 9,1 of 2
156,Decision - Unanimous,3,15:00,W,Jake Ellenberger,1,62 of 124,50%,78 of 141,2 of 8,25%,0,0,1:42,44 of 102,10 of 13,8 of 9,51 of 103,7 of 12,4 of 9,L,Diego Sanchez,0,29 of 114,25%,63 of 158,0 of 1,0%,0,0,1:08,17 of 92,9 of 18,3 of 4,27 of 109,0 of 3,2 of 2
157,KO/TKO,1,0:53,W,Jake Ellenberger,1,9 of 16,56%,10 of 17,0 of 0,---,0,0,0:04,7 of 13,1 of 2,1 of 1,2 of 8,2 of 2,5 of 6,L,Jake Shields,0,1 of 13,7%,1 of 13,0 of 1,0%,0,0,0:07,0 of 12,1 of 1,0 of 0,1 of 13,0 of 0,0 of 0
158,KO/TKO,1,2:42,W,Jake Ellenberger,1,9 of 19,47%,9 of 19,1 of 1,100%,0,0,0:08,6 of 13,1 of 3,2 of 3,7 of 16,1 of 2,1 of 1,L,Sean Pierson,0,3 of 14,21%,3 of 14,0 of 0,---,0,0,0:00,3 of 13,0 of 0,0 of 1,3 of 14,0 of 0,0 of 0
159,Decision - Split,3,15:00,W,Jake Ellenberger,0,25 of 76,32%,41 of 98,3 of 5,60%,0,0,1:45,16 of 61,6 of 10,3 of 5,17 of 57,6 of 13,2 of 6,L,Carlos Eduardo Rocha,0,21 of 76,27%,32 of 88,0 of 5,0%,2,1,3:34,8 of 54,2 of 5,11 of 17,19 of 70,1 of 4,1 of 2
160,TKO - Doctor's Stoppage,3,12:21,W,Jake Ellenberger,0,38 of 67,56%,92 of 138,5 of 7,71%,0,0,9:04,22 of 48,16 of 19,0 of 0,8 of 20,15 of 19,15 of 28,L,John Howard,0,17 of 34,50%,42 of 60,0 of 1,0%,1,0,0:10,9 of 26,5 of 5,3 of 3,7 of 19,9 of 12,1 of 3
161,KO/TKO,2,5:22,W,Jake Ellenberger,1,15 of 39,38%,30 of 56,2 of 2,100%,0,0,4:38,13 of 37,2 of 2,0 of 0,2 of 8,3 of 5,10 of 26,L,Mike Pyle,0,5 of 8,62%,29 of 34,0 of 1,0%,1,0,0:00,3 of 6,1 of 1,1 of 1,2 of 5,2 of 2,1 of 1
162,Decision - Split,3,15:00,L,Jake Ellenberger,2,28 of 59,47%,55 of 93,3 of 4,75%,3,3,6:46,23 of 51,3 of 6,2 of 2,11 of 27,5 of 11,12 of 21,W,Carlos Condit,0,27 of 70,38%,168 of 222,1 of 2,50%,1,2,3:58,21 of 61,5 of 7,1 of 2,4 of 29,4 of 9,19 of 32
