,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
422,Submission,1,2:29,L,Marcos Rogerio de Lima,0,5 of 10,50%,5 of 10,0 of 0,---,2,0,0:00,3 of 8,1 of 1,1 of 1,5 of 10,0 of 0,0 of 0,W,Nikita Krylov,0,21 of 29,72%,34 of 46,0 of 1,0%,1,0,1:58,16 of 23,4 of 5,1 of 1,7 of 13,10 of 11,4 of 5
423,KO/TKO,1,1:59,W,Marcos Rogerio de Lima,1,18 of 21,85%,33 of 37,0 of 0,---,0,0,1:38,9 of 12,2 of 2,7 of 7,8 of 10,8 of 8,2 of 3,L,Igor Pokrajac,0,3 of 6,50%,4 of 7,0 of 0,---,0,0,0:00,3 of 6,0 of 0,0 of 0,3 of 6,0 of 0,0 of 0
424,KO/TKO,1,0:20,W,Marcos Rogerio de Lima,1,7 of 10,70%,7 of 10,0 of 0,---,0,0,0:03,3 of 5,4 of 5,0 of 0,1 of 2,4 of 5,2 of 3,L,Richardson Moreira,0,3 of 4,75%,4 of 5,0 of 0,---,0,0,0:00,1 of 2,2 of 2,0 of 0,0 of 0,3 of 4,0 of 0
425,Decision - Unanimous,3,15:00,L,Marcos Rogerio de Lima,0,61 of 128,47%,65 of 132,0 of 0,---,0,0,0:00,26 of 82,2 of 7,33 of 39,60 of 127,0 of 0,1 of 1,W,Mike Kyle,0,90 of 180,50%,123 of 217,3 of 4,75%,0,0,2:56,63 of 149,21 of 25,6 of 6,76 of 163,1 of 1,13 of 16
426,Submission,2,6:17,L,Brett Rogers,0,2 of 8,25%,6 of 12,0 of 0,---,0,0,0:00,1 of 7,0 of 0,1 of 1,2 of 8,0 of 0,0 of 0,W,Josh Barnett,0,10 of 15,66%,46 of 53,2 of 3,66%,1,0,5:32,9 of 14,1 of 1,0 of 0,1 of 1,1 of 1,8 of 13
427,KO/TKO,1,3:40,L,Brett Rogers,0,1 of 16,6%,1 of 16,0 of 0,---,0,0,0:00,1 of 15,0 of 1,0 of 0,1 of 14,0 of 2,0 of 0,W,Alistair Overeem,0,39 of 61,63%,54 of 77,1 of 1,100%,0,0,2:25,29 of 51,6 of 6,4 of 4,4 of 9,1 of 1,34 of 51
428,KO/TKO,2,6:48,L,Brett Rogers,0,15 of 29,51%,33 of 49,0 of 0,---,0,1,2:13,5 of 18,2 of 3,8 of 8,1 of 8,10 of 11,4 of 10,W,Fedor Emelianenko,1,14 of 36,38%,34 of 56,2 of 2,100%,0,0,2:14,12 of 33,2 of 2,0 of 1,3 of 14,6 of 13,5 of 9
429,KO/TKO,1,0:22,W,Brett Rogers,1,3 of 8,37%,3 of 8,0 of 0,---,0,0,0:01,3 of 8,0 of 0,0 of 0,3 of 8,0 of 0,0 of 0,L,Andrei Arlovski,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:00,0 of 2,0 of 0,2 of 2,2 of 4,0 of 0,0 of 0
430,KO/TKO,2,6:38,W,Brett Rogers,1,43 of 99,43%,61 of 117,0 of 0,---,0,0,1:25,32 of 85,10 of 11,1 of 3,14 of 44,29 of 55,0 of 0,L,Abongo Humphrey,0,11 of 32,34%,11 of 32,0 of 2,0%,0,0,1:17,2 of 16,5 of 8,4 of 8,6 of 22,5 of 10,0 of 0
431,TKO - Doctor's Stoppage,2,10:00,L,Max Rohskopf,0,17 of 54,31%,17 of 55,2 of 6,33%,1,0,1:07,9 of 44,1 of 1,7 of 9,17 of 54,0 of 0,0 of 0,W,Austin Hubbard,0,58 of 101,57%,59 of 102,0 of 0,---,0,0,0:00,28 of 54,15 of 30,15 of 17,55 of 96,3 of 5,0 of 0
