,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
17,KO/TKO,1,3:40,W,Elizeu Zaleski dos Santos,1,15 of 58,25%,18 of 63,0 of 1,0%,0,0,0:06,9 of 41,2 of 8,4 of 9,9 of 45,0 of 0,6 of 13,L,Sean Strickland,0,14 of 36,38%,14 of 36,0 of 0,---,0,0,0:00,13 of 35,0 of 0,1 of 1,13 of 35,1 of 1,0 of 0
18,Decision - Unanimous,3,15:00,W,Elizeu Zaleski dos Santos,0,84 of 176,47%,94 of 186,0 of 5,0%,0,0,2:32,56 of 137,19 of 28,9 of 11,42 of 112,33 of 47,9 of 17,L,Max Griffin,2,51 of 133,38%,61 of 144,0 of 1,0%,0,0,1:08,41 of 110,8 of 20,2 of 3,32 of 100,13 of 25,6 of 8
19,Decision - Split,3,15:00,W,Elizeu Zaleski dos Santos,0,83 of 219,37%,84 of 220,1 of 7,14%,0,0,1:12,56 of 181,13 of 22,14 of 16,67 of 198,16 of 21,0 of 0,L,Lyman Good,0,75 of 165,45%,89 of 182,1 of 1,100%,0,0,0:37,57 of 146,15 of 16,3 of 3,54 of 140,20 of 24,1 of 1
20,Decision - Unanimous,3,15:00,W,Elizeu Zaleski dos Santos,0,34 of 120,28%,45 of 131,1 of 1,100%,2,0,1:16,24 of 105,6 of 10,4 of 5,25 of 101,5 of 12,4 of 7,L,Keita Nakamura,0,24 of 58,41%,64 of 113,5 of 6,83%,0,0,7:41,21 of 53,3 of 5,0 of 0,16 of 46,3 of 5,5 of 7
21,KO/TKO,3,13:03,W,Elizeu Zaleski dos Santos,0,72 of 146,49%,78 of 152,0 of 3,0%,1,1,2:51,50 of 119,18 of 23,4 of 4,35 of 100,36 of 45,1 of 1,L,Omari Akhmedov,0,36 of 105,34%,57 of 129,3 of 7,42%,1,0,1:19,28 of 90,6 of 11,2 of 4,22 of 86,11 of 14,3 of 5
22,Decision - Split,3,15:00,L,Elizeu Zaleski dos Santos,0,57 of 131,43%,61 of 135,0 of 2,0%,0,1,0:36,37 of 106,13 of 17,7 of 8,44 of 114,11 of 14,2 of 3,W,Nicolas Dalby,0,41 of 139,29%,50 of 150,6 of 10,60%,0,0,4:14,14 of 101,12 of 19,15 of 19,27 of 114,12 of 21,2 of 4
23,TKO - Doctor's Stoppage,3,10:47,L,Roger Zapata,0,28 of 54,51%,53 of 82,0 of 1,0%,1,0,0:24,22 of 47,6 of 7,0 of 0,12 of 34,12 of 14,4 of 6,W,Shinsho Anzai,0,23 of 36,63%,49 of 68,2 of 11,18%,0,0,6:55,9 of 20,7 of 7,7 of 9,11 of 21,11 of 14,1 of 1
24,Could Not Continue,1,0:06,NC,Marius Zaromskis,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,--,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,NC,Waachiim Spiritwolf,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,--,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0
25,KO/TKO,1,2:38,L,Marius Zaromskis,0,8 of 28,28%,8 of 28,0 of 0,---,0,0,0:00,5 of 22,3 of 5,0 of 1,8 of 26,0 of 2,0 of 0,W,Evangelista Santos,1,15 of 32,46%,15 of 32,0 of 0,---,0,0,0:02,10 of 24,1 of 1,4 of 7,12 of 25,1 of 4,2 of 3
26,KO/TKO,1,4:38,L,Marius Zaromskis,1,26 of 74,35%,31 of 80,0 of 0,---,0,0,0:46,20 of 65,4 of 7,2 of 2,15 of 59,4 of 6,7 of 9,W,Nick Diaz,1,94 of 144,65%,103 of 153,0 of 1,0%,0,0,1:45,52 of 99,9 of 9,33 of 36,59 of 106,35 of 38,0 of 0
27,Submission,1,2:50,W,David Zawada,0,2 of 11,18%,25 of 34,0 of 0,---,2,0,0:00,0 of 7,1 of 3,1 of 1,2 of 11,0 of 0,0 of 0,L,Abubakar Nurmagomedov,0,4 of 9,44%,22 of 34,1 of 1,100%,0,0,1:50,3 of 8,0 of 0,1 of 1,4 of 9,0 of 0,0 of 0
28,KO/TKO,3,14:07,L,David Zawada,1,73 of 184,39%,74 of 185,0 of 4,0%,0,0,0:49,52 of 159,19 of 23,2 of 2,63 of 162,10 of 20,0 of 2,W,Li Jingliang,1,89 of 222,40%,97 of 234,1 of 2,50%,0,0,1:16,59 of 183,10 of 11,20 of 28,81 of 204,3 of 12,5 of 6
29,Decision - Split,3,15:00,L,David Zawada,0,33 of 64,51%,63 of 99,2 of 5,40%,5,1,2:42,21 of 51,10 of 11,2 of 2,18 of 48,10 of 11,5 of 5,W,Danny Roberts,0,45 of 87,51%,68 of 117,0 of 2,0%,1,0,8:46,32 of 73,6 of 6,7 of 8,14 of 45,1 of 1,30 of 41
30,Decision - Unanimous,3,15:00,L,Joao Zeferino,0,11 of 28,39%,20 of 37,1 of 16,6%,0,0,6:07,6 of 21,4 of 5,1 of 2,6 of 22,3 of 4,2 of 2,W,Elias Silverio,0,49 of 84,58%,130 of 178,1 of 2,50%,0,0,4:40,18 of 40,24 of 32,7 of 12,24 of 50,15 of 19,10 of 15
31,Decision - Unanimous,3,15:00,L,Joao Zeferino,0,14 of 40,35%,22 of 50,0 of 2,0%,2,0,0:21,12 of 33,1 of 3,1 of 4,14 of 40,0 of 0,0 of 0,W,Rafael Natal,0,29 of 67,43%,112 of 162,1 of 2,50%,0,0,4:52,17 of 46,5 of 7,7 of 14,8 of 39,5 of 5,16 of 23
32,KO/TKO,1,4:57,L,Craig Zellner,0,3 of 32,9%,10 of 40,0 of 5,0%,0,0,0:14,3 of 32,0 of 0,0 of 0,3 of 31,0 of 1,0 of 0,W,Brian Stann,0,23 of 59,38%,61 of 98,0 of 0,---,0,0,3:02,17 of 52,4 of 5,2 of 2,7 of 33,8 of 14,8 of 12
33,KO/TKO,1,4:49,W,Carlos Zevallos,0,21 of 32,65%,55 of 77,0 of 0,---,0,1,2:09,6 of 16,13 of 14,2 of 2,1 of 8,16 of 16,4 of 8,L,Andre Walker,2,11 of 35,31%,33 of 67,0 of 1,0%,0,0,0:26,6 of 28,5 of 7,0 of 0,4 of 21,4 of 9,3 of 5
34,Decision - Unanimous,3,15:00,L,Zhang Tiequan,0,40 of 93,43%,46 of 102,2 of 2,100%,0,0,1:16,33 of 81,2 of 3,5 of 9,40 of 93,0 of 0,0 of 0,W,Jon Tuck,0,36 of 82,43%,91 of 145,0 of 0,---,2,1,6:43,24 of 66,10 of 14,2 of 2,35 of 81,1 of 1,0 of 0
