,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
77,Decision - Majority,3,15:00,L,Jared Papazian,0,68 of 167,40%,105 of 220,0 of 3,0%,0,0,3:03,43 of 131,16 of 25,9 of 11,55 of 147,13 of 20,0 of 0,W,Mike Easton,0,85 of 152,55%,122 of 191,1 of 3,33%,0,0,2:14,37 of 95,30 of 35,18 of 22,60 of 124,25 of 28,0 of 0
78,Submission,1,11:0,L,Joe Pardo,0,4 of 11,36%,10 of 17,0 of 5,0%,1,0,--,2 of 7,2 of 4,0 of 0,3 of 10,1 of 1,0 of 0,W,Mike van Arsdale,0,27 of 72,37%,48 of 94,1 of 1,100%,1,0,--,15 of 55,8 of 10,4 of 7,9 of 35,1 of 4,17 of 33
79,Submission,1,1:46,L,Bryan Pardoe,0,3 of 8,37%,22 of 39,1 of 1,100%,0,0,--,3 of 8,0 of 0,0 of 0,3 of 8,0 of 0,0 of 0,W,Frank Shamrock,0,4 of 5,80%,16 of 19,0 of 0,---,1,0,--,1 of 1,1 of 1,2 of 3,4 of 5,0 of 0,0 of 0
80,Submission,1,12:2,L,Remco Pardoel,0,2 of 4,50%,4 of 7,1 of 1,100%,2,0,--,0 of 1,0 of 0,2 of 3,0 of 2,2 of 2,0 of 0,W,Marco Ruas,0,4 of 7,57%,11 of 18,0 of 0,---,2,1,--,1 of 2,2 of 2,1 of 3,1 of 3,0 of 0,3 of 4
81,Submission,1,3:05,W,Remco Pardoel,0,0 of 0,---,16 of 16,1 of 1,100%,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,L,Ryan Parker,0,0 of 0,---,20 of 21,0 of 0,---,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
82,Submission,1,1:31,L,Remco Pardoel,0,0 of 0,---,0 of 0,0 of 0,---,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,W,Royce Gracie,0,0 of 0,---,0 of 0,1 of 2,50%,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
83,KO/TKO,1,1:29,W,Remco Pardoel,0,7 of 7,100%,7 of 7,1 of 1,100%,0,0,--,7 of 7,0 of 0,0 of 0,0 of 0,0 of 0,7 of 7,L,Orlando Wiet,0,1 of 2,50%,5 of 7,0 of 0,---,0,0,--,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
84,Submission,1,9:51,W,Remco Pardoel,0,4 of 6,66%,20 of 22,1 of 1,100%,1,0,--,4 of 5,0 of 0,0 of 1,0 of 1,0 of 0,4 of 5,L,Alberta Cerra Leon,0,1 of 3,33%,9 of 11,0 of 0,---,0,0,--,1 of 3,0 of 0,0 of 0,1 of 1,0 of 0,0 of 2
85,KO/TKO,1,1:47,L,Karo Parisyan,0,2 of 6,33%,5 of 9,0 of 0,---,0,0,0:58,2 of 6,0 of 0,0 of 0,2 of 6,0 of 0,0 of 0,W,Dennis Hallman,1,10 of 14,71%,18 of 22,0 of 0,---,0,0,0:05,6 of 10,4 of 4,0 of 0,2 of 4,6 of 7,2 of 3
86,Overturned,3,15:00,NC,Karo Parisyan,0,24 of 47,51%,46 of 70,2 of 12,16%,1,0,5:14,13 of 34,1 of 1,10 of 12,7 of 25,15 of 20,2 of 2,NC,Dong Hyun Kim,0,19 of 35,54%,47 of 64,2 of 6,33%,2,0,6:46,5 of 20,3 of 3,11 of 12,1 of 16,16 of 17,2 of 2
87,KO/TKO,2,5:24,L,Karo Parisyan,0,10 of 45,22%,21 of 56,1 of 4,25%,0,0,1:55,7 of 42,2 of 2,1 of 1,7 of 37,1 of 4,2 of 4,W,Thiago Alves,1,17 of 48,35%,17 of 48,0 of 0,---,0,0,0:02,12 of 43,2 of 2,3 of 3,12 of 43,2 of 2,3 of 3
88,Decision - Unanimous,3,15:00,W,Karo Parisyan,0,49 of 110,44%,117 of 186,7 of 9,77%,0,0,7:24,45 of 105,1 of 1,3 of 4,19 of 54,5 of 9,25 of 47,L,Ryo Chonan,0,35 of 87,40%,57 of 110,0 of 0,---,0,1,1:50,15 of 61,13 of 16,7 of 10,18 of 61,17 of 24,0 of 2
89,Decision - Unanimous,3,15:00,W,Karo Parisyan,0,54 of 126,42%,58 of 130,2 of 7,28%,0,0,1:29,38 of 109,7 of 8,9 of 9,36 of 91,16 of 32,2 of 3,L,Joshua Burkman,0,16 of 91,17%,20 of 96,2 of 12,16%,0,0,2:36,10 of 84,2 of 3,4 of 4,13 of 72,2 of 17,1 of 2
90,Decision - Unanimous,3,15:00,W,Karo Parisyan,0,56 of 147,38%,101 of 196,3 of 4,75%,0,0,4:45,55 of 146,1 of 1,0 of 0,33 of 96,10 of 27,13 of 24,L,Drew Fickett,0,47 of 128,36%,63 of 145,1 of 7,14%,0,0,1:12,21 of 92,11 of 13,15 of 23,27 of 91,9 of 17,11 of 20
91,Decision - Unanimous,3,15:00,L,Karo Parisyan,0,36 of 92,39%,78 of 139,9 of 10,90%,0,0,4:31,36 of 92,0 of 0,0 of 0,21 of 56,6 of 12,9 of 24,W,Diego Sanchez,0,66 of 108,61%,118 of 171,3 of 3,100%,1,1,4:55,36 of 77,30 of 31,0 of 0,19 of 48,15 of 19,32 of 41
92,KO/TKO,1,4:44,W,Karo Parisyan,0,18 of 30,60%,23 of 41,2 of 3,66%,0,0,4:03,16 of 28,2 of 2,0 of 0,1 of 2,0 of 0,17 of 28,L,Nick Thompson,0,2 of 7,28%,4 of 9,1 of 1,100%,0,0,0:10,1 of 6,0 of 0,1 of 1,1 of 2,1 of 3,0 of 2
93,Decision - Unanimous,3,15:00,W,Karo Parisyan,0,56 of 127,44%,113 of 191,8 of 10,80%,2,0,6:02,51 of 119,4 of 7,1 of 1,18 of 55,3 of 8,35 of 64,L,Matt Serra,1,26 of 65,40%,52 of 91,1 of 2,50%,0,2,0:56,16 of 53,4 of 5,6 of 7,15 of 51,3 of 5,8 of 9
94,Decision - Unanimous,3,15:00,W,Karo Parisyan,0,29 of 66,43%,81 of 124,7 of 9,77%,2,0,12:53,29 of 66,0 of 0,0 of 0,0 of 5,1 of 1,28 of 60,L,Chris Lytle,0,7 of 16,43%,58 of 67,0 of 0,---,2,2,0:33,4 of 13,3 of 3,0 of 0,1 of 9,5 of 6,1 of 1
95,Decision - Split,3,15:00,W,Karo Parisyan,0,27 of 79,34%,48 of 104,9 of 15,60%,0,0,6:54,23 of 75,2 of 2,2 of 2,12 of 38,7 of 16,8 of 25,L,Nick Diaz,0,37 of 102,36%,121 of 189,1 of 2,50%,2,1,1:18,26 of 83,10 of 18,1 of 1,25 of 82,11 of 17,1 of 3
96,Decision - Unanimous,3,15:00,L,Karo Parisyan,0,1 of 7,14%,23 of 33,0 of 2,0%,4,2,0:19,1 of 6,0 of 0,0 of 1,0 of 6,0 of 0,1 of 1,W,Georges St-Pierre,0,46 of 80,57%,138 of 177,6 of 8,75%,0,2,12:07,29 of 61,14 of 15,3 of 4,7 of 15,0 of 0,39 of 65
97,Submission,1,3:52,W,Karo Parisyan,0,13 of 22,59%,19 of 28,3 of 4,75%,1,0,2:43,8 of 17,3 of 3,2 of 2,3 of 7,7 of 8,3 of 7,L,Dave Strasser,0,2 of 11,18%,11 of 20,0 of 1,0%,0,0,0:14,1 of 9,1 of 2,0 of 0,1 of 6,1 of 5,0 of 0
98,Decision - Unanimous,3,15:00,W,Junyong Park,0,10 of 21,47%,260 of 350,4 of 4,100%,0,0,13:11,10 of 21,0 of 0,0 of 0,2 of 2,0 of 0,8 of 19,L,John Phillips,0,5 of 14,35%,13 of 25,0 of 0,---,0,0,0:00,1 of 10,2 of 2,2 of 2,5 of 14,0 of 0,0 of 0
99,Decision - Unanimous,3,15:00,W,Junyong Park,0,77 of 187,41%,83 of 193,5 of 10,50%,0,0,3:28,59 of 166,12 of 15,6 of 6,69 of 174,8 of 13,0 of 0,L,Marc-Andre Barriault,0,51 of 160,31%,57 of 166,0 of 2,0%,0,0,0:07,22 of 119,8 of 11,21 of 30,49 of 155,2 of 5,0 of 0
100,Submission,2,9:39,L,Junyong Park,0,81 of 148,54%,84 of 152,0 of 0,---,0,0,0:16,76 of 142,5 of 6,0 of 0,73 of 136,8 of 12,0 of 0,W,Anthony Hernandez,0,59 of 110,53%,74 of 129,6 of 9,66%,1,0,4:32,51 of 102,7 of 7,1 of 1,49 of 97,3 of 6,7 of 7
101,Decision - Unanimous,3,15:00,L,Norman Parke,0,17 of 72,23%,17 of 72,1 of 3,33%,0,0,1:48,6 of 53,4 of 8,7 of 11,15 of 68,0 of 1,2 of 3,W,Rustam Khabilov,0,33 of 85,38%,61 of 114,6 of 9,66%,0,0,4:35,30 of 79,2 of 3,1 of 3,15 of 62,2 of 2,16 of 21
