,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
425,Submission,2,8:50,L,Francisco Trinaldo,1,22 of 43,51%,24 of 46,1 of 4,25%,0,0,1:42,11 of 27,8 of 13,3 of 3,22 of 43,0 of 0,0 of 0,W,Piotr Hallmann,0,42 of 87,48%,62 of 112,2 of 2,100%,1,0,2:27,32 of 72,5 of 8,5 of 7,22 of 65,9 of 9,11 of 13
426,Submission,1,3:08,W,Francisco Trinaldo,0,5 of 8,62%,6 of 9,1 of 1,100%,1,0,0:57,3 of 4,2 of 4,0 of 0,3 of 4,2 of 4,0 of 0,L,Mike Rio,0,5 of 11,45%,8 of 14,1 of 3,33%,0,0,1:00,1 of 5,4 of 5,0 of 1,1 of 6,4 of 5,0 of 0
427,Submission,2,6:50,W,Francisco Trinaldo,0,12 of 19,63%,27 of 34,2 of 5,40%,1,0,3:59,5 of 10,5 of 5,2 of 4,1 of 4,4 of 6,7 of 9,L,CJ Keith,0,3 of 9,33%,5 of 11,0 of 1,0%,0,1,1:07,2 of 6,0 of 1,1 of 2,1 of 7,0 of 0,2 of 2
428,Decision - Unanimous,3,15:00,L,Francisco Trinaldo,1,45 of 97,46%,70 of 129,0 of 0,---,2,0,4:08,27 of 77,14 of 16,4 of 4,19 of 58,15 of 18,11 of 21,W,Gleison Tibau,0,36 of 63,57%,96 of 134,5 of 6,83%,2,0,6:37,26 of 52,6 of 7,4 of 4,13 of 34,17 of 20,6 of 9
429,KO/TKO,1,4:21,W,Francisco Trinaldo,0,21 of 26,80%,41 of 47,0 of 0,---,0,0,1:09,9 of 13,12 of 13,0 of 0,2 of 3,8 of 8,11 of 15,L,Delson Heleno,0,3 of 4,75%,4 of 5,0 of 4,0%,0,0,1:07,1 of 2,1 of 1,1 of 1,1 of 2,2 of 2,0 of 0
430,Submission,2,7:27,L,Michael Trizano,0,20 of 41,48%,24 of 45,0 of 0,---,0,0,0:34,10 of 30,7 of 8,3 of 3,16 of 37,4 of 4,0 of 0,W,Grant Dawson,0,27 of 56,48%,34 of 63,3 of 10,30%,1,0,4:13,9 of 32,12 of 17,6 of 7,15 of 40,11 of 13,1 of 3
431,Decision - Split,3,15:00,W,Michael Trizano,0,51 of 100,51%,55 of 104,1 of 2,50%,1,1,2:14,25 of 68,10 of 16,16 of 16,37 of 85,9 of 9,5 of 6,L,Luis Pena,0,23 of 85,27%,34 of 97,1 of 9,11%,0,1,5:26,12 of 68,9 of 15,2 of 2,20 of 80,2 of 4,1 of 1
432,Decision - Split,3,15:00,W,Michael Trizano,0,42 of 71,59%,86 of 116,0 of 0,---,1,0,5:39,9 of 26,7 of 18,26 of 27,40 of 67,0 of 0,2 of 4,L,Joe Giannetti,0,29 of 75,38%,61 of 108,1 of 6,16%,0,0,2:51,3 of 43,11 of 17,15 of 15,27 of 69,2 of 4,0 of 2
433,Decision - Unanimous,3,15:00,L,Tor Troeng,0,15 of 47,31%,26 of 60,0 of 19,0%,0,0,4:11,6 of 37,4 of 5,5 of 5,6 of 36,9 of 11,0 of 0,W,Krzysztof Jotko,0,74 of 98,75%,132 of 159,1 of 2,50%,0,0,3:18,30 of 53,31 of 32,13 of 13,18 of 36,52 of 57,4 of 5
434,Decision - Unanimous,3,15:00,L,Tor Troeng,0,26 of 45,57%,42 of 63,1 of 5,20%,0,0,4:25,13 of 31,11 of 12,2 of 2,14 of 32,12 of 13,0 of 0,W,Trevor Smith,0,42 of 59,71%,89 of 110,2 of 5,40%,2,2,7:11,17 of 30,13 of 17,12 of 12,15 of 28,11 of 14,16 of 17
435,Decision - Unanimous,3,15:00,L,Tor Troeng,0,9 of 17,52%,54 of 66,0 of 1,0%,0,3,5:05,6 of 14,2 of 2,1 of 1,3 of 10,2 of 2,4 of 5,W,Rafael Natal,2,39 of 62,62%,57 of 81,0 of 2,0%,1,1,8:04,29 of 51,5 of 6,5 of 5,7 of 15,1 of 1,31 of 46
436,Submission,1,3:11,W,Tor Troeng,0,6 of 11,54%,16 of 23,1 of 1,100%,1,0,2:21,5 of 8,0 of 1,1 of 2,2 of 7,0 of 0,4 of 4,L,Adam Cella,0,2 of 12,16%,4 of 14,0 of 0,---,0,0,0:00,1 of 8,0 of 2,1 of 2,2 of 12,0 of 0,0 of 0
437,Decision - Unanimous,3,15:00,L,Abel Trujillo,0,29 of 91,31%,30 of 93,1 of 6,16%,0,0,1:37,23 of 82,3 of 6,3 of 3,28 of 88,1 of 3,0 of 0,W,John Makdessi,1,47 of 104,45%,57 of 119,0 of 0,---,0,0,0:00,17 of 53,13 of 24,17 of 27,47 of 102,0 of 2,0 of 0
438,Submission,3,10:49,L,Abel Trujillo,0,11 of 33,33%,14 of 36,1 of 5,20%,0,0,2:15,9 of 30,1 of 2,1 of 1,11 of 32,0 of 1,0 of 0,W,James Vick,0,25 of 67,37%,29 of 71,1 of 2,50%,3,0,2:21,13 of 51,8 of 12,4 of 4,21 of 63,3 of 3,1 of 1
439,Decision - Unanimous,3,15:00,W,Abel Trujillo,0,35 of 80,43%,57 of 102,3 of 3,100%,0,0,4:04,29 of 72,6 of 8,0 of 0,25 of 63,4 of 7,6 of 10,L,Jordan Rinaldi,0,18 of 58,31%,43 of 84,2 of 7,28%,1,0,3:52,14 of 49,2 of 5,2 of 4,16 of 54,1 of 3,1 of 1
440,Submission,1,3:18,W,Abel Trujillo,0,4 of 11,36%,4 of 11,0 of 2,0%,1,0,0:17,2 of 8,2 of 3,0 of 0,3 of 10,1 of 1,0 of 0,L,Tony Sims,0,5 of 12,41%,5 of 12,1 of 1,100%,0,0,0:12,5 of 12,0 of 0,0 of 0,5 of 12,0 of 0,0 of 0
441,DQ,1,1:45,W,Abel Trujillo,0,0 of 0,---,5 of 5,0 of 0,---,0,0,0:02,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,L,Gleison Tibau,0,3 of 5,60%,6 of 8,2 of 3,66%,1,0,1:27,3 of 5,0 of 0,0 of 0,0 of 2,0 of 0,3 of 3
442,Submission,2,9:19,L,Abel Trujillo,1,15 of 76,19%,16 of 77,2 of 5,40%,0,0,2:02,14 of 75,1 of 1,0 of 0,11 of 60,1 of 9,3 of 7,W,Tony Ferguson,0,20 of 55,36%,38 of 76,1 of 1,100%,1,0,2:02,12 of 43,5 of 5,3 of 7,18 of 52,1 of 2,1 of 1
443,KO/TKO,2,7:32,W,Abel Trujillo,1,18 of 79,22%,27 of 88,0 of 3,0%,0,0,0:09,17 of 75,1 of 4,0 of 0,12 of 62,6 of 17,0 of 0,L,Jamie Varner,0,36 of 96,37%,51 of 122,0 of 0,---,1,0,2:30,34 of 92,2 of 4,0 of 0,15 of 56,19 of 36,2 of 4
