,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
243,Decision - Unanimous,3,15:00,L,Chris Leben,0,44 of 135,32%,149 of 248,0 of 0,---,0,0,1:18,20 of 94,11 of 24,13 of 17,26 of 98,15 of 33,3 of 4,W,Kalib Starnes,0,47 of 79,59%,90 of 127,2 of 3,66%,0,1,5:08,21 of 46,21 of 28,5 of 5,22 of 39,12 of 15,13 of 25
244,Submission,2,9:03,L,Chris Leben,0,15 of 34,44%,52 of 71,2 of 2,100%,0,0,1:48,13 of 30,2 of 2,0 of 2,3 of 11,10 of 18,2 of 5,W,Jason MacDonald,0,9 of 27,33%,35 of 53,1 of 5,20%,1,0,4:47,2 of 14,4 of 6,3 of 7,4 of 17,5 of 10,0 of 0
245,KO/TKO,2,5:35,W,Chris Leben,1,9 of 22,40%,24 of 37,1 of 2,50%,0,0,2:16,6 of 16,3 of 5,0 of 1,3 of 9,3 of 5,3 of 8,L,Jorge Santiago,0,6 of 12,50%,10 of 16,1 of 1,100%,0,0,1:10,5 of 10,0 of 0,1 of 2,5 of 10,0 of 0,1 of 2
246,KO/TKO,1,0:49,L,Chris Leben,0,1 of 8,12%,1 of 8,0 of 0,---,0,0,0:00,1 of 8,0 of 0,0 of 0,1 of 8,0 of 0,0 of 0,W,Anderson Silva,2,17 of 20,85%,17 of 20,0 of 0,---,0,0,0:09,17 of 20,0 of 0,0 of 0,13 of 14,1 of 1,3 of 5
247,Decision - Unanimous,3,15:00,W,Chris Leben,0,36 of 90,40%,200 of 259,5 of 7,71%,0,0,9:33,26 of 68,8 of 18,2 of 4,4 of 17,20 of 51,12 of 22,L,Luigi Fioravanti,0,20 of 39,51%,41 of 60,0 of 5,0%,0,0,2:01,9 of 27,3 of 4,8 of 8,5 of 11,15 of 28,0 of 0
248,KO/TKO,1,1:44,W,Chris Leben,1,10 of 17,58%,16 of 23,1 of 1,100%,0,0,0:43,6 of 11,4 of 6,0 of 0,0 of 5,5 of 7,5 of 5,L,Jorge Rivera,0,5 of 10,50%,6 of 11,0 of 0,---,0,0,0:27,3 of 8,2 of 2,0 of 0,2 of 6,3 of 4,0 of 0
249,Submission,1,3:26,W,Chris Leben,0,5 of 7,71%,19 of 21,0 of 0,---,1,0,1:52,3 of 5,2 of 2,0 of 0,1 of 1,1 of 2,3 of 4,L,Edwin DeWees,0,5 of 7,71%,13 of 15,1 of 1,100%,2,0,1:07,1 of 2,2 of 3,2 of 2,3 of 3,2 of 4,0 of 0
250,Decision - Split,3,15:00,W,Chris Leben,0,26 of 63,41%,185 of 234,1 of 5,20%,0,0,9:07,17 of 51,4 of 5,5 of 7,9 of 24,12 of 27,5 of 12,L,Patrick Cote,0,26 of 63,41%,30 of 67,1 of 2,50%,0,0,2:01,18 of 51,4 of 7,4 of 5,8 of 28,15 of 29,3 of 6
251,KO/TKO,1,1:35,W,Chris Leben,0,27 of 40,67%,34 of 47,1 of 1,100%,0,0,1:26,21 of 34,6 of 6,0 of 0,0 of 1,1 of 2,26 of 37,L,Jason Thacker,0,1 of 3,33%,3 of 5,0 of 0,---,0,0,0:00,1 of 3,0 of 0,0 of 0,0 of 1,1 of 2,0 of 0
252,KO/TKO,2,5:45,W,Chris Leben,2,22 of 26,84%,67 of 73,0 of 3,0%,1,0,--,19 of 20,2 of 2,1 of 4,6 of 6,5 of 8,11 of 12,L,Mike Swick,0,22 of 30,73%,28 of 36,1 of 1,100%,0,1,--,5 of 11,6 of 7,11 of 12,6 of 12,14 of 16,2 of 2
