,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
181,Decision - Unanimous,3,15:00,L,Garett Whiteley,0,44 of 72,61%,56 of 86,0 of 0,---,2,0,0:40,16 of 38,19 of 24,9 of 10,13 of 33,18 of 20,13 of 19,W,Vinc Pichel,0,44 of 81,54%,83 of 123,8 of 12,66%,1,0,10:53,20 of 56,7 of 7,17 of 18,12 of 39,15 of 15,17 of 27
182,KO/TKO,1,3:54,L,Garett Whiteley,0,7 of 28,25%,15 of 36,0 of 1,0%,0,0,0:05,3 of 23,3 of 4,1 of 1,4 of 21,3 of 7,0 of 0,W,Alan Patrick,1,16 of 35,45%,19 of 42,1 of 2,50%,0,0,0:53,13 of 26,0 of 6,3 of 3,8 of 25,3 of 5,5 of 5
183,Submission,1,1:53,L,Emily Whitmire,0,2 of 11,18%,5 of 15,0 of 1,0%,0,0,1:02,1 of 9,0 of 1,1 of 1,2 of 11,0 of 0,0 of 0,W,Polyana Viana,0,9 of 15,60%,18 of 24,0 of 1,0%,1,0,0:00,6 of 12,0 of 0,3 of 3,6 of 12,0 of 0,3 of 3
184,Submission,2,7:10,L,Emily Whitmire,0,7 of 25,28%,18 of 37,0 of 0,---,0,1,1:34,4 of 21,3 of 4,0 of 0,4 of 21,2 of 2,1 of 2,W,Amanda Ribas,0,21 of 41,51%,67 of 92,2 of 5,40%,2,0,4:32,16 of 35,4 of 5,1 of 1,10 of 22,4 of 5,7 of 14
185,Submission,1,1:01,W,Emily Whitmire,0,3 of 5,60%,8 of 11,1 of 1,100%,1,0,0:51,2 of 4,0 of 0,1 of 1,3 of 5,0 of 0,0 of 0,L,Aleksandra Albu,0,2 of 5,40%,2 of 6,0 of 0,---,0,0,0:00,2 of 5,0 of 0,0 of 0,2 of 5,0 of 0,0 of 0
186,Decision - Unanimous,3,15:00,W,Emily Whitmire,0,53 of 183,28%,111 of 264,1 of 2,50%,0,0,4:55,33 of 159,9 of 13,11 of 11,40 of 164,2 of 4,11 of 15,L,Jamie Moyle,0,50 of 117,42%,75 of 149,0 of 3,0%,0,0,0:38,24 of 81,13 of 22,13 of 14,47 of 110,1 of 4,2 of 3
187,Submission,1,2:12,L,Emily Whitmire,0,9 of 15,60%,13 of 20,0 of 0,---,0,1,0:33,7 of 13,0 of 0,2 of 2,6 of 12,2 of 2,1 of 1,W,Gillian Robertson,0,2 of 6,33%,4 of 8,1 of 1,100%,1,0,0:49,2 of 6,0 of 0,0 of 0,2 of 6,0 of 0,0 of 0
188,Decision - Unanimous,3,15:00,W,Robert Whittaker,1,69 of 151,45%,75 of 158,0 of 2,0%,0,0,2:10,59 of 138,5 of 8,5 of 5,62 of 137,1 of 2,6 of 12,L,Jared Cannonier,0,53 of 89,59%,58 of 94,0 of 0,---,0,0,0:30,17 of 46,14 of 18,22 of 25,49 of 84,4 of 5,0 of 0
189,Decision - Unanimous,5,25:00,W,Robert Whittaker,1,69 of 157,43%,100 of 188,2 of 13,15%,0,0,2:29,32 of 116,7 of 10,30 of 31,57 of 139,7 of 11,5 of 7,L,Darren Till,0,41 of 99,41%,50 of 108,0 of 0,---,0,0,0:35,29 of 86,7 of 8,5 of 5,31 of 87,7 of 9,3 of 3
190,KO/TKO,2,8:33,L,Robert Whittaker,0,32 of 116,27%,32 of 116,0 of 0,---,0,0,0:00,20 of 97,3 of 5,9 of 14,32 of 116,0 of 0,0 of 0,W,Israel Adesanya,2,40 of 95,42%,40 of 95,0 of 0,---,0,0,0:04,27 of 80,6 of 8,7 of 7,37 of 91,0 of 0,3 of 4
191,Decision - Split,5,25:00,W,Robert Whittaker,0,128 of 326,39%,129 of 328,0 of 1,0%,0,0,0:37,57 of 225,23 of 39,48 of 62,119 of 308,9 of 17,0 of 1,L,Yoel Romero,2,111 of 240,46%,149 of 287,3 of 10,30%,0,0,4:21,76 of 194,19 of 27,16 of 19,66 of 177,25 of 40,20 of 23
192,Decision - Unanimous,5,25:00,W,Robert Whittaker,0,74 of 221,33%,94 of 244,0 of 0,---,0,0,1:34,46 of 163,23 of 52,5 of 6,59 of 195,7 of 12,8 of 14,L,Yoel Romero,0,48 of 107,44%,114 of 175,4 of 18,22%,0,0,5:15,20 of 68,12 of 18,16 of 21,41 of 100,3 of 3,4 of 4
193,KO/TKO,2,8:28,W,Robert Whittaker,1,55 of 110,50%,57 of 112,0 of 0,---,0,0,0:25,47 of 97,7 of 12,1 of 1,40 of 85,1 of 4,14 of 21,L,Jacare Souza,0,9 of 36,25%,13 of 40,1 of 3,33%,0,0,0:49,6 of 31,3 of 5,0 of 0,6 of 32,3 of 4,0 of 0
194,KO/TKO,1,4:07,W,Robert Whittaker,1,33 of 58,56%,35 of 60,0 of 0,---,0,0,0:07,30 of 55,2 of 2,1 of 1,20 of 39,7 of 10,6 of 9,L,Derek Brunson,0,19 of 42,45%,25 of 48,0 of 3,0%,0,0,1:12,18 of 41,1 of 1,0 of 0,9 of 25,10 of 17,0 of 0
195,Decision - Unanimous,3,15:00,W,Robert Whittaker,0,89 of 176,50%,92 of 179,0 of 0,---,0,0,0:02,51 of 129,10 of 11,28 of 36,83 of 166,2 of 4,4 of 6,L,Rafael Natal,0,62 of 137,45%,63 of 138,0 of 4,0%,0,0,0:00,36 of 95,4 of 15,22 of 27,61 of 135,1 of 2,0 of 0
196,Decision - Unanimous,3,15:00,W,Robert Whittaker,0,67 of 144,46%,108 of 186,1 of 2,50%,0,0,4:43,39 of 107,6 of 11,22 of 26,43 of 110,12 of 17,12 of 17,L,Uriah Hall,0,45 of 94,47%,58 of 107,0 of 1,0%,0,1,0:50,17 of 58,10 of 15,18 of 21,40 of 87,4 of 5,1 of 2
197,KO/TKO,1,0:44,W,Robert Whittaker,1,10 of 14,71%,10 of 14,0 of 0,---,0,0,0:04,9 of 12,0 of 1,1 of 1,7 of 11,0 of 0,3 of 3,L,Brad Tavares,0,2 of 7,28%,2 of 7,0 of 0,---,0,0,0:00,0 of 5,0 of 0,2 of 2,2 of 7,0 of 0,0 of 0
198,KO/TKO,2,7:43,W,Robert Whittaker,2,49 of 104,47%,54 of 110,1 of 2,50%,0,0,2:18,35 of 86,5 of 7,9 of 11,35 of 77,2 of 6,12 of 21,L,Clint Hester,0,28 of 61,45%,29 of 62,0 of 3,0%,0,1,0:46,21 of 52,3 of 4,4 of 5,21 of 51,4 of 5,3 of 5
199,Decision - Unanimous,3,15:00,W,Robert Whittaker,0,66 of 183,36%,93 of 213,1 of 1,100%,0,0,2:22,46 of 163,10 of 10,10 of 10,62 of 177,3 of 4,1 of 2,L,Mike Rhodes,0,47 of 146,32%,52 of 153,0 of 2,0%,0,0,0:37,25 of 115,4 of 8,18 of 23,44 of 142,3 of 4,0 of 0
200,KO/TKO,1,3:43,L,Robert Whittaker,0,19 of 66,28%,19 of 66,0 of 0,---,0,0,0:00,17 of 64,0 of 0,2 of 2,18 of 64,1 of 2,0 of 0,W,Stephen Thompson,1,38 of 80,47%,39 of 81,0 of 0,---,0,0,0:07,28 of 63,7 of 13,3 of 4,25 of 65,6 of 7,7 of 8
201,Decision - Split,3,15:00,L,Robert Whittaker,0,48 of 184,26%,49 of 185,0 of 0,---,0,0,0:00,48 of 181,0 of 3,0 of 0,47 of 181,1 of 3,0 of 0,W,Court McGee,0,88 of 305,28%,99 of 318,1 of 8,12%,0,0,0:34,41 of 213,28 of 63,19 of 29,84 of 296,4 of 9,0 of 0
202,KO/TKO,3,10:41,W,Robert Whittaker,2,53 of 113,46%,54 of 114,1 of 1,100%,0,0,0:14,53 of 113,0 of 0,0 of 0,40 of 88,11 of 22,2 of 3,L,Colton Smith,1,33 of 91,36%,33 of 91,0 of 6,0%,1,0,0:03,18 of 69,6 of 10,9 of 12,26 of 80,7 of 11,0 of 0
203,Decision - Unanimous,3,15:00,W,Robert Whittaker,1,83 of 202,41%,89 of 208,0 of 0,---,0,0,0:22,64 of 172,15 of 25,4 of 5,60 of 167,17 of 24,6 of 11,L,Brad Scott,0,55 of 171,32%,82 of 205,1 of 5,20%,0,0,4:15,29 of 133,18 of 29,8 of 9,42 of 154,11 of 15,2 of 2
204,Decision - Unanimous,3,15:00,L,Adam Wieczorek,0,7 of 38,18%,31 of 65,1 of 2,50%,0,0,2:15,3 of 28,2 of 6,2 of 4,7 of 37,0 of 1,0 of 0,W,Marcos Rogerio de Lima,0,28 of 59,47%,70 of 112,3 of 5,60%,0,0,8:21,18 of 47,2 of 4,8 of 8,16 of 36,4 of 6,8 of 17
205,Submission,2,6:59,W,Adam Wieczorek,0,13 of 27,48%,14 of 28,0 of 0,---,1,0,0:00,2 of 14,4 of 6,7 of 7,10 of 22,1 of 1,2 of 4,L,Arjan Bhullar,0,9 of 18,50%,42 of 60,2 of 3,66%,0,0,5:18,9 of 18,0 of 0,0 of 0,5 of 11,1 of 1,3 of 6
