,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
28,KO/TKO,1,2:58,L,Valeri Ignatov,0,2 of 8,25%,7 of 14,0 of 0,---,0,0,--,2 of 8,0 of 0,0 of 0,1 of 7,1 of 1,0 of 0,W,Evan Tanner,0,23 of 32,71%,25 of 35,1 of 1,100%,1,0,--,18 of 26,4 of 5,1 of 1,3 of 8,2 of 2,18 of 22
29,Decision - Unanimous,3,15:00,L,Fabiano Iha,0,19 of 45,42%,46 of 78,2 of 7,28%,2,0,5:43,12 of 36,1 of 3,6 of 6,4 of 20,11 of 18,4 of 7,W,Din Thomas,0,42 of 69,60%,98 of 128,1 of 1,100%,0,0,6:09,41 of 68,1 of 1,0 of 0,11 of 24,24 of 35,7 of 10
30,KO/TKO,1,1:48,L,Fabiano Iha,0,6 of 13,46%,7 of 14,0 of 0,---,1,0,0:00,4 of 11,0 of 0,2 of 2,5 of 10,1 of 3,0 of 0,W,Caol Uno,0,8 of 17,47%,14 of 24,2 of 4,50%,0,0,0:54,7 of 16,0 of 0,1 of 1,2 of 6,0 of 1,6 of 10
31,Submission,1,1:40,W,Fabiano Iha,0,3 of 6,50%,3 of 6,1 of 2,50%,1,0,0:51,0 of 3,2 of 2,1 of 1,2 of 5,1 of 1,0 of 0,L,Phil Johns,0,2 of 3,66%,6 of 7,0 of 1,0%,0,0,0:16,0 of 0,1 of 1,1 of 2,1 of 2,1 of 1,0 of 0
32,KO/TKO,1,2:24,W,Fabiano Iha,0,8 of 12,66%,16 of 20,1 of 1,100%,0,0,1:56,8 of 12,0 of 0,0 of 0,0 of 0,0 of 0,8 of 12,L,Daiju Takase,0,0 of 2,0%,1 of 3,0 of 0,---,0,0,0:00,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
33,Submission,1,1:10,W,Fabiano Iha,0,1 of 3,33%,1 of 3,1 of 1,100%,2,0,0:07,0 of 0,0 of 1,1 of 2,1 of 3,0 of 0,0 of 0,L,Laverne Clark,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:24,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
34,Decision - Unanimous,3,15:00,L,Fabiano Iha,0,8 of 22,36%,44 of 61,1 of 12,8%,0,0,0:38,4 of 16,2 of 4,2 of 2,2 of 12,6 of 10,0 of 0,W,Dave Menne,0,37 of 99,37%,130 of 199,0 of 0,---,1,0,9:43,26 of 85,8 of 10,3 of 4,8 of 46,17 of 30,12 of 23
35,TKO - Doctor's Stoppage,1,1:21,L,Fabiano Iha,0,0 of 3,0%,0 of 3,0 of 0,---,2,0,--,0 of 0,0 of 0,0 of 3,0 of 3,0 of 0,0 of 0,W,Laverne Clark,1,6 of 6,100%,6 of 6,0 of 0,---,0,0,--,3 of 3,3 of 3,0 of 0,3 of 3,1 of 1,2 of 2
36,Submission,3,14:39,L,Zelim Imadaev,0,23 of 90,25%,24 of 91,0 of 0,---,0,0,0:08,10 of 73,6 of 10,7 of 7,22 of 86,1 of 4,0 of 0,W,Michel Pereira,0,88 of 153,57%,88 of 154,1 of 1,100%,1,0,0:11,39 of 95,38 of 45,11 of 13,82 of 145,6 of 8,0 of 0
37,KO/TKO,2,9:54,L,Zelim Imadaev,0,28 of 71,39%,38 of 84,1 of 1,100%,0,0,2:30,15 of 54,10 of 12,3 of 5,19 of 58,9 of 11,0 of 2,W,Danny Roberts,1,37 of 61,60%,42 of 68,1 of 8,12%,0,0,2:19,10 of 34,17 of 17,10 of 10,18 of 40,19 of 21,0 of 0
38,Decision - Majority,3,15:00,L,Zelim Imadaev,0,64 of 150,42%,78 of 165,0 of 1,0%,0,0,3:26,46 of 120,12 of 22,6 of 8,47 of 126,17 of 24,0 of 0,W,Max Griffin,0,47 of 92,51%,72 of 121,6 of 11,54%,3,0,4:57,23 of 65,16 of 19,8 of 8,34 of 71,11 of 18,2 of 3
39,Decision - Unanimous,3,15:00,W,Nassourdine Imavov,0,68 of 110,61%,81 of 126,1 of 8,12%,4,0,4:51,50 of 90,13 of 14,5 of 6,48 of 83,12 of 13,8 of 14,L,Jordan Williams,0,30 of 98,30%,62 of 137,0 of 3,0%,0,0,2:24,25 of 88,4 of 9,1 of 1,23 of 88,7 of 10,0 of 0
40,Decision - Unanimous,3,15:00,L,Brad Imes,0,19 of 52,36%,35 of 74,1 of 2,50%,2,0,1:14,15 of 47,3 of 4,1 of 1,10 of 36,5 of 8,4 of 8,W,Heath Herring,2,64 of 123,52%,163 of 232,1 of 1,100%,0,2,9:14,53 of 112,7 of 7,4 of 4,26 of 64,5 of 9,33 of 50
41,Submission,3,13:37,L,Brad Imes,0,58 of 157,36%,80 of 183,2 of 2,100%,0,1,3:38,48 of 143,8 of 12,2 of 2,31 of 97,16 of 36,11 of 24,W,Dan Christison,0,73 of 148,49%,91 of 167,0 of 0,---,1,1,1:48,39 of 110,10 of 12,24 of 26,56 of 117,16 of 28,1 of 3
42,Decision - Split,3,15:00,L,Brad Imes,0,42 of 164,25%,45 of 168,2 of 3,66%,1,0,1:35,34 of 149,8 of 15,0 of 0,27 of 124,12 of 36,3 of 4,W,Rashad Evans,2,48 of 96,50%,53 of 103,0 of 0,---,0,0,2:08,46 of 94,2 of 2,0 of 0,33 of 72,10 of 14,5 of 10
43,KO/TKO,1,4:55,L,Chris Indich,0,14 of 35,40%,20 of 42,1 of 1,100%,0,0,0:57,3 of 21,6 of 7,5 of 7,6 of 25,8 of 10,0 of 0,W,Vik Grujic,0,15 of 30,50%,24 of 39,1 of 3,33%,0,0,1:42,12 of 27,1 of 1,2 of 2,10 of 21,5 of 8,0 of 1
44,Decision - Unanimous,3,15:00,L,Chris Indich,0,12 of 49,24%,27 of 65,0 of 1,0%,2,0,1:18,3 of 32,1 of 5,8 of 12,9 of 39,3 of 10,0 of 0,W,Richard Walsh,0,71 of 122,58%,153 of 212,5 of 9,55%,0,0,10:23,50 of 93,15 of 20,6 of 9,16 of 52,39 of 53,16 of 17
